country,country_iso,core_city,uc_id,cc_avg_dir,cc_avg_undir,cc_wt_avg_dir,cc_wt_avg_undir,circuity,elev_iqr,elev_mean,elev_median,elev_range,elev_std,grade_mean,grade_median,intersect_count,intersect_count_clean,intersect_count_clean_topo,k_avg,length_mean,length_median,length_total,street_segment_count,node_count,orientation_entropy,orientation_order,pagerank_max,prop_4way,prop_3way,prop_deadend,self_loop_proportion,straightness,uc_names,world_region,world_subregion,resident_pop,area,built_up_area
indonesia,IDN,medan,10692,0.0191244187752966,0.0205734759441252,0.0001261066736805,0.0001310390003418,1.043762783298914,19.0,25.46716672132709,24.0,113.0,15.568370669212683,0.0198466605326293,0.006,65884,52806,53209,2.4605863123261007,77.91709696365153,55.066,9061057.123,116291,94523,2.929917330751722,0.5064472588031421,4.286078879334375e-05,0.0760978809390307,0.6205368005670577,0.3029844588089671,0.00082551530213,0.9580720983741176,Medan; Binjai,Asia,South-Eastern Asia,3956182,739.0,319.302581787
united_kingdom,GBR,leeds,1819,0.0197025446536109,0.0279698392374442,0.0002569033089982,0.0003166625692792,1.060721152266238,79.0,111.18706176452656,103.0,347.0,57.71480102942334,0.0479257969827292,0.027,32820,28542,28625,2.3818059874397903,80.05436983753158,56.212,4690865.855,58596,49203,3.580210065212783,0.0030095983874773,9.451298658626627e-05,0.0532284616791659,0.6081742983151434,0.3329675019815865,0.002730561813093,0.9427548398214678,Leeds; Wakefield; Bradford,Europe,Northern Europe,1309503,472.0,251.338500977
japan,JPN,hamamatsu,12958,0.0307108656220102,0.0315729764771246,0.0004733764772125,0.0004855269266973,1.0300074144835274,23.0,18.56913317280977,11.0,101.0,17.492175072043953,0.0211731796080303,0.01,39928,34777,35159,3.1045563993332097,84.80643235987233,68.531,5685932.064,67046,43192,3.423431488494243,0.1404094517524009,8.098583561047025e-05,0.2662993146879052,0.6548897944063715,0.0755695499166512,0.0003877934552396,0.9708667975962348,Hamamatsu; Iwata,Asia,Eastern Asia,718870,330.0,214.832839966
canada,CAN,edmonton,403,0.0557720088209916,0.0835219753920621,0.0019087860984885,0.0024716048919344,1.1095098739634308,18.0,680.055452318608,677.0,131.0,19.26264429798202,0.0181832039278374,0.008,20195,16826,17167,2.9590337021707915,140.3489815026262,99.6515,4916705.520000001,35032,23678,3.142750147579262,0.3609636716308342,0.0001807489834951,0.2449108877438973,0.5885632232452065,0.1470985725145704,0.0115608586435259,0.9012988739142666,Edmonton; Sherwood Park; St. Albert,Northern America,Northern America,975000,490.0,333.364044189
nigeria,NGA,abuja,2565,0.0420274685809907,0.04910131914963,0.0014432409344358,0.001556595674526,1.079523779345341,43.0,467.9066998487288,465.0,280.0,35.212693859016824,0.0295523975394649,0.016,16069,14020,14082,2.633679793100083,129.2475658119025,82.9255,3487874.811,26986,20493,3.565546421892697,0.016292382988351,0.00018902564376,0.0817840238130093,0.7006782803884253,0.2158785926901869,0.0020010375750389,0.9263343884897406,Abuja,Africa,Western Africa,1450169,337.0,135.147888184
burkina_faso,BFA,ouagadougou,1799,0.0307348617717823,0.0316670526776278,0.0012772283305052,0.0013015640929695,1.0230790544131485,14.0,307.2274762603258,308.0,59.0,9.793258631736768,0.012543444270717,0.005,49759,42815,42920,3.1107079441056125,76.58094458094457,59.816,6171352.0,80586,51812,3.499045193071684,0.0754132480242195,5.554608135499578e-05,0.2067088705319231,0.7519686559098279,0.0396240253223191,3.722730995458268e-05,0.9774415727566752,Ouagadougou,Africa,Western Africa,2704697,345.0,154.214553833
india,IND,bhopal,7459,0.0334357079470496,0.0338629625928512,0.0011284940688124,0.0011406509150009,1.055512763316438,23.0,495.277106025782,493.0,147.0,19.926005687286203,0.0199086900369003,0.004,31878,26548,26695,2.70810432697112,65.86934001845017,46.123000000000005,3570118.229,54200,40028,3.454932580107937,0.1136195025643399,0.0001112506262158,0.1216148695912861,0.6735285300289797,0.2036074747676626,0.0010516605166051,0.9474068289406412,Bhopal,Asia,South-Central Asia,2077320,219.0,79.3437194824
bolivia,BOL,el_alto_la_paz,849,0.0224207505943914,0.0263691656215023,0.0002829874543409,0.0003062562414577,1.032270668037866,152.0,3898.1419569527047,3966.0,1105.0,205.10611808163185,0.0632106971172073,0.038,39930,33934,34187,3.112574341546304,79.09503325599381,59.523,5215763.778,65943,42372,3.484210902627055,0.088351297770242,9.211965521560844e-05,0.2425186443878032,0.6942792410082129,0.057632398753894,0.0003639506846822,0.9687381720346604,El Alto; La Paz,Latin America and the Caribbean,South America,1699529,253.0,128.234558105
japan,JPN,takamatsu,12857,0.0240078470114461,0.0252045077512726,0.0002995899908015,0.0003112426273757,1.0487741309919676,18.0,18.022781877466965,13.0,271.0,16.044542226454833,0.0272170472032913,0.011,18617,14641,14750,2.7321949545220523,84.68432602619265,54.147,2696433.625,31841,23308,3.180174512691497,0.3334419882933496,0.0001932374915286,0.1492620559464561,0.646644928779818,0.2012613694868714,0.0010363996105649,0.953494151361423,Takamatsu; Sanuki,Asia,Eastern Asia,384523,224.0,139.646972656
south_africa,ZAF,durban,3868,0.0306487007828096,0.0425428432466426,0.0004998385008434,0.0005820641133504,1.0924623749983131,138.0,144.44734357565875,112.0,514.0,103.82842966091847,0.0607342993510283,0.037,33499,28858,28979,2.4996137670586216,125.45307791092952,81.22149999999999,7307139.976000001,58246,46604,3.5782221993497845,0.0048154884750674,9.483300348512196e-05,0.0754012531113209,0.6408248219036993,0.2811990387091236,0.0034165436253133,0.9153633323083954,Durban,Africa,Southern Africa,2867061,745.0,329.124389648
