city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,8way_int_count,9way_int_count,7way_int_prop,8way_int_prop,9way_int_prop
abidjan,1675,2.936696854730143,141.5551731661394,123.79364565560407,39548.64740783832,20733.230905135722,4101,16,22448,6096,16,7.0,0.0004895361644841513,0.0004895361644841513,0.00021417207196181617,0.0068274536570697006,0.8126913187216849,0.913716306194609,0.0,0.0,0.0,0.0,0.0,0.0
abuja,2565,2.649294881178939,151.63388992138275,118.89937916101591,45221.29008541589,25807.838049613933,4424,28,14359,1676,5,1.0,0.001366320206899917,0.00024398575123212805,4.8797150246425606e-05,0.005875497576739136,0.9178108966528219,0.7053145998778253,0.0,0.0,0.0,0.0,0.0,0.0
accra,1910,2.7930798320578862,135.71734574085346,115.73941944868453,41304.476602658695,21356.77294648063,9887,16,51417,5802,42,2.0,0.00023821576392817794,0.0006253163803114671,2.9776970491022243e-05,0.006354768395064023,0.9129411764705883,0.8478349901336609,0.0,0.0,0.0,0.0,0.0,0.0
adana,4237,2.992730280341285,353.4065906001956,326.29957281169027,70754.53402124248,38895.87717814038,1762,13,17887,3255,50,5.0,0.0005659063207382901,0.0021765627720703464,0.00021765627720703466,0.009085965306338725,0.8558299577507731,0.8959336135734977,0.0,0.0,0.0,0.0,0.0,0.0
addis ababa,5134,2.873386684828878,557.255876288348,483.7774239475176,113221.69129406229,61017.049078484044,7744,17,42926,8017,26,0.0,0.00028946024178443726,0.00044270389919972756,0.0,0.009132789682627386,0.8630115987941341,0.8520963030463035,0.0,0.0,0.0,0.0,0.0,0.0
adelaide,12977,2.861582788182226,116.50605493403344,101.32337040232817,29359.511964894617,16479.362411266684,5518,301,31218,5162,118,26.0,0.007108612993883287,0.002786765226837966,0.0006140330160829417,0.007069815689858248,0.8737928737928738,0.7045635652184256,0.0,0.0,0.0,0.0,0.0,0.0
agra,7264,2.567332394132759,354.78450572473423,264.34635708718696,70463.3808440603,36565.901642935634,6152,11,16120,1831,18,2.0,0.00045578851412944393,0.0007458357503936355,8.287063893262616e-05,0.009702605153544108,0.9232682502176346,0.7583383429033395,0.0,0.0,0.0,0.0,0.0,0.0
ahmedabad,6651,2.7690759165343968,139.38759715327322,112.59578034920052,38777.660852611516,21760.343783462224,4965,15,16949,3830,66,6.0,0.0005806976113971584,0.0025550694901474973,0.00023227904455886338,0.006405578815312984,0.8488534242330338,0.7669436535146338,0.0,0.0,0.0,0.0,0.0,0.0
albuquerque,196,2.8694847497779095,81.11708617057371,65.96017726514522,26524.049935036957,15177.2642527637,5048,132,15338,6307,178,13.0,0.004885993485342019,0.00658868818477939,0.0004811963281018656,0.00534464478048491,0.7582948965927689,0.7540129829064598,0.0,0.0,0.0,0.0,0.0,0.0
aleppo,4417,3.0656931086208417,182.3467332691957,166.9487077032714,46060.7750894153,25817.97450119293,1914,18,15426,5282,25,1.0,0.0007941410041471808,0.0011029736168710845,4.4118944674843376e-05,0.007062782297688391,0.765630519251148,0.9115939149058312,0.0,0.0,0.0,0.0,0.0,0.0
alexandria,3751,2.911641596781589,269.2505973431577,235.9422304179803,45703.457360948116,25173.343200549833,8364,42,48443,10729,32,1.0,0.000621200692195057,0.0004732957654819482,1.4790492671310882e-05,0.010695861697753233,0.8407257766135358,0.8702019491907972,0.0,0.0,0.0,0.0,0.0,0.0
algiers,2095,2.7193667901650387,153.48499287786842,123.42213012107834,37975.45401278078,21565.34835399511,8723,138,30719,4837,108,9.0,0.0030986864264061975,0.0024250589424048502,0.00020208824520040418,0.0071172044317769825,0.8883933599117058,0.7317685749360844,0.0,0.0,1.0,0.0,0.0,2.2454249466711576e-05
amman,4408,2.916017585765223,209.14550060138563,188.69576658786352,51501.506934159566,29190.073293570287,5649,42,45630,6430,11,12.0,0.0007269706096167827,0.00019039706442344306,0.0002077058884619379,0.007164952910462689,0.8882249012679276,0.7608155275898804,0.0,0.0,0.0,0.0,0.0,0.0
