city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,8way_int_count,7way_int_prop,8way_int_prop
austin,273,2.848503114325899,78.88654525854018,65.12062913295406,28632.09345975901,16729.069485114393,5211,117,18671,5719,136,8.0,0.0039180229053646775,0.004554283035295694,0.0002678990020762173,0.004715536947750371,0.8028912422255842,0.7557871732369504,0.0,0.0,0.0,0.0
baghdad,5314,3.006595477386935,161.30477156047507,150.76036559634457,43524.50797272731,23871.70460935005,4579,47,55837,9512,64,9.0,0.0006709684787574234,0.0009136592051164915,0.00012848332571950663,0.006757153466841047,0.8630733846659333,0.9011121666892862,0.0,0.0,0.0,0.0
baku,5528,2.545778592524697,147.15966862656097,106.33943396764698,32749.323261454614,18102.356583459117,8171,19,18339,2876,51,1.0,0.0006450079777302509,0.0017313372033811998,3.394778830159215e-05,0.008129310012654758,0.9005367212446498,0.684462638650609,0.0,0.0,0.0,0.0
baltimore,880,2.8975284245496464,78.94515453319035,65.45640143455606,26771.46335936168,16042.454059227155,5966,217,20442,8031,243,18.0,0.006214737806798981,0.0069593607698255865,0.0005155082051722657,0.004921014842350967,0.7610374639769453,0.7415808055335399,0.0,0.0,0.0,0.0
bamako,1553,3.0165475671474877,351.92247345955377,313.95991310816305,77752.75289949939,39841.799583752356,5691,8,34867,12123,64,4.0,0.00015163864510870596,0.0012131091608696477,7.581932255435298e-05,0.008832996429284513,0.7688866139642457,0.9716000113751624,0.0,0.0,0.0,0.0
bandar lampung,11719,2.6094070351758796,397.25408175212783,301.3062416248199,70180.31851822148,36564.899049520034,6008,7,16554,2305,1,0.0,0.0002814070351758794,4.020100502512563e-05,0.0,0.010864356037579225,0.9072703876467749,0.7578170557599887,0.0,0.0,0.0,0.0
bandung,12044,2.5011964248011824,318.3211259095025,227.76908206924568,55226.740260053215,28685.389767421824,32336,101,73174,8049,12,0.0,0.0008885213597015976,0.000105566894221972,0.0,0.011096977537708823,0.9290223736693346,0.7148945350163117,0.0,0.0,0.0,0.0
bangkok,10715,2.3134325311779236,281.1153653274756,172.36651005242086,53899.616748951026,29579.7955523339,113717,739,153271,26123,98,9.0,0.00251396457997401,0.00033338095918464543,3.0616618700630706e-05,0.009503627732318626,0.9105412677896043,0.59079383322562,0.0,1.0,0.0,3.4018465222923002e-06
barcelona,2051,3.0817649204884434,150.95887968814912,140.23233397388722,30368.639166044624,22674.43542959979,3311,598,32007,10372,269,40.0,0.012833444213146769,0.005772903835010838,0.0008584243620833959,0.006657668728152036,0.7677992999847822,0.5016251236507125,0.0,0.0,0.0,0.0
beijing,10687,2.9691068162720575,29.271764063637473,25.099694878846872,15183.28131143289,10038.512722742193,5767,174,24621,9392,469,31.0,0.004300331174929563,0.01159112253472394,0.0007661509564529682,0.0029159463032130705,0.7542692613185068,0.6538332650705588,5.0,3.0,0.00012357273491176907,7.414364094706144e-05
beirut,4337,2.777122641509434,159.8357512347098,133.37527899202607,38137.43640811699,22319.298130649335,3650,74,15900,2391,30,3.0,0.003356313497822932,0.00136066763425254,0.00013606676342525398,0.007161325159021015,0.8896878128697552,0.6419224904990556,0.0,0.0,0.0,0.0
belem,1165,2.8786446350135955,166.46112734186525,140.55711589188664,42083.23942479257,23073.84024726955,3720,27,15617,4518,21,2.0,0.001129470822003765,0.0008784773060029283,8.366450533361221e-05,0.007214279268556671,0.8098249434626016,0.8134070490670352,0.0,0.0,0.0,0.0
belo horizonte,1346,3.059227157818707,141.11316211374367,128.30646740836852,39286.75447683973,22383.64144407404,5026,160,36987,12950,230,26.0,0.00288912964969303,0.004153123871433731,0.00046948356807511736,0.006304298720398896,0.7608294096341905,0.8345995381898854,1.0,0.0,1.8057060310581436e-05,0.0
bengaluru,8050,2.7564601278132814,365.32506349583275,292.7037830613021,70686.65878630447,37594.00869823314,20032,56,65308,15200,153,20.0,0.0005557099194220616,0.0015182788869924186,0.00019846782836502203,0.009717640553533266,0.847333095039517,0.8239560734161756,3.0,0.0,2.9770174254753305e-05,0.0
benin city,2354,2.936033904987187,117.77680286996717,107.01600095192464,43152.26386080344,22101.81162015262,1854,1,16033,2398,5,1.0,4.928050463236744e-05,0.00024640252316183715,4.928050463236744e-05,0.005328830273920952,0.8815238282982603,0.9213101017817976,0.0,0.0,0.0,0.0
berlin,2851,3.017784678358446,65.36811289292284,57.45400176212718,24273.518629043803,13992.975322788205,3431,317,17033,7439,113,6.0,0.011185998094498746,0.0039874378065563355,0.00021172236141007091,0.0046714949026221645,0.7302833487973734,0.8067774228662181,0.0,0.0,0.0,0.0
bhopal,7459,2.716323573498551,504.4885752914444,401.7709304272176,87123.71558952921,44995.599554567525,8150,9,26960,4868,37,4.0,0.000224842610172879,0.000924352952932947,9.9930048965724e-05,0.011211953619589753,0.8773332666983183,0.8300576012394887,0.0,0.0,0.0,0.0
birmingham,1800,2.4150356633380885,153.32413002815025,105.08280318220329,29107.808225069788,15757.087811594898,22056,272,44518,3141,102,11.0,0.0038801711840228247,0.0014550641940085593,0.00015691868758915836,0.009730486487187452,0.9533997823222776,0.6146966366155631,0.0,0.0,0.0,0.0
bogota,621,2.9396877783781417,313.4913101462161,268.58976992228565,59577.76632798981,35629.81375748967,9808,100,43236,15108,200,23.0,0.0014603443491975408,0.0029206886983950816,0.00033587920031543435,0.008798567185334156,0.7757579302981997,0.775267095188996,1.0,1.0,1.4603443491975409e-05,1.4603443491975409e-05
boston,1022,2.8025998513334662,95.68882917366656,78.70296470606735,26960.84929615647,15589.161294763304,9791,341,36390,8275,321,38.0,0.006182352194644379,0.005819750892905705,0.0006889424733034792,0.0061381640336103434,0.8424730005837712,0.7316172110885092,1.0,0.0,1.8130065086933663e-05,0.0
