city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,8way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,8way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,9way_int_count,10way_int_count,9way_int_prop,10way_int_prop
new taipei taipei,12696,2.9034882805322972,100.35971864860613,82.34717878878911,34309.30511610595,21536.63429087323,6838,231,21275,9337,365.0,50.0,2.0,1.0,0.006063151263812698,0.009580303944985432,0.001312370403422662,5.249481613690648e-05,2.624740806845324e-05,0.0046599536999677085,0.7423946339917609,0.7233101371961284,0.0,0.0,0.0,0.0
new york,945,2.9384784118466345,71.64098979398314,60.9117387465869,25138.44792705552,14518.701061986607,39463,1049,160717,60911,1242.0,111.0,6.0,1.0,0.003981009559736016,0.004713454597895264,0.00042125077324184725,2.277031206712688e-05,3.7950520111878134e-06,0.004934393888827713,0.7627299468093213,0.8058197862826944,0.0,1.0,0.0,3.7950520111878134e-06
niigata,12904,2.84095742462783,222.0718045247738,184.85456661204847,47097.23520234449,24795.45447622017,4019,25,15731,4169,31.0,6.0,0.0,0.0,0.0010424919728118094,0.0012926900462866436,0.00025019807347483427,0.0,0.0,0.008956149795025918,0.8244281182167307,0.8833155906234997,0.0,0.0,0.0,0.0
nottingham,1857,2.3553274195155987,192.66360491009934,126.49970072214487,33443.90453067365,17738.884708452104,6891,96,12167,890,14.0,8.0,0.0,0.0,0.00478421210006977,0.0006976975979268414,0.0003986843416724808,0.0,0.0,0.010861088962278461,0.9543314972458689,0.6061099286340303,0.0,0.0,0.0,0.0
nouakchott,1474,3.177790701652355,351.6130793454512,348.5096557721514,66030.71991534975,33372.805927640526,258,2,23262,5703,6.0,0.0,0.0,0.0,6.842051246963839e-05,0.0002052615374089152,0.0,0.0,0.0,0.01053591598224688,0.8046802832803038,1.0692180042085093,0.0,0.0,0.0,0.0
okayama,12838,2.855342257133697,207.26599245744944,174.11024506670282,44920.00939071243,23813.945041604933,7983,19,33292,8471,124.0,13.0,2.0,0.0,0.0003807310035267714,0.002484770759858929,0.00026050016030779096,4.007694773966015e-05,0.0,0.008703555504782537,0.8274030269620126,0.8642409662707362,0.0,0.0,0.0,0.0
oklahoma city,349,2.989149634115569,62.30689996995144,54.37507281001187,25168.19164387706,13908.908298206463,3027,148,14856,5563,172.0,11.0,1.0,0.0,0.006224240894944907,0.007233577256287324,0.00046261249894860796,4.205568172260072e-05,0.0,0.004479639856277278,0.756792213288193,0.8580890911014707,0.0,0.0,0.0,0.0
omaha,417,3.017880563084725,84.60164734629318,73.19888094039032,30466.323317798327,17209.99464700061,3083,91,13260,6231,194.0,14.0,0.0,1.0,0.003978315991955933,0.008481245081752208,0.0006120486141470666,0.0,4.37177581533619e-05,0.004915843908239547,0.7173330992406619,0.8446478347709664,0.0,0.0,0.0,0.0
onitsha,2484,2.641328413284133,93.20907501811736,72.4118718098929,36858.23377855346,18615.456268281643,5442,5,16813,2119,11.0,0.0,0.0,0.0,0.0002050020500205002,0.00045100451004510047,0.0,0.0,0.0,0.005007079798357331,0.9126512200123027,0.7995693632728391,0.0,0.0,0.0,0.0
orlando,568,2.802306887488198,66.42014197303715,53.536800580813825,23717.160563676785,13829.48724154328,7601,316,23758,7260,245.0,7.0,0.0,0.0,0.008063898741929722,0.006252073391686018,0.00017863066833388624,0.0,0.0,0.0048027913698429426,0.8067453885930385,0.7122477070121049,0.0,0.0,0.0,0.0
