city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,8way_int_count,9way_int_count,10way_int_count,8way_int_prop,9way_int_prop,10way_int_prop
pittsburgh,819,2.808850597219503,84.61752963342387,68.26730871267534,30792.162384303978,16684.570130794484,4934,185,15383,4902,124,6,1.0,0.007244957900920305,0.004856079890346583,0.0002349716075974153,3.916193459956922e-05,0.005071603821380237,0.8014595660749507,0.8009862905611993,0.0,0.0,0.0,0.0,0.0,0.0
portland,101,2.7271145381964583,88.76579996847765,67.81381238166375,27604.842044751098,14946.03488599279,13836,958,31482,12062,268,12,0.0,0.016343102801187347,0.004571974478829029,0.00020471527517144903,0.0,0.005939086898001803,0.785952133194589,0.7942592030525083,0.0,0.0,0.0,0.0,0.0,0.0
porto,1569,2.7606719435899207,137.80514680232784,115.39889017247923,31094.369838612653,18742.413024837486,4704,273,21327,2516,92,19,0.0,0.009436244858456327,0.0031799799523003006,0.0006567349901489751,0.0,0.0073525829688903,0.9083327517621607,0.6472055975292701,0.0,0.0,0.0,0.0,0.0,0.0
porto alegre,1218,2.9722824124232576,132.7675796016531,114.79912512143659,37610.21696260389,21779.91946045851,2998,42,13820,5169,115,7,1.0,0.001895991332611051,0.005191404839292163,0.00031599855543517513,4.5142650776453595e-05,0.006095871008278654,0.760651289009498,0.7726337215876965,0.0,0.0,0.0,0.0,0.0,0.0
pretoria,3698,2.826591853403885,130.05462816920146,108.35191508396842,37914.10692804452,20999.17607349854,4699,60,18912,4429,42,14,0.0,0.0021307574842856637,0.0014915302389999646,0.0004971767463333215,0.0,0.006193320524291118,0.8402790134880245,0.7598277365508159,0.0,1.0,2.0,0.0,3.5512624738094395e-05,7.102524947618879e-05
providence,1009,2.839629062446827,92.77690693596767,76.98257387667965,28670.77150319489,15536.764881220508,4002,57,15229,4154,61,5,0.0,0.0024247064828994383,0.0025948613238046623,0.0002126935511315297,0.0,0.005971443067154111,0.8200503176836809,0.8286244322664563,0.0,0.0,0.0,0.0,0.0,0.0
puebla,177,2.70629383604854,200.65450141884443,151.33044243645583,40719.83044901784,23606.339761552674,13248,106,30004,10316,204,15,1.0,0.0019668237651686645,0.0037852080008906374,0.00027832411771254684,1.8554941180836455e-05,0.008500025986478756,0.8041198780397114,0.688326779522362,0.0,0.0,0.0,0.0,0.0,0.0
pune,7041,2.620670442938063,266.2851206025578,202.65759043870773,63334.95924253555,34708.010911649224,12866,75,35575,5278,49,2,0.0,0.0013928869904355093,0.0009100195004178661,3.714365307828025e-05,0.0,0.00767215157562323,0.9008926910916868,0.7134979309062166,0.0,0.0,0.0,0.0,0.0,0.0
queretaro,139,2.7985463570288958,259.9505902821001,212.87285175485434,47604.25965995666,28673.66933803191,5108,128,18403,4474,89,2,1.0,0.0045382024463747565,0.0031554688884949476,7.090941322460557e-05,3.5454706612302785e-05,0.009065829253227431,0.8373757880115397,0.6883114570161535,0.0,0.0,0.0,0.0,0.0,0.0
quezon city manila,12829,2.775849636318034,297.0014859050545,244.29495810476885,67955.89378225268,36018.68920597304,33962,477,131749,24893,276,17,2.0,0.00249247554552295,0.0014421871081013293,8.883036535406738e-05,1.0450631218125574e-05,0.008245760533001356,0.8680558829538133,0.8321839321307619,0.0,0.0,0.0,0.0,0.0,0.0
quito,467,2.816369661074438,265.0337229734424,213.81383135488926,62830.70100506337,35468.090560315104,7407,69,23108,7648,88,7,0.0,0.0018002974404466826,0.0022960315182508416,0.0001826388707699533,0.0,0.007472455347511322,0.7976109571854253,0.7587797832991334,0.0,0.0,0.0,0.0,0.0,0.0
rabat,1595,3.0381314145878227,341.66955829601204,318.68276818748893,61264.44036849368,35107.26454735959,1842,35,20757,4729,14,2,0.0,0.0012783520216224113,0.0005113408086489645,7.304868694985207e-05,0.0,0.009732161212249983,0.826470157987127,0.873123274143701,0.0,0.0,0.0,0.0,0.0,0.0
rawalpindi islamabad,6329,2.6784220581401352,486.06334787379177,378.84681345354915,111551.11022382391,62507.44431243435,8544,47,25531,4554,51,5,2.0,0.001213404244333144,0.001316672690659369,0.00012908555790778128,5.163422316311251e-05,0.007776087363998997,0.8807868276165121,0.7366516304980031,0.0,0.0,0.0,0.0,0.0,0.0
recife,1445,2.86321881693854,255.85901244000033,217.97446720126325,58939.30598470963,31908.738405637305,7189,50,33541,7758,13,1,0.0,0.0010298236941835557,0.0002677541604877245,2.0596473883671115e-05,0.0,0.008018462190118987,0.8397591851882397,0.8373282198785554,0.0,0.0,0.0,0.0,0.0,0.0
rio de janeiro,1361,2.839126624799182,137.71532111938797,115.87863312496624,36287.79204926224,20068.23493845745,17371,113,74940,17038,77,13,0.0,0.0010314736380896744,0.0007028625675478312,0.00011866510880677669,0.0,0.006862353442727508,0.8434927219729712,0.798650358883919,0.0,0.0,0.0,0.0,0.0,0.0
rio piedras san juan,902,2.6049707702300777,116.42225114253928,85.5445435645481,31306.167746854324,17429.5320940377,7758,65,17491,3859,68,9,1.0,0.002222146251410208,0.002324706847629141,0.00030768178865679804,3.41868654063109e-05,0.0066795970491006496,0.8651065579387377,0.7033083763085305,0.0,0.0,0.0,0.0,0.0,0.0
riyadh,5698,3.062627962417613,168.53660377866763,164.37853247149326,43192.5629813038,26977.638404310535,2639,147,92262,11744,152,14,1.0,0.0013742813069695695,0.0014210255691113915,0.00013088393399710187,9.348852428364417e-06,0.006247270470929676,0.8884364058492015,0.8051593635755111,6.0,0.0,0.0,5.609311457018651e-05,0.0,0.0
rome,2897,2.8615938394358715,133.78326934916058,113.85373443210067,29389.13500585449,19929.986818968166,5049,474,22793,5294,263,19,1.0,0.013985188682028738,0.007759714395302865,0.0005605877319800549,2.9504617472634466e-05,0.006712662209180876,0.8331188844669201,0.5358580342046594,0.0,0.0,0.0,0.0,0.0,0.0
rotterdam the hague,2123,2.8126891327171295,115.80381410183892,96.02679119410777,26643.046281479397,16549.860276779127,8296,786,31437,7853,189,16,0.0,0.016180496942997714,0.003890730180949832,0.0003293739835724726,0.0,0.006997268385662542,0.831390847649139,0.6659551984263996,0.0,0.0,0.0,0.0,0.0,0.0
sacramento,49,2.726036434834426,83.4827792206246,64.89689871013354,27463.802351733342,15389.918732648079,10461,176,28365,7753,227,6,0.0,0.0037456371839618627,0.00483102068613263,0.00012769217672597258,0.0,0.005424510724902318,0.8294027172519867,0.7455003791965307,0.0,0.0,0.0,0.0,0.0,0.0
