city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,7way_int_prop,8way_int_count,8way_int_prop
chihuahua,111,3.214365256124722,228.1654748060077,209.96232723756785,52072.49285069818,29786.307431948222,2006,34,13725,9334,33,12.0,0.0013522112631244034,0.0013124403436207445,0.0004772510340439071,0.007660079226916251,0.6264834727200319,0.9209200438116101,0.0,0.0,0.0,0.0
cincinnati,681,2.6885880077369437,59.89601847262849,45.38542598965611,23685.156005986366,13072.769902371258,6012,309,14009,4371,111,4.0,0.012451644100580271,0.004472920696324952,0.00016118633139909736,0.004581738906133735,0.8169502591096421,0.7361913117998735,0.0,0.0,0.0,0.0
cirebon,12179,2.5563095983851882,312.23815314525683,229.10939030119704,62782.66434067848,32835.58890012489,7650,16,18502,2565,1,0.0,0.0005568316280364725,3.480197675227953e-05,0.0,0.00950913821265649,0.9106483738421896,0.7307551670700493,0.0,0.0,0.0,0.0
ciudad juarez,143,3.076939100136343,151.22926142651457,133.7460270489795,39915.13460675012,22787.59997176598,6105,149,30273,16158,109,10.0,0.0028215421905771853,0.0020640811998182094,0.00018936524768974397,0.006636471660635118,0.6908220816954367,0.8727602480225614,4.0,7.57460990758976e-05,0.0,0.0
cleveland,790,2.873112501700449,44.57178247201718,37.836901859747684,21680.994576229972,11841.886267978,4443,140,19685,4997,119,20.0,0.004761256971840566,0.004047068426064481,0.0006801795674057951,0.0037639090144401303,0.8244942591580099,0.8485381815696393,0.0,0.0,0.0,0.0
cochabamba,897,3.101701410177805,334.5571650855024,304.42958469191984,83826.32854675928,46920.10621714797,2350,26,16497,7073,143,7.0,0.0009963212752912324,0.005479767014101778,0.0002682403433476395,0.007130358220784061,0.7229382431914078,0.86205044595761,0.0,0.0,0.0,0.0
coimbatore,8023,2.7037776263265503,212.79590290897835,169.9197349535572,59632.283338681475,31116.04828217116,4139,13,14214,2148,26,2.0,0.0006328497712004673,0.0012656995424009346,9.736150326161036e-05,0.006838783028592545,0.8940036046568269,0.8071517306895963,0.0,0.0,0.0,0.0
cologne,2310,2.6815701015650415,88.34758454611622,69.67347190558101,24115.68608036931,14256.862647157768,5848,327,18398,2992,85,17.0,0.01181913470922037,0.0030722521415404635,0.0006144504283080927,0.006196846159819677,0.8868324798829553,0.6389026063100137,0.0,0.0,0.0,0.0
colombo,8835,2.3417890346117134,219.449599372654,141.97924509799742,54753.53458047231,28269.94192892174,26998,16,45819,3619,20,5.0,0.0002092132275063091,0.00026151653438288635,6.537913359572159e-05,0.007762647688644338,0.9523417166921698,0.6341937129292361,0.0,0.0,0.0,0.0
columbus,729,2.77960508520422,66.84478361674968,53.99113020231978,25546.76682040165,14077.702305265499,7109,150,23645,5919,140,7.0,0.004057343792263998,0.0037868542061130646,0.00018934271030565322,0.004748273700300344,0.8352525801195003,0.800420995450533,0.0,0.0,0.0,0.0
conakry,1502,2.810964912280702,128.79221461417754,105.51923548214194,38206.66587004722,19661.72373891631,3708,5,13308,3457,41,1.0,0.00024366471734892786,0.0019980506822612084,4.8732943469785574e-05,0.006550403022867218,0.8294418718011212,0.8727605118829982,0.0,0.0,0.0,0.0
concord,18,2.6163599339147807,93.26337729458378,66.87572176773416,27121.483993556776,15810.060608955591,7364,141,13828,4509,180,5.0,0.005417451108464287,0.006915895032082069,0.00019210819533561303,0.00589898923232178,0.8186664606350923,0.6605559526339173,0.0,0.0,0.0,0.0
copenhagen,2749,2.633683737982118,109.29601163546948,80.44179914392379,28292.857516450367,16306.11364883583,7057,199,15201,4048,208,16.0,0.007444540047136284,0.007781227787961543,0.0005985559836893494,0.006702762778994408,0.8389115030906076,0.6661075406622816,1.0,3.740974898058434e-05,1.0,3.740974898058434e-05
cordoba,1035,3.2515337423312882,162.99287854276153,151.74746823597943,43606.712447824495,25650.75717310203,2058,55,16248,11288,154,26.0,0.0018438432398001944,0.0051627610714405445,0.0008716349860873647,0.006354310613243012,0.6148317323839592,0.891574156491947,0.0,0.0,0.0,0.0
cotonou,2078,2.9537054461966954,169.40647461250236,149.81273391905438,46829.391510051944,24768.599584818046,3073,12,18584,4879,16,4.0,0.0004516541834468742,0.0006022055779291655,0.00015055139448229139,0.006839566122112949,0.8154912075912188,0.9119358300852963,0.0,0.0,1.0,3.7637848620572846e-05
cuernavaca,153,2.58994158994159,348.98672622458633,251.40679911172887,69724.17730956247,37400.0902795008,8473,50,17295,4407,71,7.0,0.00165000165000165,0.002343002343002343,0.000231000231000231,0.009331173363928158,0.851750239645655,0.7267483182096164,0.0,0.0,0.0,0.0
curitiba,1242,2.97100305750074,121.43958551100225,101.7845544602522,35023.31543298339,19244.482918582486,6564,50,22138,11633,144,27.0,0.0012328632014991616,0.0035506460203175855,0.0006657461288095473,0.006310358455707849,0.7085863822643559,0.8531114595034996,0.0,0.0,0.0,0.0
dakar,1452,3.0344683934069914,325.6152243809611,302.4665238612134,53634.62772369772,28130.50827805621,3925,31,41494,9738,20,2.0,0.0005614924832457888,0.0003622532149972831,3.622532149972831e-05,0.011575163205812531,0.8231211149169068,0.977571973575707,0.0,0.0,0.0,0.0
