city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,7way_int_prop,8way_int_count,8way_int_prop,9way_int_count,10way_int_count,11way_int_count,9way_int_prop,10way_int_prop,11way_int_prop
dar es salaam,5222,2.676563522482939,202.98688516328684,161.9872157154232,53895.60368083332,27430.55915636646,10803,21,38385,4225,50,1.0,0.00039263344863045714,0.0009348415443582313,1.8696830887164625e-05,0.007400027247208881,0.9200209486757445,0.8107142523124118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delhi new delhi,6955,2.790687889459711,195.97855713701205,161.27007842497508,44327.44224919664,24455.336489905163,42092,168,161116,33999,277,16.0,0.0007068654304936698,0.0011654864538496817,6.732051718987331e-05,0.00801373382116044,0.8556090290146147,0.8172830565245676,1.0,4.207532324367082e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
denpasar,12708,2.2896595270932685,472.9552150248853,292.4603341907925,74628.72271109799,38518.64436050602,22967,31,33968,3214,1,0.0,0.0005151127432246057,1.661654010401954e-05,0.0,0.012278604890618017,0.9465502909393184,0.6144976931709547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
denver,272,2.863600021320825,74.15782664516288,60.361688142509514,25663.275047042243,14459.364367908807,13961,464,43030,17058,502,28.0,0.006183039283620276,0.006689408880123661,0.00037311443952880974,0.005128705851672786,0.7641592920353982,0.7961985853642184,1.0,1.3325515697457492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
detroit,770,3.0082833077388433,58.87985255387956,51.524597484046886,24119.918155463976,13346.790306637156,13422,525,65592,27570,321,13.0,0.004886220857182745,0.0029875750383917352,0.00012099213551119177,0.0044115364968759195,0.7390011223344557,0.8478078892604111,2.0,1.8614174694029504e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dhaka,9872,2.5938559021483854,73.13403138701372,55.17415860341784,28005.71982097133,14535.187182977788,15580,53,42402,5370,38,0.0,0.0008353955519127406,0.0005989628485412103,0.0,0.005031516310478702,0.9146868591260451,0.7544468546637744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doha,5865,2.9785474282760402,136.84343607225972,128.61813204023193,33626.508665119116,21381.988710807484,2093,171,29299,2959,273,12.0,0.004910829671749806,0.007840096493495305,0.0003446196260877057,0.006399939590422311,0.905974025974026,0.6659354931813262,1.0,2.8718302173975473e-05,13.0,0.0003733379282616812,0.0,0.0,0.0,0.0,0.0,0.0
dortmund,2276,2.73358476111905,84.5392483237972,67.74199376578879,24895.734805180102,14203.351485431454,13487,756,44314,9034,253,34.0,0.011137465195421265,0.003727220495293095,0.0005008912918575701,0.005952063385216518,0.8611206292924929,0.7003225542122005,1.0,1.4732096819340296e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dubai,5915,2.9791797365119197,176.52391911971688,168.76154555899063,44995.25375140045,30203.093854655173,2243,321,44921,3322,182,18.0,0.006293130489335007,0.003568067754077792,0.00035288582183186953,0.005844564135356267,0.9304949987176199,0.6037348696347009,0.0,0.0,1.0,1.9604767879548305e-05,0.0,0.0,0.0,0.0,0.0,0.0
dublin,1656,2.3774959814252545,160.03734797334877,106.93547530592829,33686.26043166442,18259.803272197405,9289,174,17245,1252,32,3.0,0.006215395606358278,0.0011430612609394535,0.00010716199321307377,0.008764461784592366,0.9537399805902016,0.6069162607617233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
