city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,8way_int_count,8way_int_prop
goiania,1177,3.244960695621624,172.40647263536738,167.30719024461072,47951.95143302708,27967.46737382008,1347,63,30543,13280,295,13.0,1.0,0.0013833384568090992,0.006477537218391814,0.0002854507926748935,2.1957753282684117e-05,0.006164536471284292,0.7012027529189296,0.8658427979286005,0.0,0.0
guadalajara,88,2.9676022783616114,235.6151030882354,199.96980989267814,45810.77677139079,28579.218350603816,12510,289,47671,21848,338,34.0,1.0,0.0034949389897328607,0.004087506500102792,0.00041116929290974834,1.2093214497345539e-05,0.008244280868628353,0.7303342151889517,0.7214182124891535,0.0,0.0
guangzhou,12080,2.976024754385444,48.62718121308251,42.47318923014106,22768.11665008554,15452.136697290733,17055,564,86758,29417,887,80.0,3.0,0.0041850939420023155,0.006581876465524918,0.0005936303463833071,2.2261137989374016e-05,0.0031469551535619313,0.7735692995529061,0.6341176251420481,0.0,0.0
guatemala city,288,2.747698997463462,223.3423336143643,176.11105475314565,46970.922776084044,26814.04384897051,8754,151,25376,7025,77,12.0,0.0,0.0036477835487377704,0.00186012803478681,0.00028989008334339897,0.0,0.0083293044075088,0.8275143051110464,0.7186086830013457,0.0,0.0
guayaquil,427,3.140058765915769,277.6339083276822,250.89237743896248,58273.23076582349,33651.04822075391,3737,80,22163,12657,153,7.0,1.0,0.002061961956801897,0.003943502242383628,0.00018042167122016598,2.5774524460023713e-05,0.008250379200861106,0.6689395113383956,0.9072077075073292,0.0,0.0
hamamatsu,12958,3.12113354324875,201.04933680919396,185.85612891548195,50462.20207169322,26466.773259152847,3264,13,28286,11502,111,15.0,1.0,0.0003009816632709761,0.0025699203556214115,0.00034728653454343397,2.315243563622893e-05,0.007596291955977908,0.7306792653836356,1.0012970018412795,0.0,0.0
hamburg,2531,2.86498509299134,70.0970769051724,60.16850981524854,23513.241348729236,13452.779239309644,2993,365,14436,3194,126,16.0,1.0,0.01727320051109744,0.00596280346410487,0.0007571813922672851,4.7323837016705316e-05,0.00521060188814706,0.8393046325724742,0.7167144267584945,0.0,0.0
hangzhou,12386,3.104437253424354,28.93563151387966,25.25310134515106,18466.177204636326,12519.119614545492,2871,102,11676,7641,249,19.0,1.0,0.00452147701582517,0.011037723303337913,0.0008422359147125316,4.432820603750166e-05,0.0023113152046458953,0.6477712962550652,0.6897281168585362,0.0,0.0
hanoi,11136,2.6046779798357567,224.01219718741078,167.26648984197658,55489.26556748693,30295.432614531874,16256,88,40707,7019,97,6.0,0.0,0.0013712932230065605,0.0015115391208140494,9.349726520499275e-05,0.0,0.007394256422664794,0.8888663493797301,0.7247142355557289,0.0,0.0
hermosillo,65,3.1086699180832427,215.26029040320003,188.7999601845956,49326.96012703874,27824.95822852819,2596,26,11021,7442,31,3.0,0.0,0.0012311188976750792,0.001467872531843364,0.00014205218050097068,0.0,0.007736230496206077,0.6455696202531646,0.8663379246580214,0.0,0.0
hiroshima,12778,2.9404046529577155,216.38519397650492,188.53629186844213,50472.71532231154,27276.060880333753,4669,46,24566,6805,165,22.0,4.0,0.0012679861072826507,0.004548211036992117,0.0006064281382656155,0.00011025966150283919,0.007933154091634994,0.8068834179730625,0.9023033715618488,1.0,2.7564915375709797e-05
houston,315,2.8966272816588243,62.79766587427637,51.70806048263833,21398.74887747414,12824.007269355845,27321,488,88549,37598,731,23.0,2.0,0.0031542478928589896,0.004724908216557216,0.00014866332281917368,1.2927245462536842e-05,0.004896883209380053,0.7513097831725283,0.7180386651666596,0.0,0.0
ho chi minh city,11800,2.4608864148816236,229.8834248976071,157.88125381443677,47103.08797414641,25331.176896006567,44451,129,84946,12285,92,17.0,0.0,0.0009089627959413754,0.0006482525366403607,0.00011978579481397971,0.0,0.009075118216629248,0.91258965660726,0.6667183868931542,0.0,0.0
hyderabad,8005,2.7894739668356388,511.1770701516649,414.34592955394317,84790.90164056631,44401.767483347954,35276,54,119651,31103,123,16.0,1.0,0.0002899733654093994,0.0006604948878769654,8.591803419537761e-05,5.3698771372111005e-06,0.011512538782231409,0.8321802653488747,0.854013187049297,0.0,0.0
ibadan,2189,2.6685560695544055,192.68767896010675,155.6059320354734,42548.63700736806,21837.633719359226,10525,6,41238,2915,7,0.0,0.0,0.00010970726444936095,0.00012799180852425445,0.0,0.0,0.00882365193209041,0.9465667001920087,0.8081378868925159,0.0,0.0
indianapolis,651,2.7611721776736644,63.21035003950208,49.737074464589746,23867.787080689166,13211.766695412914,9463,353,26077,8342,149,12.0,0.0,0.007951166771781242,0.003356158212451572,0.0002702946211370394,0.0,0.004784397991333629,0.806938673569012,0.763774253244173,0.0,0.0
indore,7190,2.794459738472127,280.8741496967158,232.57655416903208,60721.44056142679,32246.943473377392,4997,9,20095,3892,63,4.0,0.0,0.0003097040605643496,0.002167928423950447,0.00013764624913971095,0.0,0.008710101468333004,0.8637224191938315,0.8435375320584539,0.0,0.0
ipoh,11074,2.8719427225986256,194.98568648288452,170.4192326864248,49718.81531416615,27458.735117495744,2622,60,15690,2250,178,11.0,0.0,0.0028830906732016724,0.008553168997164962,0.0005285666234203065,0.0,0.007101044008347146,0.8824634957351453,0.8026363351567584,0.0,0.0
isfahan,5811,2.391085245389881,517.5925245719632,340.7510088015905,59974.088054908614,34801.24788153688,30645,60,52450,6356,171,12.0,0.0,0.0006689410662920597,0.00190648203893237,0.00013378821325841193,0.0,0.014872815087948665,0.9270477720507843,0.5795060888192209,0.0,0.0
