city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,8way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,8way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,9way_int_count,10way_int_count,11way_int_count,12way_int_count,13way_int_count,14way_int_count,15way_int_count,16way_int_count,17way_int_count,18way_int_count,19way_int_count,20way_int_count,21way_int_count,22way_int_count,23way_int_count,24way_int_count,25way_int_count,26way_int_count,27way_int_count,28way_int_count,9way_int_prop,10way_int_prop,11way_int_prop,12way_int_prop,13way_int_prop,14way_int_prop,15way_int_prop,16way_int_prop,17way_int_prop,18way_int_prop,19way_int_prop,20way_int_prop,21way_int_prop,22way_int_prop,23way_int_prop,24way_int_prop,25way_int_prop,26way_int_prop,27way_int_prop,28way_int_prop
izmir,3528,3.0564643582849285,284.31262337396953,264.93284417762806,57242.66714927414,32277.139072885442,3321,56,36173,8942,189,32,7.0,1.0,0.0011494016953675008,0.003879230721865315,0.0006568009687814289,0.0001436752119209376,2.0525030274419653e-05,0.00880848276955276,0.8115483406965992,0.9182635499614693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jaipur,6893,2.804093625300272,298.3336059009413,254.4639781606091,60666.38794678639,32613.75091823303,7407,24,38055,4806,74,4,1.0,0.0,0.0004764646324273888,0.001469099283317782,7.941077207123146e-05,1.9852693017807866e-05,0.0,0.009147479130778393,0.9029733648479552,0.8380160692826426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jalandhar,6618,2.768043336591724,417.78913803707275,347.6301034929684,75628.52977418191,39174.552091847465,4123,4,17889,2519,16,0,1.0,0.0,0.00016291951775822744,0.0006516780710329097,0.0,4.072987943955686e-05,0.0,0.01066480956968026,0.8966921948834936,0.8512150903424253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jeddah,4921,3.0286000146416456,211.31359897888146,199.19035850938855,59007.39170703579,36744.21050846261,2351,88,32694,5746,84,16,0.0,0.0,0.002147441372410259,0.002049830400937065,0.00039044388589277437,0.0,0.0,0.005750935890436769,0.8570345552811132,0.8032698680558104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jodhpur,6595,2.7696377696377694,391.28216315502686,322.5012245035592,77260.30686632356,40039.73477335715,4319,6,17283,2942,18,2,0.0,0.0,0.0002442002442002442,0.0007326007326007326,8.14000814000814e-05,0.0,0.0,0.00977234652951273,0.8794170330565054,0.8429452598579077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
johannesburg,3673,2.8814108920709214,112.00378536798372,95.62482556054198,35265.387727618465,19596.49203436007,14747,263,68110,17663,49,11,1.0,0.0,0.002607988576415057,0.0004858990123358851,0.00010907937011621912,9.916306374201738e-06,0.0,0.005715501793463783,0.8237838160288723,0.7915807056179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kabul,6118,2.6989247311827955,225.0942218032298,176.86171775683675,61665.044590499296,32399.604330648832,5241,16,16140,3024,14,19,0.0,5.0,0.0006541559344208676,0.0005723864426182591,0.0007768101721247802,0.0,0.00020442372950652113,0.0069474373670143546,0.8747289612568016,0.7936007855813098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kai kofu,12956,2.9723479362780596,165.5923554717766,148.61793996021007,45083.362461849014,23451.59089241431,2265,17,15922,3849,42,1,0.0,0.0,0.0007693700217233888,0.0019007965242577843,4.525706010137581e-05,0.0,0.0,0.007061028662466535,0.8237239005389737,0.9429710325459199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kampala,4427,2.3682112734005347,195.44803241224642,130.11607979635485,51172.57639762675,26020.882650119725,12999,15,24442,1422,8,2,0.0,0.0,0.00038572310224233697,0.0002057189878625797,5.142974696564493e-05,0.0,0.0,0.007511199179530797,0.9631620919404213,0.6597419636999782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kanazawa,12869,3.132309075307482,208.4085271595251,196.18827478041675,50740.402037951884,26721.172793074347,1435,9,16993,5964,63,9,0.0,0.0,0.0003677522167286397,0.002574265517100478,0.0003677522167286397,0.0,0.0,0.007799377997867702,0.7532701111837803,1.0182736136377573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
