city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,7way_int_prop,8way_int_count,9way_int_count,10way_int_count,8way_int_prop,9way_int_prop,10way_int_prop
kolkata,9691,2.6307726887632485,47.47661885229248,36.86113680796365,16317.970591115163,8481.55522438385,12932,20,40412,4418,54,1.0,0.00034579940176703494,0.0009336583847709943,1.7289970088351747e-05,0.0055976312829751655,0.9226352110970821,0.7730067716576291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kollam,7963,2.628471717318598,205.35994078821858,161.4928834931927,79031.69411458906,39675.048367321964,4407,5,15074,1137,7,1.0,0.00024235373951820077,0.0003392952353254811,4.847074790364015e-05,0.005176047648056849,0.9444875399980607,0.7957912090576285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
konya,3843,2.9604499703966844,329.17721386589045,298.60472583642763,78894.45782949725,43641.3288469615,2353,23,19300,3594,62,3.0,0.0009078350108545491,0.0024472074205644364,0.00011841326228537596,0.007542786220379016,0.8554440581542352,0.8558248878879472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kuala lumpur,11139,2.7191043931617025,157.95992995645983,128.52702121171333,37491.639425910755,22547.16109299008,23052,814,87970,11616,238,25.0,0.006579638685688882,0.001923776421614194,0.000202077355211575,0.007005756924563315,0.9033449687146565,0.6688608892704142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kumamoto,12769,2.877909796314258,179.99383571915965,153.5083218227217,44846.80299360693,23269.97010363629,3641,20,16866,4163,46,6.0,0.0008082767539605561,0.001859036534109279,0.00024248302618816683,0.007735026513464788,0.8294369843067465,0.9006937281313836,2.0,8.082767539605561e-05,0.0,0.0,0.0,0.0,0.0,0.0
kumasi,1785,2.7182389135078266,116.89963624479239,96.31259921172473,34823.728347296754,17700.0653697816,5524,10,23614,2218,1,0.0,0.00031880638888003314,3.188063888800331e-05,0.0,0.006604474831170344,0.9292343017508052,0.8291951713470156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kuwait city,5705,3.0086321972056598,110.6675453476518,108.76350285998788,30482.24891806025,20079.811429207373,580,69,31605,1399,53,5.0,0.0020468096467028568,0.0015721871199311796,0.00014831953961614902,0.005511383696894621,0.9566910409607039,0.6638178332020392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagos,2125,2.623045219029675,104.3605860271439,81.00357592314134,29458.0061898819,15594.867521135042,19006,49,59845,5991,28,1.0,0.0005770136599152143,0.00032972209138012245,1.1775788977861516e-05,0.0066919828517753395,0.9290688220947084,0.7535010044951896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lahore,6473,2.751304512524267,316.69957191419485,256.3858412338174,68256.73530460529,37066.52132791171,20110,58,71558,13733,125,10.0,0.00054926843127042,0.0011837681708414224,9.47014536673138e-05,0.008544086700569735,0.8685863725518065,0.8127436999275118,1.0,9.470145366731379e-06,0.0,0.0,0.0,0.0,0.0,0.0
las vegas,74,2.6944764962624794,100.36967261710295,76.42825202126762,30051.55431002176,17288.559595284838,14264,316,34951,10001,232,31.0,0.005284369303834512,0.0038796635395240723,0.0005184033177812338,0.005805554364660725,0.8273792512146327,0.6937988080127101,4.0,6.689075068144953e-05,0.0,0.0,0.0,0.0,0.0,0.0
leeds,1819,2.3873950775359227,195.7638794245159,130.58086951431034,34801.02351211396,18663.538760539108,16383,186,29924,2619,82,9.0,0.0037802573013840618,0.001666565046846737,0.00018291567587342235,0.010489108305570939,0.9447130587347247,0.6260596354140101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leon,119,3.047407706273956,261.6760940749973,234.11133034905532,47577.50064327077,31152.064882172766,3133,62,18884,7598,55,10.0,0.0020845941765853,0.0018492367695514761,0.00033622486719117747,0.008399959844226743,0.7418126684636118,0.6808188021228203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lille,2080,2.8072989412029736,143.9762269276148,120.4094041104026,30457.473850024515,19405.439326920485,3633,237,15207,3022,84,12.0,0.010678080648794774,0.0037846361793196664,0.0005406623113313809,0.007419374769211312,0.8580016394935787,0.6131265514335815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lima,528,3.10309769367455,279.45199379365977,259.97599843950456,60498.28079285062,35499.983492047,7609,152,75209,25818,363,26.0,0.0013922218762021652,0.0033248456648775396,0.00023814321566615986,0.007871890809646852,0.7596169720983985,0.8491701330447106,1.0,9.159354448698456e-06,0.0,0.0,0.0,0.0,0.0,0.0
lisbon,1551,2.775695521770607,211.44120048933678,178.4774539159966,40847.552796683856,25555.272029872875,7537,631,35513,4513,107,42.0,0.013052021925742062,0.002213258868548971,0.0008687558175612784,0.00827387790050414,0.9022509116821059,0.6145897739538686,2.0,4.136932464577516e-05,0.0,0.0,0.0,0.0,0.0,0.0
liverpool,1751,2.4467557422468498,183.2544097050067,126.68449897830251,34730.25180250075,18873.999816553263,13816,130,27914,2806,75,15.0,0.0029046384842255787,0.0016757529716686032,0.0003351505943337206,0.00970935739568489,0.9351050956841304,0.6458592445684449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lome,2020,3.0694380834948034,182.09262897793997,169.4741262053626,52740.65273464936,27325.01679028052,1967,13,20511,5872,20,2.0,0.0004579883741412718,0.0007045974986788797,7.045974986788797e-05,0.006663953049892,0.7922599746228676,0.9800842454043955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
london,1912,2.5059914838028967,123.00531824392144,89.65098151185788,27301.36479205609,14784.931265296493,43176,2029,104583,9177,241,17.0,0.01274289374850841,0.0015135719040860161,0.00010676648286083931,0.008319640858435517,0.9399606862726388,0.6630416458591109,3.0,1.884114403426576e-05,0.0,0.0,0.0,0.0,0.0,0.0
