city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,8way_int_count,8way_int_prop,9way_int_count,10way_int_count,11way_int_count,12way_int_count,9way_int_prop,10way_int_prop,11way_int_prop,12way_int_prop
luanda,3050,2.959792161848433,195.08355107232705,173.51016362689575,46910.504598949665,24430.661632955485,10003,65,64048,16250,84.0,4.0,1.0,0.0007185893538223426,0.0009286385495550273,4.422088331214416e-05,1.105522082803604e-05,0.007985193115243802,0.819238853855515,0.9291494952288757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lubumbashi,3756,3.0126836434867776,159.0040612276923,144.31837760989467,52903.339841917834,26588.476217104107,1886,4,14510,4006,13.0,1.0,0.0,0.0001958863858961802,0.0006366307541625857,4.897159647404505e-05,0.0,0.005980187052818263,0.8030956112852664,0.9853283366399687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lucknow,7854,2.910315247694617,222.74523547003153,195.956574082171,62202.95874328189,34800.771127110325,2804,17,17022,3412,58.0,2.0,0.0,0.000729144327686039,0.0024876688826935447,8.578168561012223e-05,0.0,0.006400583327778896,0.8509743325607348,0.8328217896160203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lusaka,3798,2.8201806404525134,178.51035817373602,152.81112040362785,55523.87242480088,28595.845738300002,3156,9,16386,2364,6.0,1.0,0.0,0.0004105464829851291,0.0002736976553234194,4.5616275887236564e-05,0.0,0.006242527666689962,0.8917993884908502,0.870107939115949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lyon,2186,2.788814607862702,102.20911323739847,84.4739657698435,24786.095385923825,15441.57840339375,3478,329,13352,2754,105.0,20.0,2.0,0.016413889443224906,0.005238475354220715,0.000997804829375374,9.978048293753742e-05,0.0066190845629443525,0.8536647222926705,0.5936081166772352,4.0,0.00019956096587507485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madrid,1701,3.0085084187706803,157.97805398441085,145.87818803808972,32108.42625194906,24300.60092002352,4699,651,45791,9903,277.0,26.0,0.0,0.010611073984124138,0.004515003830418412,0.00042379097325226974,0.0,0.006500993720457261,0.8317957166392093,0.4964290127270481,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.519861126957995e-05
makassar,12863,2.6355108791151998,334.16695183465566,255.96611675752914,61675.8552489857,32561.716818316345,9056,69,25553,3976,35.0,6.0,3.0,0.0017830378830947335,0.0009044395059176185,0.00015504677244302032,7.752338622151016e-05,0.010262571648147338,0.895933107251029,0.7630901065330796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manama,5836,2.8899717150938544,220.24390286059696,195.93155842808108,41250.54976624484,23754.155781948324,4293,97,30183,4242,63.0,12.0,0.0,0.002494214451015685,0.0016199537156081254,0.0003085626124967858,0.0,0.009271805105697277,0.8887170365787642,0.7810417499129941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manaus,1006,2.883490547420768,152.4000561333514,128.94787873018856,37908.46209181223,20859.76079898165,3899,44,16532,4835,26.0,1.0,0.0,0.0017365907566010183,0.001026167265264238,3.9467971740932234e-05,0.0,0.007305934981804365,0.8077729015933263,0.8223838990925446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manchester,1780,2.432807090245565,186.72791729906385,127.56966152102417,34234.45482967929,18404.30432992276,23700,322,45644,5008,115.0,18.0,0.0,0.004304410015105538,0.0015372892911091208,0.00024061919339099283,0.0,0.010145882938670548,0.9309793918238571,0.648581881650052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mandalay,10155,2.7662523729359934,350.56484387730114,274.6733751142936,74685.9956897579,38428.83727176239,6044,10,16295,5568,2.0,0.0,0.0,0.000358179017873133,7.16358035746266e-05,0.0,0.0,0.009122442123298304,0.800422802680139,0.8518624693171841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maputo,4220,3.035224251779436,203.8806977642851,187.92219447259902,51667.129351064694,26583.821548194926,3651,16,34032,8931,12.0,2.0,0.0,0.00034302375439499187,0.0002572678157962439,4.2877969299373983e-05,0.0,0.007669352481721306,0.8081624774813417,0.9811047602706673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maracaibo,719,2.9808790991050493,161.23511129197144,140.82048110494267,42264.01088676009,22544.99205674844,3834,23,19356,7026,40.0,2.0,0.0,0.0007595521944453618,0.0013209603381658466,6.604801690829233e-05,0.0,0.007151704062974313,0.7664088836010311,0.9214357720083952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mashhad,5918,2.8148939960805275,289.52233515040876,236.00738365948607,66030.33841968965,39271.19035993361,6225,86,21153,6128,84.0,2.0,0.0,0.0025535958192291703,0.002494209869944771,5.938594928439931e-05,0.0,0.007372385010406856,0.815015479876161,0.716042215573319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mataram,12725,2.4632003107097775,424.9396043677559,295.34107078982396,79471.13635332418,41253.179558300195,6282,9,12791,1516,0.0,0.0,0.0,0.0004369356248179435,0.0,0.0,0.0,0.01030077218089866,0.9263684491718879,0.6918368833944575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matsuyama,12825,2.6004671338004672,356.6846594722008,263.39363008561116,51268.41471715456,26710.781604770014,11758,11,27722,5370,86.0,8.0,0.0,0.0002446891335780225,0.0019130241352463574,0.00017795573351128907,0.0,0.013353583760667788,0.8784264862940548,0.7660959247021127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medan,10692,2.4697798419432306,296.02955125196667,206.33719787442814,54644.66944285312,28377.65066692943,28639,35,58655,7193,1.0,0.0,0.0,0.0003702802492515049,1.057943569290014e-05,0.0,0.0,0.010431785024295608,0.9238633477266954,0.6940482931243418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medellin,561,2.9321816735884068,251.55177427361673,214.5314084476285,55442.02370862526,33414.487204123725,3331,80,14159,4933,123.0,4.0,4.0,0.0035345056110276576,0.005434302376955024,0.00017672528055138288,0.00017672528055138288,0.0075282248905071455,0.7754722000532056,0.7172471897656475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medina,4907,2.9963051994301995,300.2800472141252,283.811697046399,70929.27234223398,45492.951373142176,1232,50,18811,2318,46.0,7.0,0.0,0.002225783475783476,0.0020477207977207977,0.0003116096866096866,0.0,0.0066005840058862945,0.8942178995270813,0.7628003480356067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
melbourne,13023,2.738678467681917,109.46390664480666,89.94959859408397,26647.630647003512,15185.141704964955,22277,785,89571,12009,285.0,31.0,3.0,0.006281959971511111,0.0022807115820135883,0.00024807740014884643,2.400749033698514e-05,0.007208619370935221,0.9007215565004509,0.6277708206662452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
