city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,7way_int_prop,8way_int_count,8way_int_prop,9way_int_count,9way_int_prop
merida,350,3.234676687832059,155.15542458644236,144.7004782621,38945.867210237615,22989.260248834074,1560,48,13081,8331,123,8,0.0020733445639497215,0.005312945445121161,0.00034555742732495355,0.0067490394604720364,0.6337272215729559,0.879916019133785,0.0,0.0,0.0,0.0,0.0,0.0
mexicali,57,3.1196283391405344,415.60674840532596,370.3871895312134,113059.72136135487,62102.92829057223,2342,15,11943,7178,45,2,0.0006968641114982578,0.0020905923344947735,9.291521486643438e-05,0.0066922246638797984,0.6641097164109716,0.9083575496919679,0.0,0.0,0.0,0.0,0.0,0.0
miami,556,2.939791312268106,69.53924437040135,58.902553891440256,24159.96151188619,14123.282842862822,22839,788,89324,35305,1008,45,0.005277468958034746,0.0067508739970799795,0.0003013783034410705,0.004923730916112247,0.7551741782583521,0.7766952704454178,5.0,3.3486478160118946e-05,0.0,0.0,0.0,0.0
milan,2559,2.854360040157106,119.75516727621714,104.1532691072019,25079.025713373936,16277.479912200397,7397,961,41205,6969,219,25,0.016925867869031472,0.003857195695440055,0.00044031914331507476,0.00735710736073202,0.8707539056901247,0.5486127908122587,1.0,1.761276573260299e-05,0.0,0.0,0.0,0.0
milwaukee,675,3.1598535172883664,64.63043270843622,57.836402948618485,23719.756173776488,13964.480300113197,3703,144,18800,12012,535,29,0.004087889626980072,0.01518764548912735,0.0008232555498779311,0.0046282017890713996,0.6414400547289208,0.8181701563591272,3.0,8.516436722875149e-05,0.0,0.0,0.0,0.0
minneapolis saint paul,554,3.0026167292664256,66.79188286185466,57.07337082823236,27238.2579502743,15725.202749904494,8174,326,31227,16101,327,22,0.005803086672481621,0.005820887551845061,0.00039161934599569217,0.004247441761109269,0.7054663300567582,0.829520936103924,0.0,0.0,0.0,0.0,0.0,0.0
mishima,12980,2.7709263794842243,227.2060339818861,184.15003772330076,47922.196456242935,24961.49653234272,3946,9,13774,3061,29,4,0.0004322143783316525,0.0013926907746242135,0.0001920952792585122,0.00910226010237384,0.8513500528490439,0.8517886745309083,0.0,0.0,0.0,0.0,0.0,0.0
monterrey,200,3.0505553836468593,217.05999955185936,198.3577140347149,47049.398052087825,27741.857602255834,8075,140,64741,20535,193,34,0.001493827292224629,0.0020593476242810956,0.0003627866281116956,0.007824277763368272,0.7781232968935338,0.7988330403466682,0.0,0.0,1.0,1.0670194944461635e-05,0.0,0.0
montreal,1017,3.1341585146735875,64.6354395436995,60.733311989693775,23687.53484226095,14504.188536630278,3024,339,33907,12546,262,11,0.006767817927730086,0.0052305849470952286,0.00021960471151926533,0.004456329244511882,0.742316737352013,0.821964481341146,1.0,1.9964064683569574e-05,0.0,0.0,0.0,0.0
morelia,116,3.0360575725882764,260.2482665491976,229.32280392723507,52808.44293632468,29953.40303408849,2386,61,12303,5159,122,42,0.003037999900393446,0.006075999800786892,0.002091737636336471,0.008688437378985683,0.7337895893695674,0.8580100422172816,4.0,0.00019921310822252104,0.0,0.0,2.0,9.960655411126052e-05
