city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality,6way_int_count,6way_int_prop,7way_int_count,7way_int_prop
6th of october,3881,3.0745473908413206,134.8382262335875,129.9559049429145,29758.680897716742,22894.690588508667,136,5,3061,551,3.0,0.0013312034078807242,0.0007987220447284345,0.005889497641923393,0.8523060517195414,0.5308790182739762,7.358690474343945e-05,1.9861512751265708e-08,0.1581873971398922,4.21159204312812e-05,0.039912203409864344,9.374800159155707e-06,0.0,0.0,0.0,0.0
9th,4032,3.1236263736263736,50.46965199455614,49.637734653986534,21212.274382603337,19026.13038219559,6,1,299,58,0.0,0.0027472527472527475,0.0,0.002652649329144984,0.8402203856749312,0.42163661581137307,0.0009021390031727454,2.47840385487018e-06,0.2523070809986934,0.0006931513214249819,0.09986907208347998,0.00020452996843519443,0.0,0.0,0.0,0.0
aachen,2245,2.6563565513882126,99.80870865336642,78.02872741775603,30088.45959078068,17058.82877518437,896,89,2670,434,15.0,0.02167559668777399,0.003653190452995616,0.005850853535651817,0.8877271595718198,0.6870095902353966,4.720121274042658e-05,1.1551936549296764e-08,0.17103638854038958,4.165523344870667e-05,0.03857900788551819,1.0210036431399076e-05,2.0,0.0004870920603994155,0.0,0.0
aalborg,2486,2.5479553903345726,143.88908519229247,101.02547170997882,33429.217756793354,19072.7966471615,1202,31,2240,519,37.0,0.0076827757125154895,0.009169764560099132,0.007544204861729425,0.8596403596403597,0.6120204923153817,4.381569406324869e-05,1.1031141506356668e-08,0.1639778588708096,4.06388745652564e-05,0.038404072708557994,1.0442199427030017e-05,6.0,0.001486988847583643,0.0,0.0
aarhus,2518,2.6205610507540134,141.9144030682145,104.05982336216411,33875.79025067311,19395.06646536884,1645,57,3536,864,53.0,0.009242743635479164,0.008594130047024485,0.007317036181423352,0.8479541734860884,0.6311911584117887,2.9514128722738393e-05,5.0117386182269305e-09,0.1335198810182831,2.1650702289327567e-05,0.029764507340058696,4.547730365885431e-06,11.0,0.0017836873682503648,1.0,0.00016215339711366953
aba,2574,2.644582338902148,294.9929822621815,229.88331400536396,73776.44968264969,37835.71710978086,2312,2,7259,901,1.0,0.00019093078758949882,9.546539379474941e-05,0.007796680089510535,0.9138737706483339,0.7822931092115945,1.912609744793063e-05,1.833758144576283e-09,0.1430831729362968,1.3659491449765803e-05,0.023794698970639933,2.096401100134858e-06,0.0,0.0,0.0,0.0
abadan,5708,2.907145515444734,312.02452231856,267.0265683183955,66795.9344672175,39148.210864428685,775,10,3540,1038,10.0,0.0018608113137327876,0.0018608113137327876,0.007970339267843157,0.8044369873228934,0.7565047095029376,3.87414280026282e-05,7.272654027150028e-09,0.16917105959048165,3.1479542164213184e-05,0.03538547949947162,5.714249910011845e-06,1.0,0.00018608113137327876,0.0,0.0
abadeh,5847,2.5249813571961224,445.8759298131326,323.6839803676992,67271.52126819876,38138.63654590198,735,3,1751,188,4.0,0.0011185682326621924,0.0014914243102162564,0.01169092474704742,0.9279581933557297,0.6181580422193163,8.042913551049602e-05,3.005573075878028e-08,0.16160812632875982,6.0256572083803067e-05,0.045023342097175775,1.4793738299722943e-05,1.0,0.0003728560775540641,0.0,0.0
abaetetuba,1157,3.07397504456328,207.09513278955293,177.00911973723822,61237.78140265829,31642.318947393964,163,0,550,409,0.0,0.0,0.0,0.0065448784943307435,0.6354723707664884,0.9615899955337204,0.00031278845016180414,2.802763890338747e-07,0.19395919655011726,0.00017286915913557687,0.06555968269272469,5.760823927638689e-05,0.0,0.0,0.0,0.0
abakaliki,2698,2.8604832424006235,966.4630784353086,836.8982697908245,291418.37210392347,159874.35404109958,172,0,947,163,1.0,0.0,0.000779423226812159,0.006045141412654939,0.8721745908028059,0.7746973838344396,0.00021402857218952057,1.6773399074413838e-07,0.17291414907858235,0.00013477330403630737,0.061273170528550185,4.377831875137441e-05,0.0,0.0,0.0,0.0
abakan,6376,3.029268292682927,48.650160667365625,41.9374555717988,23350.355040258102,12509.192835321883,198,2,803,426,4.0,0.0013937282229965157,0.0027874564459930314,0.0038891526661890955,0.6985345429169574,0.9213561691716183,0.00018698768404686015,1.3085212319584334e-07,0.2846515082064347,0.00019836342035291617,0.060147478242709815,3.860682495225755e-05,2.0,0.0013937282229965157,0.0,0.0
abancay,704,2.946043165467626,222.22956217392084,191.85285943072302,66173.74704982346,33522.846624239726,114,0,538,181,1.0,0.0,0.001199040767386091,0.006629197235691521,0.7817745803357314,0.9266386049308478,0.0004203786868488073,5.040511832719512e-07,0.2458886098161726,0.00029483046740548275,0.07875215715934185,9.523273829449025e-05,0.0,0.0,0.0,0.0
abbotsford,205,2.603864734299517,73.63314366708728,54.424497493064514,25842.175404209185,14388.122522961812,594,21,1370,277,15.0,0.00922266139657444,0.006587615283267457,0.005117633905992747,0.8705673758865248,0.667850011093854,9.626844096869212e-05,4.322785854005035e-08,0.24163132045581015,0.00010611827863671944,0.04929815015456127,2.168317060084337e-05,0.0,0.0,0.0,0.0
abbottabad,6323,2.386838868388684,139.3064824262054,92.78531394070137,57991.63597594431,30342.709567257414,543,9,980,90,4.0,0.005535055350553505,0.0024600246002460025,0.004591102258597563,0.9418676561533704,0.6240322081139672,0.00011510827414169816,7.767090023056556e-08,0.3838788702315247,0.0002360878660710484,0.04321091093239037,2.9009762499826977e-05,0.0,0.0,0.0,0.0
abeche,3422,3.1335984095427434,501.6224441619307,468.71282058868275,142218.0102204061,73359.40775320011,165,2,1681,666,1.0,0.0007952286282306163,0.00039761431411530816,0.006837874780144319,0.7345801830481496,0.9966142202748457,0.00014410556648878752,5.7298435979637184e-08,0.20173229086611463,8.021164646764001e-05,0.048735446747736784,1.8825967299204938e-05,0.0,0.0,0.0,0.0
abengourou,1693,3.0921052631578947,225.69480018210757,208.61920674727705,73464.36498277786,37876.7502391119,92,0,829,294,1.0,0.0,0.0008223684210526315,0.00595866326327682,0.7574013157894737,0.9756901524515863,0.0003098320889480104,2.5521588875453906e-07,0.2545966582654312,0.0002093722518630191,0.06700465643152827,5.29786067389868e-05,0.0,0.0,0.0,0.0
abeokuta,2139,2.6091718001368926,106.65403055824154,83.5858076585808,32011.990107124322,16693.19699398915,1896,0,6504,366,0.0,0.0,0.0,0.006389071583870082,0.9582477754962354,0.7504421749301078,1.68809694793339e-05,1.9279316445104958e-09,0.2282664679389155,2.6039980371767684e-05,0.023998222926571427,2.7871256568948504e-06,0.0,0.0,0.0,0.0
aberdeen,1809,2.589542483660131,196.5660610894211,151.0860704844178,41731.49688985432,22690.50366196273,1416,42,4307,348,7.0,0.006862745098039216,0.0011437908496732027,0.00866292189974324,0.9415926291543271,0.6826598633857296,2.74523441550175e-05,4.528595208679891e-09,0.2259294867459387,3.6916582801623974e-05,0.030404655817147973,4.847549852623407e-06,0.0,0.0,0.0,0.0
abha,5473,2.8850713767239293,334.2641360760647,296.17112661760194,80122.04236493929,45578.9532939235,471,2,3193,465,2.0,0.0004839099927413501,0.0004839099927413501,0.007333738752632306,0.8869523117889131,0.8254814097129708,6.240542594194922e-05,1.5217124101913975e-08,0.1880986375547474,4.551140516688783e-05,0.04214958570122475,9.520301946303103e-06,0.0,0.0,0.0,0.0
abhar,5628,2.687863372093023,475.3667658850187,369.4802006642642,74245.04259729054,43084.624478760175,613,0,1787,339,11.0,0.0,0.003997093023255814,0.01103332735601223,0.872093023255814,0.6803055100927441,9.047947879524026e-05,3.3045828632301044e-08,0.17540278543419097,6.373647726533102e-05,0.04511022108345078,1.3425065481399194e-05,2.0,0.0007267441860465116,0.0,0.0
