city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality,7way_int_count,7way_int_prop
abilene,264,3.1939808481532146,70.80949604997019,65.46245886534865,30689.653510386455,16624.075150169818,276,4,2125,1236,13.0,1.0,0.001094391244870041,0.0035567715458276333,0.00027359781121751026,0.004259454761262125,0.6576280471103807,0.9728655611895299,9.261953974745845e-05,2.5389128220246285e-08,0.16772749283784424,4.5889874921434815e-05,0.04092818786157838,9.853676723638275e-06,0.0,0.0
abington,920,2.9838854073410923,81.5909677136243,72.46037598201907,35243.05670981466,18597.162687172735,250,6,1519,448,11.0,0.0,0.0026857654431512983,0.004923903312444047,0.0,0.0043872804193889805,0.7939856373429084,0.891260390923388,8.862096643652677e-05,3.984755685095628e-08,0.3431509883185963,0.0001536038443682168,0.04509203024740094,1.952401494549532e-05,0.0,0.0
abohar,6555,2.8628808864265927,312.5954304113034,250.68248505283196,60660.41963049433,30540.55311558287,715,0,1966,923,6.0,0.0,0.0,0.0016620498614958448,0.0,0.010235421383111959,0.7426592797783933,0.9247401247401248,7.114752444765417e-05,1.9719380390148052e-08,0.3103844599595003,8.597907478102501e-05,0.04088046641154415,1.2647743875933637e-05,0.0,0.0
aboisso,1704,2.560574948665298,324.1188831198921,239.59506760402698,98252.06581417136,49126.03290708573,127,0,320,40,0.0,0.0,0.0,0.0,0.0,0.006597701136033366,0.917864476386037,0.7719298245614035,0.0005503384029734616,1.1989943419901125e-06,0.21268868797398469,0.0004367324188377509,0.07918045269817135,0.00015980334300329292,0.0,0.0
abu dhabi,5909,3.0023563073297987,123.82753188473151,117.32510153077439,30040.922808625677,21343.304875305486,624,121,9820,1246,66.0,5.0,0.010182613818059412,0.00555415299166877,0.0004207691660355129,0.005801703747764095,0.8879442271722496,0.5296143543518007,1.7125883087255176e-05,1.4527002364284653e-09,0.21056739821526885,1.7720053708261284e-05,0.027660805564994114,2.1572731747428e-06,1.0,8.415383320710259e-05
abu huminus,3793,2.7914951989026062,276.0084556060199,235.11831403475767,77115.18216807269,40319.97776666585,216,2,1110,130,0.0,0.0,0.0013717421124828531,0.0,0.0,0.006845451582421436,0.9107142857142857,0.8348813209494325,0.00014596034817593195,1.0010997817279283e-07,0.33108242315804526,0.00022707985127437945,0.05589258411258986,3.9814983109567585e-05,0.0,0.0
abu kabir,4004,2.943650126156434,384.9305836665892,349.80445387026884,81096.86797277357,41785.612456107956,217,0,1862,298,1.0,0.0,0.0,0.00042052144659377626,0.0,0.009212036417341599,0.8742640874684608,0.9320143127762577,0.00011773862619355385,4.955329385250583e-08,0.2160863215172098,9.086893251354491e-05,0.04960589617674627,2.0741578857595182e-05,0.0,0.0
abu kamal,4747,3.256347256347256,1021.1386484746299,964.2693379944703,265988.960006737,139656.93047709347,68,0,708,441,4.0,0.0,0.0,0.003276003276003276,0.0,0.007311764944183111,0.6355446355446356,1.045137464095199,0.0003195573319457563,2.61717716581291e-07,0.17967015499235994,0.0001471500040887469,0.06633347341158664,4.696502933870737e-05,0.0,0.0
abu manna gharb,4209,2.463570127504554,338.4868994463567,238.91379514656325,94810.45428389247,47405.22714194616,323,0,719,55,1.0,0.0,0.0,0.0009107468123861566,0.0,0.00714028641678734,0.9489981785063752,0.6996805111821086,0.00017010294490764607,1.5492071485213667e-07,0.43409025973977833,0.0003953463203458819,0.060125651452574404,5.6666624308752416e-05,0.0,0.0
abu qurqas,3948,2.729126213592233,409.3466034608703,330.45796192011034,93730.56416843554,47212.669310158264,397,0,1428,234,1.0,0.0,0.0,0.0004854368932038835,0.0,0.008670270277914479,0.8859223300970874,0.8383961117861483,9.628956559414191e-05,4.678793274739646e-08,0.32225017186076405,0.0001564321222625068,0.0487581846153616,2.4150235034925866e-05,0.0,0.0
