city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality,6way_int_count,6way_int_prop,7way_int_count,8way_int_count,7way_int_prop,8way_int_prop
al halawat,3992,2.8242245199409157,779.1487003626858,672.8837126716646,166832.36395738606,83457.3771165023,277,2,1554,197,1.0,0.0009847365829640572,0.0004923682914820286,0.009335887698400026,0.9024149827501232,0.8916851714779176,0.00010218824878975557,5.031425346615242e-08,0.334283949037805,0.00016459081685760954,0.04787106052283527,2.2778204915873245e-05,0.0,0.0,0.0,0.0,0.0,0.0
al hasahisa,4444,3.157978301137867,1294.8602956573352,1252.0295105403288,339913.62065159617,170506.34882968693,125,0,2809,843,2.0,0.0,0.0005292405398253506,0.007594205755650352,0.7763958719237893,1.0561366344498875,3.079664176105795e-05,8.177546936021762e-09,0.4635542583806598,0.0001226658529718602,0.03533459756876728,9.723600171205845e-06,0.0,0.0,0.0,0.0,0.0,0.0
al hasakah,4672,3.1022664455500277,283.1230629057653,262.2292381971309,64700.51475786715,35765.09083744867,267,4,2446,894,7.0,0.001105583195135434,0.0019347705914870095,0.007916184644757416,0.7506917542888766,0.9448982417278139,6.697627947078755e-05,1.85427130317795e-08,0.24527101341331725,6.779187767090029e-05,0.04245848882389496,1.106060487936047e-05,0.0,0.0,0.0,0.0,0.0,0.0
al hawiyah,5202,3.0138456213222566,388.83768963356266,368.7834093443966,92568.4857634815,52745.74511367757,149,6,2404,316,14.0,0.0020768431983385254,0.004845967462789893,0.0073719252386242745,0.8855359001040582,0.8755424405485159,6.464481625129183e-05,2.2524326219962312e-08,0.35378098229947275,0.0001224579377983637,0.04167220650754145,1.2802088780119987e-05,0.0,0.0,0.0,0.0,0.0,0.0
al hilaliyah,4436,3.2046109510086453,559.783970107399,550.9113135206824,135352.2374942784,67676.11874713922,11,0,519,164,0.0,0.0,0.0,0.008271514094934145,0.7636887608069164,1.0795372378886479,0.000504599342999731,7.27088390489526e-07,0.25778318292533103,0.00037144550853794096,0.0797194048942591,9.599683501343957e-05,0.0,0.0,0.0,0.0,0.0,0.0
al hillah,5382,2.8974266365688486,286.28186515416786,256.78772446424415,60368.435731059195,32617.47289192647,1141,4,8786,1138,6.0,0.00036117381489841985,0.0005417607223476298,0.00877694805182252,0.8966669677535904,0.86140850160365,2.0450230162187438e-05,1.8586049406695844e-09,0.14237620391949093,1.2855639180089475e-05,0.026336339356383128,2.0916481202047127e-06,0.0,0.0,0.0,0.0,0.0,0.0
al hoceima,1694,2.9265936896329685,470.44635387416287,409.25500584932,81788.42483746712,43491.925700732136,202,3,1063,277,8.0,0.0019317450096587251,0.0051513200257566,0.010816866494054628,0.8161290322580645,0.874313408723748,0.00016856743242458033,1.0896408042959298e-07,0.23171843013485915,0.0001492069736863227,0.05373189191786736,3.2277209032441444e-05,0.0,0.0,0.0,0.0,0.0,0.0
al ikhsas,3909,2.4498886414253898,191.21053437406127,135.42305107116144,55380.65797828798,27690.328989143964,131,0,303,15,0.0,0.0,0.0,0.006905318259274769,0.9665924276169265,0.7189249720044792,0.0003335222956404142,7.428113488650651e-07,0.5300155324993525,0.0011804354844083575,0.08016007581181288,0.00017703563316319999,0.0,0.0,0.0,0.0,0.0,0.0
al inab al saghirah,3936,2.839242053789731,512.0863149767084,440.0937401327946,102318.26506664029,51159.13253332013,230,0,1209,197,0.0,0.0,0.0,0.010009675489379822,0.8795843520782396,0.908784817875727,0.0001411239010524656,8.626155321055355e-08,0.3352229672978027,0.0002049040142407107,0.05484716635644698,3.293312967297946e-05,0.0,0.0,0.0,0.0,0.0,0.0
al ismailiya,4081,2.97753470761464,348.55456171075645,318.37680453781843,58228.25406499878,33549.2362054941,1029,6,9077,1753,16.0,0.0005048380311316786,0.0013462347496844761,0.010389344173912263,0.8507450122064146,0.8445670020628974,1.841627431422462e-05,1.5537226283830776e-09,0.23952962115061646,2.0153943723232348e-05,0.028415669502436767,2.3621770907434825e-06,4.0,0.00033655868742111904,0.0,0.0,0.0,0.0
