city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,4way_int_count,5way_int_count,5way_int_prop,6way_int_count,6way_int_prop,7way_int_count,7way_int_prop
elila,3852,2.0,15.971685281435224,7.985842640717612,17512.84233788793,8756.421168943963,13,0,13,0.0,0.0018239969244605704,1.0,0.48936170212765956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elista,4630,2.6852394916911044,66.83178451687169,51.15277348652056,26649.88152614614,14051.626307306153,240,1,626,0.0009775171065493646,0.004756160109532835,0.8473581213307241,0.7111329082883766,153.0,3.0,0.002932551319648094,0.0,0.0,0.0,0.0
elk,3252,2.7834274952919023,70.07590583043327,58.066663964954124,23762.362629693216,13835.24801491309,91,8,358,0.015065913370998116,0.005065027078292927,0.858508604206501,0.6464937560038425,73.0,1.0,0.0018832391713747645,0.0,0.0,0.0,0.0
elkhart,700,2.9075842696629213,55.96076359420752,46.46629696193186,24935.26970955573,13034.184549198302,604,13,2068,0.003651685393258427,0.004293384322047943,0.7533126585847195,0.8857384680490902,859.0,15.0,0.004213483146067416,1.0,0.0002808988764044944,0.0,0.0
ellesmere port,1759,2.3141176470588234,132.09332747733146,85.05774263442285,25321.3733208908,13516.948891491898,908,1,1573,0.000392156862745098,0.009772421908059164,0.9733228717143978,0.6023954447280582,68.0,0.0,0.0,0.0,0.0,0.0,0.0
elu,2659,2.6666666666666665,346.54759106969277,281.2560159406202,114261.55895909363,57130.7794795468,78,0,318,0.0,0.006065864919517843,0.9565217391304348,0.8250303766707169,18.0,0.0,0.0,0.0,0.0,0.0,0.0
eluru,8729,2.8713150049685328,471.86249787800733,397.308535808511,91788.8628107124,46441.819802019105,954,1,3951,0.00016561775422325274,0.010160293026620216,0.8124896471757496,0.909437401607424,1132.0,0.0,0.0,0.0,0.0,0.0,0.0
elx elche,1885,3.0300030931023816,128.18228830799495,114.70193630529829,26271.363447729476,19124.176248862197,340,31,2088,0.009588617383235385,0.006702630567715104,0.7582760774515928,0.43928738865447725,747.0,21.0,0.006495515001546551,5.0,0.001546551190844417,1.0,0.0003093102381688834
el abiodh sidi cheikh,1990,3.213410237923576,588.2572072013246,570.0199614120983,115771.4982185259,59338.25645869488,43,0,962,0.0,0.009913624739055285,0.7245854361932228,1.050559768869628,382.0,0.0,0.0,0.0,0.0,0.0,0.0
el carmen,445,2.9906687402799377,400.1146030747128,336.64385733035715,101609.94101576266,55236.46468472372,204,0,687,0.0,0.007243667844393544,0.692846034214619,0.9146864043630697,394.0,1.0,0.0007776049766718507,0.0,0.0,0.0,0.0
el carmen de bolivar,608,3.2113095238095237,459.5217587786445,415.30190699141383,102864.07471515682,51965.76299084196,97,1,506,0.000992063492063492,0.008842779020864699,0.5988083416087389,1.0871080139372822,400.0,4.0,0.003968253968253968,0.0,0.0,0.0,0.0
el estor,327,3.216624685138539,213.24779474994128,186.92753796720294,73836.48546381257,38732.89095577391,49,0,166,0.0,0.005505599749665793,0.5415617128463476,1.0405576679340938,180.0,2.0,0.005037783375314861,0.0,0.0,0.0,0.0
el eulma,2291,3.082869692532943,326.228539730826,306.74080265759363,70416.38014863427,38654.42227571423,204,3,2514,0.0008784773060029283,0.008439617526913308,0.7966002344665886,0.929021850711248,694.0,0.0,0.0,0.0,0.0,0.0,0.0
el hamma,2761,3.007053716766142,325.5256610633529,301.50423409394654,65311.23835223396,33163.95540311343,136,0,1422,0.0,0.009815646448275967,0.845360824742268,0.9554468894322196,285.0,0.0,0.0,0.0,0.0,0.0,0.0
el jadida,1558,2.973242065961419,290.58715404659375,265.87428676613257,51992.04895421839,28787.809035637434,410,0,3720,0.0,0.010094104545672989,0.8566687409251192,0.8619902459271558,691.0,0.0,0.0,0.0,0.0,0.0,0.0
el kef,2628,2.9490981963927854,491.56212817940906,448.8090292555887,77776.8448002578,40654.213748654285,217,0,1971,0.0,0.01209129590399914,0.8769539078156313,0.912136409227683,307.0,0.0,0.0,0.0,0.0,0.0,0.0
el kelaa des sraghna,1582,3.1824507151140318,1848.9636508353346,1796.7895702358064,348734.31566523813,190954.31116150014,73,0,1897,0.0,0.009682754160347647,0.7614998067259374,0.9622751015670342,616.0,1.0,0.00038654812524159255,0.0,0.0,0.0,0.0
el khroub,2388,2.7802108678021087,188.13872473695622,153.1964960550722,47915.23465477792,26635.863854589537,229,0,820,0.0,0.007063361104563487,0.8507704785077048,0.7907354733848029,181.0,3.0,0.0024330900243309003,0.0,0.0,0.0,0.0
el mahalla el kubra,3889,2.8928598243111345,436.11631022513797,384.74109506309566,74168.85526853357,38954.464526426294,1569,3,10043,0.0002252421352954426,0.011195541140843595,0.8720336437368579,0.8860555075675066,1694.0,10.0,0.0007508071176514753,0.0,0.0,0.0,0.0
el menia,2105,2.8081650570676033,179.46325684031206,149.99914004563396,40759.94502344004,21011.109373940588,374,1,1593,0.0004389815627743635,0.008541350846657086,0.8638559508124726,0.8390855132996263,308.0,2.0,0.000877963125548727,0.0,0.0,0.0,0.0
