city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,6way_int_prop
el oued,2413,3.26395238505995,668.8258681841845,652.7297397253396,105092.12572623535,55926.58154087494,279,0,7697,3616,1.0,0.0,8.625894936599672e-05,0.011958997846048593,0.6880013801431899,1.0412406712393771,0.0,0.0
el progreso,353,3.245251857968621,214.00253130732926,192.61994973161757,54734.3612192036,28761.03171306146,242,2,1104,1069,4.0,0.0008257638315441783,0.0016515276630883566,0.007440711217954769,0.556198347107438,1.0237849017580145,1.0,0.00041288191577208916
el puerto de santa maria,1619,2.9710244912038632,213.20160143451636,195.62478779434753,44903.18523567213,27810.46270971361,239,23,2223,412,1.0,0.00793377026560883,0.00034494653328734045,0.007666237115862496,0.8560500695410292,0.6636506003132069,1.0,0.00034494653328734045
el senbellawein city,3967,2.905185961236249,652.0806673095284,570.4424905222171,102944.28362471987,52049.67492581203,717,0,4125,879,6.0,0.0,0.0010476689366160294,0.012528044953959053,0.8454688318491357,0.9341427198881999,0.0,0.0
el showeifat district,3989,3.116567880327406,211.08808880833317,206.38135468023316,34612.47681706153,27459.28494364221,79,0,2896,565,3.0,0.0,0.000846740050804403,0.0076873119326148895,0.8396838837143663,0.47224968224827,0.0,0.0
el suki,4505,3.411483253588517,556.7301273798686,519.4372001869586,179456.79060255777,89728.39530127871,42,0,243,342,0.0,0.0,0.0,0.006204614776744309,0.45454545454545453,1.188150520416333,0.0,0.0
el tejar,226,2.645469893078222,528.7980342183532,397.8632367754295,86094.38403734377,48181.35521966398,440,0,1088,248,1.0,0.0,0.0005627462014631402,0.010975158996825767,0.8598761958356781,0.6517328825021133,0.0,0.0
el tocuyo,774,2.8567208271787297,264.18263535096975,212.28264938098602,77875.21015266604,39814.60050316645,133,0,375,169,0.0,0.0,0.0,0.006635320510875384,0.7503692762186115,0.8932542624166049,0.0,0.0
el viejo,354,3.041731066460587,244.95432105541428,205.57990159673872,68799.07418161845,34728.2129749395,104,1,307,234,1.0,0.0015455950540958269,0.0015455950540958269,0.007053467485706151,0.6362229102167183,1.0,0.0,0.0
el vigia,715,2.9233983286908076,214.2976325297725,179.2280338915437,60970.83719556767,33458.74930092875,235,3,837,359,2.0,0.0020891364902506965,0.001392757660167131,0.006404830933827644,0.7480809490579204,0.8322264942327857,0.0,0.0
el wak,5452,2.6056338028169015,30.348965694417075,23.50976215764703,31319.645303386453,15659.822651693217,16,0,51,4,0.0,0.0,0.0,0.0019380146486611455,0.9436619718309859,0.7883211678832117,0.0,0.0
emalahleni,3774,2.835261707988981,142.37599720933966,121.15687476023422,46596.327189417105,25114.098878667697,541,5,2597,485,2.0,0.0013774104683195593,0.0005509641873278236,0.005669166068716725,0.8656551724137931,0.8334023464458247,0.0,0.0
embalenhle,3761,2.956956956956957,182.59883441344593,168.79882240322056,56666.73232663644,28475.68120903,151,0,1631,216,0.0,0.0,0.0,0.0064124483299645004,0.8918918918918919,0.9488849912302681,0.0,0.0
emeishan,10330,3.2426229508196722,41.059604247461344,37.42481960916149,22880.76965418579,15898.435060356482,27,8,137,130,3.0,0.02622950819672131,0.009836065573770493,0.002582619238408279,0.5521885521885522,0.6604414261460102,0.0,0.0
emin dorbiljin,6414,2.8717277486910993,54.18652138866599,44.25705411849159,28571.45509656157,16059.191114333837,70,0,224,85,3.0,0.0,0.007853403141361256,0.0033741750131051815,0.7696335078534031,0.7733860342555995,0.0,0.0
emmiganuru,7928,2.7134117647058824,782.2908971188357,613.3160633411671,128171.73040238734,66506.99294450463,459,2,1353,311,0.0,0.0009411764705882353,0.0,0.011762535975301153,0.8535091851154027,0.8092431030417354,0.0,0.0
emure,2348,2.6835443037974684,94.68194734779695,78.30236995851563,43170.647377681686,21646.172820087286,41,0,189,7,0.0,0.0,0.0,0.004374073335492068,0.9704641350210971,0.7867803837953091,0.0,0.0
encarnacion,1108,3.3001962066710266,274.4134817308471,258.44042752937855,77929.72539612855,47721.79541882427,89,4,799,633,4.0,0.002616088947024199,0.002616088947024199,0.005750275724592758,0.5822950819672131,0.8098522167487685,0.0,0.0
endada,9162,2.7658597662771287,858.2249481314085,704.2029415802792,154771.22152864796,85113.07661478041,430,0,1669,295,2.0,0.0,0.0008347245409015025,0.010083350082804697,0.8760434056761269,0.8065594317944433,0.0,0.0
ende,12923,2.5359897172236505,110.41934281851371,79.76307283291094,34668.26384461337,17672.42748074077,216,2,487,73,0.0,0.002570694087403599,0.0,0.006248114071417047,0.9059278350515464,0.7304460245636716,0.0,0.0
