city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality,6way_int_count,7way_int_count,8way_int_count,6way_int_prop,7way_int_prop,8way_int_prop
al khobar,5826,3.1489495421080984,126.4598049535509,122.14532067609092,35317.32288439303,23033.230668913737,380,36,8277,2435.0,10.0,0.003232178128927994,0.000897827258035554,0.005490319910885296,0.779769410916952,0.7640434253795216,2.56030446290625e-05,2.3145041248474504e-09,0.16818065777276256,1.5099717882273528e-05,0.03420437239283578,3.0947610460202156e-06,0.0,0.0,0.0,0.0,0.0,0.0
al khor,5866,2.999210110584518,235.25355264633532,223.91827088375518,62304.5072141472,36523.224799621115,61,3,1098,84.0,20.0,0.002369668246445498,0.01579778830963665,0.0064412043004695415,0.9176563737133808,0.7294724315747719,0.00026212743206976817,2.090330399280448e-07,0.27001112375508873,0.0002132789287164998,0.06366256866044419,5.006392898762704e-05,0.0,0.0,0.0,0.0,0.0,0.0
al madhatiyah,5401,2.8553100498930863,211.66261676569775,184.95963517800817,57148.09457506093,29775.460141044376,177,2,1071,153.0,0.0,0.0014255167498218105,0.0,0.007108626223173916,0.8907922912205567,0.8770110833035395,0.00013398860558426996,9.55015007728225e-08,0.4589055286219012,0.0003270887588181762,0.05696369322799082,3.713757376440973e-05,0.0,0.0,0.0,0.0,0.0,0.0
al mafraq,4442,3.0872295882763434,270.44747347583046,252.89575328514505,71955.43936913388,40028.40418628011,93,0,1029,311.0,0.0,0.0,0.0,0.00675638909353592,0.7829727843684577,0.8671793079342887,0.000243177334938098,1.69935244540949e-07,0.2349079014579909,0.00016392735621632303,0.05988317356696943,3.962663494704006e-05,0.0,0.0,0.0,0.0,0.0,0.0
al malik fahd,4937,2.9545745361484324,376.6947537487533,358.3781822293002,107347.11971375433,80433.2141855685,76,5,1396,86.0,0.0,0.003198976327575176,0.0,0.00468332339522919,0.944801026957638,0.5615557698489232,0.00010306566262145386,6.636552647872109e-08,0.30706867923125214,0.00019646108716011014,0.05243725561836845,2.2414630254981148e-05,0.0,0.0,0.0,0.0,0.0,0.0
al managil,4412,3.3060029282576866,1942.2609544608943,1916.667471898452,555630.2199962463,277815.10999812285,27,0,1341,681.0,0.0,0.0,0.0,0.006991199846811852,0.6676427525622255,1.1468360615685316,0.00018996297471950596,9.27100901510522e-08,0.322695280498574,0.00015748915592902587,0.054174614070506076,2.4764301108798606e-05,0.0,0.0,0.0,0.0,0.0,0.0
al manathera,5399,2.8858447488584473,587.998774781073,528.2591732336809,142135.95846001865,76874.66581549005,89,0,715,69.0,2.0,0.0,0.00228310502283105,0.007648797800205759,0.9178082191780822,0.8305666857469949,0.0002762288705419346,3.153297608926194e-07,0.4033491132640724,0.000460444193223827,0.07155920295333026,6.845089958769112e-05,0.0,0.0,1.0,0.0,0.0,0.001141552511415525
al manshiyah al qibliyah,3911,2.612785862785863,327.81489459493883,254.20988707674053,91854.79562665189,45932.888968383406,864,2,2742,240.0,0.0,0.0005197505197505198,0.0,0.007136822916158853,0.9375975039001561,0.7975803304279954,2.9218161979722353e-05,7.593077437557784e-09,0.4519310894343862,0.00011744570931247042,0.035428786011777236,9.380625144171943e-06,0.0,0.0,0.0,0.0,0.0,0.0
al mansurah,5719,3.1016624040920715,2519.8737030657694,2413.5363217343497,625471.2342362776,358057.39771049976,132,6,2404,584.0,2.0,0.0019181585677749361,0.0006393861892583121,0.007037625026541593,0.8122998078155029,0.8918095848693701,0.00010107755552412358,3.235517142257477e-08,0.2011257891903362,6.429852595598983e-05,0.045606204764840334,1.2908008510555532e-05,0.0,0.0,0.0,0.0,0.0,0.0
al manzala,4029,3.0649414867314984,492.4301171035983,446.65286540647793,89164.0422575097,45803.19717199982,564,1,3979,1523.0,0.0,0.00016482610845557937,0.0,0.010750998784089864,0.7489284536762282,0.9637997856023749,2.815059338098717e-05,4.647613237739338e-09,0.3824951171508811,6.304518166324066e-05,0.0310818990553364,4.928371548353914e-06,0.0,0.0,0.0,0.0,0.0,0.0
