city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,4way_int_count,5way_int_count,6way_int_count,5way_int_prop,6way_int_prop
ganj dundwara,7422,1.8,7.757458105570249,3.1029832422281,18809.76311320205,9404.881556601022,6,0,4,0.0,0.0008248331527498619,1.0,0.6,0.0,0.0,0.0,0.0,0.0
ganta,1541,2.598470363288719,113.65524387809546,81.05813760330709,42398.45460634941,21199.227303174714,150,0,283,0.0,0.005361291817512372,0.8279158699808795,0.7646493756003843,90.0,0.0,0.0,0.0,0.0
ganyu,11801,3.111717974180735,49.6626916422057,44.65696850249976,24021.993280632047,15049.900560474152,203,1,1187,0.0004965243296921549,0.003299868423890839,0.6905116741182314,0.7363839840835613,616.0,5.0,2.0,0.0024826216484607746,0.0009930486593843098
ganzhou,12145,2.9861668897813476,82.72762451196469,69.69645474278863,29655.622418050887,20397.072720324497,706,9,2488,0.002008032128514056,0.004055857703028701,0.714062150681869,0.6567498042724528,1205.0,68.0,6.0,0.015171798304328426,0.0013386880856760374
gao,1954,3.3789473684210525,213.80785749398535,204.18025221501642,62350.763308760834,31258.92194830897,77,0,852,0.0,0.006839898632702265,0.5432748538011696,1.1481698389458272,761.0,19.0,1.0,0.011111111111111112,0.0005847953216374269
gaoan,11982,2.930635838150289,14.771449235742436,11.783005748742521,18616.087929423004,13455.197840303286,35,1,80,0.005780346820809248,0.001097824752267595,0.6686046511627907,0.5103244837758112,55.0,2.0,0.0,0.011560693641618497,0.0
gaobeidian,10750,3.115830115830116,5.522357785570923,4.733449530489363,6442.474511119682,4621.460848047515,37,5,111,0.019305019305019305,0.0011949376976554981,0.5826771653543307,0.5984095427435387,103.0,3.0,0.0,0.011583011583011582,0.0
gaocheng,10793,3.078484438430311,39.93650463157805,34.20812913638553,21337.33033029183,12350.58368107034,106,1,365,0.0013531799729364006,0.00323357224750345,0.6382113821138211,0.9014276002719238,263.0,4.0,0.0,0.005412719891745603,0.0
gaochun,12168,3.1818181818181817,22.763518132054436,20.064286732996596,21616.641882857475,15794.122813948188,30,4,112,0.015810276679841896,0.0014412651085599637,0.570281124497992,0.5983772819472617,104.0,3.0,0.0,0.011857707509881422,0.0
gaodu,11662,2.9552845528455283,47.01520035367249,38.22374012493698,37061.32044854058,21339.38087913716,92,1,236,0.0020325203252032522,0.0022032129526137175,0.6680244399185336,0.8311156601842374,163.0,0.0,0.0,0.0,0.0
gaomi,11671,3.3745410036719705,13.297967234108823,11.914457791147685,10944.784734466302,7874.572960605694,85,4,257,0.004895960832313341,0.0016887223346122855,0.42066420664206644,0.6471314003701419,462.0,9.0,0.0,0.011015911872705019,0.0
gaoping,10810,2.9030612244897958,11.93235328064648,9.25366172784829,12755.591720168679,8122.145644816837,44,0,84,0.0,0.001469113434115914,0.6530612244897959,0.6434108527131783,67.0,1.0,0.0,0.00510204081632653,0.0
gaosha,11405,2.716666666666667,26.84094023945036,20.13070517958777,28371.009827196238,14351.143487258802,15,0,32,0.0,0.0018702997613591016,0.7833333333333333,0.7565217391304347,13.0,0.0,0.0,0.0,0.0
gaoyang,10825,3.0833333333333335,28.953921284911196,25.379363101588826,14497.99486199354,9489.335999656067,40,0,179,0.0,0.003051206247303353,0.6759259259259259,0.7371695178849145,103.0,2.0,0.0,0.006172839506172839,0.0
gaoyi,10806,3.0173210161662816,57.08600983955204,50.560011024176,31099.71446039976,16862.3154200989,99,0,555,0.0,0.0033854194051849383,0.7551963048498845,0.8911407064273307,211.0,1.0,0.0,0.0011547344110854503,0.0
gaoyou,12085,3.1197411003236244,13.195348343231313,11.188288886493863,13927.176454466507,8476.630966060591,47,1,134,0.003236245954692557,0.0015566736827477682,0.5876623376623377,0.7528641571194763,122.0,5.0,0.0,0.016181229773462782,0.0
gaozhou,11873,2.9479553903345725,20.39998669248654,17.897386094523508,16351.674704323652,10016.822472422487,33,2,180,0.007434944237918215,0.0020365726505236713,0.797752808988764,0.7958412098298677,54.0,0.0,0.0,0.0,0.0
gapan,12822,2.488042515500443,165.17627367660467,115.72580378936607,58970.56037976401,29592.469862337653,338,0,693,0.0,0.005581699481151607,0.9131975199291408,0.7101642254771416,98.0,0.0,0.0,0.0,0.0
garadasayak,5889,3.2524590163934426,57.5195332908243,53.99921212767003,32310.883452376078,17476.91245698843,56,2,513,0.002185792349726776,0.0032911724786848246,0.6232201533406353,1.0126304228445908,343.0,1.0,0.0,0.001092896174863388,0.0
garanhuns,1432,3.213342846949697,404.34816998276386,385.01793281626715,98722.06775166262,52792.931755784746,134,0,1807,0.0,0.007659134595010586,0.6924723510524438,0.9537582574540261,858.0,4.0,0.0,0.0014270424545130217,0.0
