city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality,6way_int_count,6way_int_prop
al qurna,5629,2.897091722595078,847.4367844249089,765.9160199276581,258109.712413431,141407.54724833346,129,0,1093,118,1.0,0.0,0.0007457121551081282,0.0059928681383369115,0.9112602535421327,0.8763541277549496,0.0002471615473152485,1.8458666715104442e-07,0.37486674161119243,0.00027954268576524415,0.06761333609775819,5.0477892657194186e-05,0.0,0.0
al rahad,4193,3.433982683982684,796.9941127250304,748.6914392265437,260059.57747923458,130029.78873961684,56,0,356,511,1.0,0.0,0.0010822510822510823,0.006129319446338577,0.4458874458874459,1.192078133478025,0.0004373108578948746,4.732801492368773e-07,0.32614415498831906,0.000352969864705973,0.07247510695488729,6.850817837718599e-05,0.0,0.0
al rumaitha,5454,2.9124668435013263,490.68735878805825,445.13282945760193,129964.27339628049,70269.19602301199,105,0,915,111,0.0,0.0,0.0,0.006982965318506936,0.9018567639257294,0.8480283562250776,0.00026647607408254064,2.3561102925069907e-07,0.2929047778745162,0.00025897858344342724,0.06721470157336412,5.1367339439655276e-05,0.0,0.0
al saaida,4247,2.590909090909091,523.3849273466093,401.88485492686067,212656.1219977895,106328.06099889496,143,0,439,34,0.0,0.0,0.0,0.004922359369950786,0.9448051948051948,0.7555012224938875,0.0004245395576149454,6.914325042588687e-07,0.31125589525366054,0.0005052855442429555,0.083168555922539,0.00014603852700681107,0.0,0.0
al saff,3981,2.8785322648671445,599.5232353284399,532.0104964702816,120378.26106589923,60990.316974242865,267,0,1858,246,0.0,0.0,0.0,0.009829810125132284,0.8962463095740194,0.9113362887903736,0.00014395351422184758,6.204892854389982e-08,0.20190682846515223,8.515682347749989e-05,0.052567563067483065,2.315504792245568e-05,0.0,0.0
al sahil bahari,4156,2.506993006993007,501.8331174533942,370.5844559655834,119492.21634336587,59923.782362383325,374,0,1013,43,0.0,0.0,0.0,0.008374523397381805,0.9699300699300699,0.7366024518388792,0.00012065377441720556,8.460993998401512e-08,0.4331471034546817,0.00030290007234593126,0.05384130013542016,3.9497361720465055e-05,0.0,0.0
al salamiyah al hait,4199,2.6963927855711423,492.8171440729061,398.99424089269354,159916.30214691628,79958.15107345789,190,0,731,77,0.0,0.0,0.0,0.006163438466956957,0.9228456913827655,0.8181818181818182,0.0003772513419545787,4.733391994411276e-07,0.13963608225372534,0.00013991591408188912,0.05428531038386097,6.292452174141855e-05,0.0,0.0
al salt,4399,2.7176749703440093,213.633615572105,174.86025473873363,69461.67993869484,37696.46608840639,306,1,1248,126,4.0,0.0005931198102016608,0.002372479240806643,0.005667205383949991,0.9222551928783382,0.700148588410104,0.00013874584546549898,8.278391734218316e-08,0.2201794740211142,0.00013059280784170476,0.051619194799984586,2.9535385960282432e-05,1.0,0.0005931198102016608
al santa,3895,2.697821503865074,238.74537987177266,196.29802842584257,71781.46307835245,36145.0040930964,253,1,1093,75,1.0,0.0007027406886858749,0.0007027406886858749,0.00660521103433413,0.9465541490857946,0.8041563930961606,0.00012512342341523656,8.792932074155767e-08,0.3257582730630669,0.00022892359315746094,0.05387754136072113,3.6989090143297084e-05,0.0,0.0
al shatrah,5525,3.020475926950747,1148.8976715664026,1100.5765741457901,287197.85273249,152030.02196278068,76,0,1542,189,0.0,0.0,0.0,0.00755704469902445,0.8954067515218594,0.9254641174840676,0.00017937390372172254,9.926613376963063e-08,0.28031441367438004,0.00015512695831454347,0.0565963126743578,3.2360222494387337e-05,0.0,0.0
