city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,6way_int_prop,7way_int_count,8way_int_count,7way_int_prop,8way_int_prop
gopiganj,8366,2.235294117647059,22.477392940070526,12.560896054745294,34764.7688722258,23642.314239780124,15,0,15,4,0.0,0.0009507272728086186,0.8823529411764706,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goppingen,2594,2.7682177348551362,147.83770789256891,121.81359864545735,38148.39655272965,21002.092357787937,401,41,1527,303,0.017998244073748903,0.007039189494743278,0.861868573983013,0.7500559409263817,6.0,0.0026338893766461808,0.0,0.0,0.0,0.0,0.0,0.0
gorakhpur,8404,2.495560789998188,127.69675879078939,90.00550673965768,39293.449377944846,20151.228529946864,1629,2,3415,470,0.0003623844899438304,0.006336921771346022,0.9142649990937104,0.733883398313537,3.0,0.0005435767349157456,0.0,0.0,0.0,0.0,0.0,0.0
gore,3278,3.056603773584906,108.43583772288994,96.16008250897787,58428.01868947229,29214.00934473613,18,0,96,45,0.0,0.003711775280253624,0.7169811320754716,1.0415335463258786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gorgan,5840,2.4773900995087543,351.8009241625138,244.12032890934483,55324.310202019355,31935.5298483662,2430,6,4800,690,0.0007557626905151782,0.011015972674726475,0.9113828312113954,0.5995838850009457,12.0,0.0015115253810303565,1.0,0.00012596044841919638,0.0,0.0,0.0,0.0
gorlitz,2942,2.737544483985765,90.64128811863834,72.90011072886928,29525.48819197886,16069.776310017678,220,13,735,154,0.011565836298932384,0.005640482255010221,0.8595859585958596,0.7099684258006315,2.0,0.0017793594306049821,0.0,0.0,0.0,0.0,0.0,0.0
gorontalo,12992,2.4904281239122867,461.6674963255668,329.177120161129,104061.14812445173,52836.24470532717,1649,1,3725,371,0.0001740341106856944,0.008737704560578272,0.9354221061792863,0.7128428384849804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goronyo,2357,2.6231884057971016,104.47573362310688,81.00654708458286,41751.77370049824,20875.88685024911,31,0,97,10,0.0,0.005004612947586473,0.927536231884058,0.8302583025830258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gorzow wielkopolski,2937,2.786656322730799,81.2934777416629,67.86018778124847,23690.142600112085,14150.577001428086,213,23,888,157,0.017843289371605897,0.0057448878398003635,0.8696682464454977,0.6066481994459834,7.0,0.005430566330488751,1.0,0.0007757951900698216,0.0,0.0,0.0,0.0
gossaigaon,9727,2.4827586206896552,26.505295619400936,19.193489931290333,39862.79563664464,24441.518356466077,8,0,20,1,0.0,0.0010844373591213036,0.9655172413793104,0.5471698113207547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gossas,1469,3.3529411764705883,372.0302372004633,320.05542465039855,123205.49073176997,61602.74536588488,57,0,104,241,0.0,0.006039182750554665,0.3946078431372549,1.1849568434032058,1.0,0.0024509803921568627,5.0,0.012254901960784314,0.0,0.0,0.0,0.0
gostivar,3321,2.290650406504065,285.0091210345478,177.9858789387496,52175.78633886614,26576.10445276502,739,0,1147,82,0.0,0.01072426252467167,0.9583333333333334,0.6044263546171458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gothenburg,2682,2.608532110091743,117.01224837326478,88.09197340834962,30566.279242047003,18243.49780477648,2694,110,6915,1145,0.010091743119266056,0.00641391522751897,0.8905468025949954,0.5739976825028968,24.0,0.0022018348623853213,11.0,0.0010091743119266055,0.0,1.0,0.0,9.174311926605505e-05
gottingen,2585,2.7454642475987194,94.57406802257462,77.11268726707259,26993.96011403878,15293.284023416667,346,41,1242,235,0.021878335112059766,0.006184026130539742,0.8663393344244408,0.6683966129472821,9.0,0.0048025613660619,1.0,0.0005336179295624333,0.0,0.0,0.0,0.0
gouda,2164,2.644299674267101,159.8500300023125,123.03766152946726,33530.01503808215,19540.73122734665,707,39,1969,350,0.012703583061889252,0.008180350476271192,0.88287693830419,0.6551097903252435,4.0,0.0013029315960912053,1.0,0.0003257328990228013,0.0,0.0,0.0,0.0
govardhan,7156,2.488294314381271,153.98259148924072,107.63331645903448,75230.289029316,37974.84784837685,90,0,182,27,0.0,0.004054857365171046,0.9096989966555183,0.718381112984823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
governador valadares,1378,3.1478547854785477,198.2396497107012,185.98324892550713,52900.02240794762,29121.47725218211,281,10,3025,1216,0.0022002200220022,0.006807334943691665,0.7289966923925028,0.8995035852178709,11.0,0.0024202420242024204,2.0,0.00044004400440044003,0.0,0.0,0.0,0.0
gowribidanur,8062,2.5930232558139537,65.84316842943302,48.23394896574745,42066.996655113624,22703.204517103448,23,0,52,11,0.0,0.002900170695279167,0.872093023255814,0.592814371257485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goya,1071,3.3778322106552356,185.00517073547766,176.39500969696186,58249.86398279573,29952.66738706625,76,0,791,763,0.0,0.006176584153415467,0.5309246785058175,1.1107022385771237,3.0,0.001837109614206981,0.0,0.0,0.0,0.0,0.0,0.0
go cong,11837,2.6671949286846277,224.38684593701674,171.7572846078908,95755.59687367314,48254.85990633534,148,0,397,86,0.0,0.004650036211327953,0.8637083993660856,0.7708830548926014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
