city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,8way_int_count,7way_int_prop,8way_int_prop
grimsby,1951,2.4738571037503423,145.95741925673224,101.76664299121188,31675.542639128777,16568.70913407268,1106,14,2234,296,1.0,2.0,0.0038324664659184233,0.0002737476047084588,0.0005474952094169176,0.0088092209281759,0.9178345699367958,0.6654750446858243,0.0,0.0,0.0,0.0
groningen,2269,2.8593165377899727,143.20006109862607,121.94687168638298,34148.66081722348,21599.460769164674,595,61,2685,650,17.0,1.0,0.015215764529807932,0.004240458967323522,0.0002494387627837366,0.006629797967135274,0.8308004052684904,0.6499809910024078,0.0,0.0,0.0,0.0
gronowo gorne,3126,2.329113924050633,69.15411714843113,45.519165717954664,46208.01162960732,26825.79067445364,27,1,49,2,0.0,0.0,0.012658227848101266,0.0,0.0,0.0025778966960435953,0.9743589743589743,0.5165562913907285,0.0,0.0,0.0,0.0
grosseto,2807,2.906784335355764,228.93577925734934,204.5647889668538,35271.48683775953,24249.963068791032,193,17,1374,224,5.0,0.0,0.009376723662437948,0.0027578599007170436,0.0,0.009440665068557681,0.8724944320712695,0.46724282129913575,0.0,0.0,0.0,0.0
gros morne,745,2.601769911504425,169.54888224276664,123.03547206997226,45804.09417155249,22902.04708577627,62,0,130,34,0.0,0.0,0.0,0.0,0.0,0.007403219529142791,0.8495575221238938,0.7897091722595079,0.0,0.0,0.0,0.0
grozny,4944,3.2017149857084526,72.92699787659541,66.91178612850547,30219.140378709017,16367.128849719613,202,3,1353,882,8.0,1.0,0.0012249897917517355,0.0032666394446712946,0.0004083299305839118,0.004455698891735965,0.6357318070318888,0.9519132392060569,0.0,0.0,0.0,0.0
guaiba,1212,3.0259740259740258,172.14639543675736,147.2187031105256,48511.17091637581,27352.300305365072,223,4,841,459,10.0,2.0,0.0025974025974025974,0.006493506493506494,0.0012987012987012987,0.006293671593061274,0.6927083333333334,0.8196935115748288,0.0,1.0,0.0,0.0006493506493506494
gualeguaychu,1094,3.467982456140351,212.7272309884088,202.74397935868961,46259.129873332095,30432.179942827082,107,6,888,1271,8.0,0.0,0.002631578947368421,0.0035087719298245615,0.0,0.00699020679386292,0.43755496921723835,0.7726172132951794,0.0,0.0,0.0,0.0
guamuchil,71,3.365376056964842,351.7754489984553,334.0849168503354,86493.62091682617,47911.93795212067,113,3,1083,1046,2.0,0.0,0.0013351134846461949,0.0008900756564307966,0.0,0.007342125241312329,0.5329768270944741,1.003122908766451,0.0,0.0,0.0,0.0
guanajuato,127,2.646595385481148,425.0045850654909,330.2933775888818,85139.31854841784,47691.26695435394,792,11,2423,319,7.0,2.0,0.0030951041080472708,0.0019696117051209903,0.0005627462014631402,0.008911580928899822,0.9074230877787186,0.68803841265358,0.0,0.0,0.0,0.0
guanambi,1356,3.3202033036848793,300.56976270683157,293.3133135436425,74824.14964669551,41633.11030900226,57,0,1436,866,2.0,0.0,0.0,0.0008470986869970351,0.0,0.007219488538713377,0.6323591698432868,0.9395802416790333,0.0,0.0,0.0,0.0
guanare,771,3.0333099579242635,291.5351828348027,250.4422152683263,77290.45088968403,43639.66048068716,402,3,1551,890,6.0,0.0,0.0010518934081346423,0.0021037868162692847,0.0,0.006680509876189855,0.6855036855036855,0.8542069207799051,0.0,0.0,0.0,0.0
guangchang,12255,2.968421052631579,32.78678499438001,27.60992420579369,31411.999551788253,16149.224477600117,15,0,54,25,1.0,0.0,0.0,0.010526315789473684,0.0,0.0020302389777203927,0.7263157894736842,0.9567567567567568,0.0,0.0,0.0,0.0
guangde,12280,3.1725067385444743,27.457985872125715,23.53541646182204,21625.615332158963,14540.394773248601,53,1,148,167,2.0,0.0,0.0026954177897574125,0.005390835579514825,0.0,0.0018883934239971862,0.5432432432432432,0.6598639455782312,0.0,0.0,0.0,0.0
guangfeng,12338,2.712624584717608,39.48409393558066,29.186747178294677,25619.124747826427,13935.09123329075,157,2,305,133,5.0,0.0,0.0033222591362126247,0.008305647840531562,0.0,0.002833429166308842,0.77,0.699581589958159,0.0,0.0,0.0,0.0
guanghan,10318,3.2773333333333334,24.242820314197864,21.592271959845565,19433.182657022964,13336.346466962339,41,0,149,184,1.0,0.0,0.0,0.0026666666666666666,0.0,0.0018178007278270513,0.5066666666666667,0.7046979865771812,0.0,0.0,0.0,0.0
guangling,10531,2.811659192825112,38.97006770818834,30.7566453661038,26249.284501736638,13302.652801810322,47,0,124,52,0.0,0.0,0.0,0.0,0.0,0.002929495965111937,0.7668161434977578,0.8140589569160998,0.0,0.0,0.0,0.0
guangning,11981,2.8,29.815003583713835,23.56805045188808,20617.710179690657,13550.84416536036,22,0,60,23,0.0,0.0,0.0,0.0,0.0,0.002200232193646584,0.780952380952381,0.6146341463414634,0.0,0.0,0.0,0.0
guangrao,11379,3.2979591836734694,23.442588948455747,20.476383816202162,18231.494802651836,13583.904137271313,31,0,83,127,4.0,0.0,0.0,0.0163265306122449,0.0,0.0017257622485817108,0.46530612244897956,0.5876288659793815,0.0,0.0,0.0,0.0
guangshan,11522,3.1586538461538463,16.635378920372567,14.635934338597018,15176.041664205235,8120.676027810042,25,0,100,83,0.0,0.0,0.0,0.0,0.0,0.00204852143631923,0.6009615384615384,0.8759124087591241,0.0,0.0,0.0,0.0
