city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,8way_int_count,8way_int_prop
hsinchu,12691,2.9388300965228513,130.02133567502938,107.43128154100289,44186.31986283812,26755.795883473605,1494,24,4708,2273,89.0,9.0,2.0,0.002791022211885103,0.010350040702407257,0.0010466333294569135,0.00023258518432375856,0.004859557766148917,0.723265306122449,0.7540390784485272,0.0,0.0
hsipaw,10199,2.773755656108597,82.76090615998427,63.28775176939973,31968.544298179284,15984.272149089667,52,0,115,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00517764621298053,0.755656108597285,0.8832951945080092,0.0,0.0
huacheng,12359,2.774193548387097,13.78539998980548,10.672567734042952,18134.498912227966,10425.627640573955,7,0,17,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013222609194439407,0.7741935483870968,0.7017543859649122,0.0,0.0
huacho,504,3.0525124490719784,242.80637897258515,215.98666124089172,63113.704208245,33981.046654939644,244,1,1373,578,12.0,1.0,0.0,0.0004526935264825713,0.005432322317790856,0.0004526935264825713,0.0,0.007145347270734808,0.7323369565217391,0.9136250283382453,0.0,0.0
huadian,11621,3.1358024691358026,14.2535111380789,12.0538952217087,12929.809378875394,8674.215720905533,25,1,64,71,1.0,0.0,0.0,0.006172839506172839,0.006172839506172839,0.0,0.0,0.0016432045958606762,0.5527950310559007,0.6403785488958991,0.0,0.0
huaguanying,10925,2.921311475409836,45.28784907844595,37.3439148958333,26863.350600011076,16747.274421140446,107,1,336,165,1.0,0.0,0.0,0.001639344262295082,0.001639344262295082,0.0,0.0,0.0027041922129894835,0.7274220032840722,0.7436108821104699,0.0,0.0
huaibei,11551,3.0312891113892366,8.802532469927145,7.138975019415256,8580.278803863474,5866.148775936268,151,5,315,325,2.0,1.0,0.0,0.006257822277847309,0.0025031289111389237,0.0012515644555694619,0.0,0.0015005641360540185,0.5869017632241813,0.6285533796588756,0.0,0.0
huaibin,11536,2.742424242424242,17.225770898185857,14.006813710141026,21807.443771186354,10916.975332823049,37,0,138,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015778885976223418,0.8838383838383839,0.8593350383631714,0.0,0.0
huaihua,11246,3.1631067961165047,29.551873870425283,27.02705357858312,16893.689058742984,11913.18832607733,44,1,301,165,4.0,0.0,0.0,0.001941747572815534,0.007766990291262136,0.0,0.0,0.0024806015872122,0.6712062256809338,0.5562072336265884,0.0,0.0
huaiji,11924,2.8789473684210525,25.88190941293672,21.522850985494745,21336.712652055354,12269.151605894356,32,0,117,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021095109298757474,0.7842105263157895,0.8186666666666667,0.0,0.0
huailai,10584,3.2403846153846154,14.47280576750343,13.011609031361257,12121.631742588213,7792.511608606821,21,3,91,91,2.0,0.0,0.0,0.014423076923076924,0.009615384615384616,0.0,0.0,0.0018572709922585462,0.5463414634146342,0.7234567901234568,0.0,0.0
huaining,11957,3.2764227642276422,30.237385855070336,26.91864838317237,28050.364533905537,15272.655673415256,27,0,102,113,3.0,1.0,0.0,0.0,0.012195121951219513,0.0040650406504065045,0.0,0.001979838117329118,0.524390243902439,1.0266940451745379,0.0,0.0
huairen,10412,3.0833333333333335,18.676534935992258,15.71941690446015,18056.257561768733,11790.335886891464,38,5,98,97,2.0,0.0,0.0,0.020833333333333332,0.008333333333333333,0.0,0.0,0.0015840545269585485,0.5787234042553191,0.6989247311827957,0.0,0.0
huairou,10719,3.08187134502924,23.06608064050466,20.13223705026503,16989.047195915162,11030.931503347541,87,2,376,207,11.0,1.0,0.0,0.0029239766081871343,0.01608187134502924,0.0014619883040935672,0.0,0.002091036521576154,0.6788856304985337,0.6806475349521707,0.0,0.0
huaiyang,11311,2.9349775784753365,30.333280298503638,24.756309481289964,23337.381539877286,16009.352949391961,82,2,229,129,4.0,0.0,0.0,0.004484304932735426,0.008968609865470852,0.0,0.0,0.0018947224409625939,0.7004504504504504,0.6704416761041903,0.0,0.0
huaiyuan,11749,3.1066945606694563,19.98449180307586,17.434169627369524,14151.142817181986,9609.849298447161,61,2,248,159,8.0,0.0,0.0,0.0041841004184100415,0.016736401673640166,0.0,0.0,0.0020795843079771414,0.6491596638655462,0.6219640971488912,0.0,0.0
huai an,11937,3.3202443280977314,15.117832092879848,13.653539455611382,15923.822346224004,10658.880732909236,111,11,443,567,11.0,2.0,0.0,0.009598603839441536,0.009598603839441536,0.0017452006980802793,0.0,0.0014183320436454104,0.4881057268722467,0.7858719646799117,1.0,0.0008726003490401396
huajuapan,179,2.907075873827792,294.74196154379,247.87974856176373,68570.54818492148,36426.70724028582,373,1,1451,515,4.0,2.0,0.0,0.00042625745950554135,0.0017050298380221654,0.0008525149190110827,0.0,0.008091369873196296,0.7778251599147121,0.8552828175026681,0.0,0.0
hualien,12721,3.1103351955307263,131.40790687390233,116.17486738991644,44459.84755541001,23534.944143277302,332,7,1561,943,19.0,2.0,0.0,0.0024441340782122905,0.006634078212290503,0.0006983240223463687,0.0,0.0055835232101640086,0.6625831291564578,0.9658434051497635,0.0,0.0
huamantla,191,2.758595988538682,324.265995603631,249.93568142514823,76152.97640689592,44121.950235350196,320,1,782,282,11.0,0.0,0.0,0.0007163323782234957,0.007879656160458453,0.0,0.0,0.007349312391541373,0.7899641577060932,0.6998204667863555,0.0,0.0
