city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality
andria,3107,2.9738684087727485,279.01247169653516,247.11417231918978,44608.80118973344,27926.865540164876,245,15,1441,436,5.0,1.0,0.006999533364442371,0.0023331777881474567,0.0004666355576294914,0.009990826621600437,0.7922932330827067,0.6403199247235944,0.00015878430814366597,7.416361893678934e-08,0.14708078045679848,6.863312200503896e-05,0.052546214227753976,1.9417503740812996e-05
andulo,3275,2.9380022962112515,164.4735198733513,148.6115501037055,53089.81473321532,26616.068034070307,84,0,673,114,0.0,0.0,0.0,0.0,0.0,0.006179482245943107,0.8691159586681975,0.9343696027633851,0.0003894003248453447,4.4707270361118796e-07,0.21523221049840466,0.00024710931170884577,0.07245525050425759,8.128677525832377e-05
aneho,2049,2.7157275021026073,219.55456845337062,174.68344975348074,49205.21285357464,25372.52253131955,243,1,797,147,1.0,0.0,0.0008410428931875525,0.0008410428931875525,0.0,0.008653241638956276,0.8754208754208754,0.8228595529312527,6.64543034361407e-05,5.73376216015019e-08,0.4435324424948486,0.0003730298086584092,0.04288838619371552,2.3561925423109865e-05
anfu,11976,3.0480349344978164,39.182513839147916,33.70722806249842,30366.73602004827,15765.079823408794,32,0,124,71,2.0,0.0,0.0,0.008733624454148471,0.0,0.0024853990133921,0.6812227074235808,0.9646799116997793,0.002083073356180326,9.096390201660812e-06,0.3513557397303758,0.001534304540307318,0.1461767491580405,0.0007026345714699547
angarsk,8031,2.887212073073868,32.942357040491714,27.47376877880564,15040.42175195674,8571.449358911848,209,5,772,265,8.0,0.0,0.003971405877680699,0.006354249404289118,0.0,0.0038432656673449417,0.7822966507177034,0.6891729924091091,0.00020871807109373912,1.737869034918727e-07,0.24688925430580103,0.0001960994871372526,0.057885103870736504,4.260200826535686e-05
angers,1907,2.7757811235227456,124.89267364114195,104.95675390499723,28168.43387212619,16991.950987747805,986,86,4473,595,33.0,4.0,0.013922616156710378,0.005342399222923749,0.0006475635421725757,0.007350107926464531,0.8962403546215728,0.6264268703293093,3.7797349983891536e-05,6.152913883101341e-09,0.1525791681842533,2.4701176652785058e-05,0.03603933181869834,5.633642857573561e-06
anglet,1824,2.7437412095639946,186.0164249101842,156.8712354094887,38948.60671944687,23415.93515387787,557,67,2672,250,7.0,2.0,0.018846694796061884,0.001969057665260197,0.0005625879043600563,0.007944010080647084,0.9257454128440367,0.5725147037727729,5.2553780384462356e-05,1.5023950938954362e-08,0.29306625785466706,8.24377659225505e-05,0.035334858408828704,8.16015727812906e-06
angouleme,1967,2.7705022250476796,130.25931807692703,111.42016050381774,29373.18113475143,17259.53387634682,455,42,2427,215,6.0,1.0,0.013350286077558804,0.0019071837253655435,0.0003178639542275906,0.007547093624320863,0.928479381443299,0.6105110430436885,6.982376156608371e-05,2.233645603521552e-08,0.18638225119384486,5.9244199362315594e-05,0.03932294780870319,1.0903220309630187e-05
angra dos reis,1353,2.630968622100955,179.84205988861254,137.39638954655254,40733.75769959134,21872.286681581336,346,3,965,150,2.0,0.0,0.0020463847203274215,0.001364256480218281,0.0,0.008222371190848446,0.8961038961038961,0.6668948990071893,7.759691486799304e-05,5.300335715026847e-08,0.44957016066391897,0.0003066645024992626,0.047819394529973025,2.8531097087478927e-05
angul,9290,2.881782945736434,59.40620237987618,51.577478035241334,25462.595742962778,13320.07101634384,68,0,374,73,1.0,0.0,0.0,0.001937984496124031,0.0,0.0044599013253746374,0.8565891472868217,0.8948393378773125,0.0005491925930141393,1.0643267306475568e-06,0.4259264054312669,0.0008254387702156335,0.09449637484879377,0.00016349117079235642
anguo,10804,3.0598591549295775,63.239441496924854,57.22724107292143,24453.919718892757,14377.410869787162,81,1,562,203,4.0,1.0,0.0011737089201877935,0.004694835680751174,0.0011737089201877935,0.004398527806548039,0.7555816686251469,0.8302887448438421,0.0004918737517256618,5.786750020301904e-07,0.15557717240052862,0.00018260231502409462,0.08374612693738288,9.057011488792423e-05
anhua,11352,2.4242424242424243,8.614629780494717,5.743086520329811,17404.773506038455,8702.38675301923,11,0,19,3,0.0,0.0,0.0,0.0,0.0,0.0009899157581689797,0.9090909090909091,0.7868852459016393,0.013180398417236375,0.0003994060126435265,0.41431451612903225,0.012554985337243401,0.299058086273995,0.008432147562582345
anichampalayam,8289,2.824372759856631,138.92720694764233,120.00522177197779,50325.029288684396,27318.87851542326,38,0,214,27,0.0,0.0,0.0,0.0,0.0,0.005085392025489224,0.9032258064516129,0.8878842676311031,0.0013643858677134721,4.890271927288431e-06,0.304830293118174,0.0010925816957640644,0.12087714018612486,0.00044360001115289257
anie,2028,2.5326633165829144,69.5017585559416,48.19719940060272,34874.69159663979,17437.345798319875,61,0,110,27,1.0,0.0,0.0,0.005025125628140704,0.0,0.003985799178372562,0.8592964824120602,0.7684478371501272,0.0012852349614874924,6.590948520448679e-06,0.3286191845721149,0.0016513526862920347,0.12448270921315235,0.0005863596931274176
anjangaon,7579,2.946969696969697,78.0348001287556,70.34955466152967,37916.56313896146,18958.281569480732,13,0,100,19,0.0,0.0,0.0,0.0,0.0,0.004116132564165359,0.8560606060606061,0.9922779922779923,0.003892347236424283,2.9487479063820325e-05,0.2839432557371992,0.0021510852707363574,0.18000011524090315,0.0012922190656565655
anjar,6440,2.6736842105263157,147.27139689562725,113.83082406669534,41604.552307185935,21608.162732804838,151,0,429,85,0.0,0.0,0.0,0.0,0.0,0.006815544603060787,0.8721804511278195,0.8083018867924529,0.00040845428083667384,6.142169636641712e-07,0.25320452100659085,0.0003807586782053998,0.08060247062869155,0.00011913218842864913
anji,12328,3.41025641025641,42.99736478430582,40.42487287413368,27232.825414742463,19434.995816918374,42,1,294,357,8.0,0.0,0.0014245014245014246,0.011396011396011397,0.0,0.002212368100788381,0.4793152639087018,0.6857551896921976,0.0006825955597888131,9.723583472775115e-07,0.17039481992675576,0.00024272766371332728,0.09189740696223908,0.00011712795774631915
anju,12024,2.4386617100371746,86.77426962898762,60.00005260591709,49926.60958033126,26279.279814933623,83,0,171,15,0.0,0.0,0.0,0.0,0.0,0.0033020033364718295,0.9442379182156134,0.6679174484052532,0.00048407683138677226,1.799542124114395e-06,0.494738985649602,0.0018391783853145057,0.0979495495919446,0.0003082795566209616
ankang,10634,2.726600985221675,13.421742333289002,10.512596211787937,15977.35156322852,9418.61521782076,88,1,252,64,1.0,0.0,0.0024630541871921183,0.0024630541871921183,0.0,0.001425022895923597,0.8395061728395061,0.6273291925465838,0.000583778371540372,1.45944592885093e-06,0.2296341552144632,0.0005656013675233083,0.09514761112926681,0.00019393654451125715
ankleshwar,6763,2.535135135135135,487.4556951296637,347.39018955897797,108266.91672027032,55799.57734969058,1010,0,2119,386,0.0,0.0,0.0,0.0,0.0,0.008735831314184081,0.8901849217638691,0.7501779359430605,4.4757552982039355e-05,1.2828189447417414e-08,0.3500629417137023,9.959116407217703e-05,0.03988689944374503,1.3056471670157594e-05
