city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,7way_int_count,8way_int_count,6way_int_prop,7way_int_prop,8way_int_prop
junin,1076,3.5448851774530272,178.82412721222664,175.01618128829196,42622.4024163632,28926.206513973855,51,6,928,1407,3.0,0.0025052192066805845,0.0012526096033402922,0.006182080153712488,0.40979489326077856,0.7655562539283469,0.0,0.0,0.0,0.0,0.0,0.0
jurong,12150,3.373040752351097,38.527831558071675,34.66297071212091,32165.17262282576,23058.36429533393,32,1,110,171,4.0,0.003134796238244514,0.012539184952978056,0.0016708831148906835,0.44654088050314467,0.6513470681458003,0.0,0.0,1.0,0.0,0.0,0.003134796238244514
jutiapa,307,2.769461077844311,252.90604358812007,199.90178295587933,70892.14570384474,37165.20830874516,140,2,399,126,1.0,0.0029940119760479044,0.0014970059880239522,0.006804913926141239,0.8093093093093093,0.7882441597588545,0.0,0.0,0.0,0.0,0.0,0.0
juticalpa,378,3.0701559020044544,295.19480599300437,257.06273751283896,77532.62257160497,40404.253906434875,116,0,491,287,4.0,0.0,0.004454342984409799,0.0073060328419030885,0.6759465478841871,0.9491903964265773,0.0,0.0,0.0,0.0,0.0,0.0
juwana,12491,2.63582571274879,243.46878815899223,186.8907803673383,61813.51503549642,31016.88006153415,432,0,1240,187,0.0,0.0,0.0,0.0078495576497693,0.8994082840236687,0.7953137624562349,0.0,0.0,0.0,0.0,0.0,0.0
juxian,11648,3.323232323232323,6.5309292096178195,6.0911359968489425,9297.42308245138,5516.30251892653,20,0,144,131,1.0,0.0,0.003367003367003367,0.0011839323871760273,0.5521885521885522,0.9066213921901528,1.0,0.0,0.0,0.003367003367003367,0.0,0.0
juye,11288,3.3222222222222224,7.744162224288992,7.055792248796638,8722.02924761642,6059.84570434038,16,1,73,89,1.0,0.005555555555555556,0.005555555555555556,0.0012779470966962439,0.4972067039106145,0.6798866855524079,0.0,0.0,0.0,0.0,0.0,0.0
jyvaskyla,3242,2.7673579801623083,133.3290357554755,107.96165383987105,35728.8873093306,21853.465843476544,211,52,635,206,5.0,0.046889089269612265,0.004508566275924256,0.006101047619193794,0.8003784295175024,0.5476529160739687,0.0,0.0,0.0,0.0,0.0,0.0
kabalo,3740,2.7111111111111112,33.4684730612415,24.543546911577096,31202.871633223043,15601.43581661152,12,0,22,11,0.0,0.0,0.0,0.00214521749502095,0.7555555555555555,0.8941176470588236,0.0,0.0,0.0,0.0,0.0,0.0
kabba,2404,2.755129958960328,177.5139096660107,149.83048189319916,65879.76594600367,33043.66085860955,114,0,568,49,0.0,0.0,0.0,0.0053721017905847225,0.93296853625171,0.8428277282086479,0.0,0.0,0.0,0.0,0.0,0.0
kabinda,3586,2.5868544600938965,37.964702756680005,27.983372454454276,29782.28658273556,14898.320759045308,56,0,133,24,0.0,0.0,0.0,0.0025482538180439072,0.8873239436619719,0.7885985748218527,0.0,0.0,0.0,0.0,0.0,0.0
kabirwala,6355,2.62890625,66.54045051898815,49.90533788924112,43613.89306595829,22034.952065307894,64,0,160,31,1.0,0.0,0.00390625,0.0030197683354051983,0.875,0.7988165680473372,0.0,0.0,0.0,0.0,0.0,0.0
kabondo dianda,3640,2.8333333333333335,34.84987142044556,27.226462047223094,28155.580311403315,14100.787622153966,21,0,49,26,0.0,0.0,0.0,0.002471484030132642,0.7291666666666666,0.9144385026737968,0.0,0.0,0.0,0.0,0.0,0.0
kabongo,3638,3.1586206896551725,100.48956133024005,90.09408946849108,70696.92764426606,35348.46382213306,15,0,77,53,0.0,0.0,0.0,0.0028428268293605335,0.6344827586206897,1.0947368421052632,0.0,0.0,0.0,0.0,0.0,0.0
kabongo,3641,3.1912751677852347,229.51163774316154,212.56782556078048,113064.21489819378,56532.10744909707,22,0,176,99,1.0,0.0,0.003355704697986577,0.004059845777902753,0.6644295302013423,1.0846023688663282,0.0,0.0,0.0,0.0,0.0,0.0
kabuga,4196,2.8901601830663615,221.6653059936217,199.34660241531654,123699.54031889897,62012.351516530565,44,2,349,42,0.0,0.004576659038901602,0.0,0.003574534759168625,0.903448275862069,0.900578034682081,0.0,0.0,0.0,0.0,0.0,0.0
kabwe,3822,3.0196139476961394,277.0577869124048,261.01396737140004,99261.83774168468,50007.45873288893,186,0,2591,435,0.0,0.0,0.0,0.005540329261526527,0.8645703611457036,0.9622994235862283,0.0,0.0,0.0,0.0,0.0,0.0
kadafa,2676,2.814814814814815,21.55678265722965,19.161584584204135,21735.870020351053,10887.70417667092,3,0,23,1,0.0,0.0,0.0,0.001979919945236881,0.9629629629629629,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
kadapa,8326,2.607933579335793,111.4786502395431,83.40330751316371,38291.72608615959,20738.715967219556,273,0,691,119,1.0,0.0,0.0009225092250922509,0.005375388255268587,0.8892988929889298,0.6981044845122515,0.0,0.0,0.0,0.0,0.0,0.0
kadayanallur,8203,2.8693181818181817,134.43981034470056,116.87097149283628,69997.01152966435,34998.50576483222,23,0,130,23,0.0,0.0,0.0,0.003841301432925477,0.8693181818181818,0.9423631123919308,0.0,0.0,0.0,0.0,0.0,0.0
