city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,7way_int_count,8way_int_count,6way_int_prop,7way_int_prop,8way_int_prop
kalabahi,13004,2.574344023323615,73.2801107081251,54.69302723405254,34097.85978212179,17122.14270370814,87,0,228,28,0.0,0.0042798446418890555,0.9183673469387755,0.7709251101321586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kalaburagi,7702,2.9662704096247494,933.337017474678,846.713931349844,162376.8436202007,84760.96354487847,1296,1,10554,2104,7.161271841879118e-05,0.011011401692956252,0.8486714889350426,0.9339923355180688,9.0,0.0006445144657691206,0.0,0.0,0.0,0.0,0.0,0.0
kalamazoo,718,2.897742019205814,58.542984984958544,49.16820643948244,24961.943656084644,13445.251885762915,617,21,2375,822,0.005450298468725669,0.0043541753983017085,0.7807933194154488,0.8352265308787048,17.0,0.004412146379444588,0.0,0.0,1.0,0.0,0.0,0.0002595380223202699
kalar,5397,2.9734702610183996,348.7008555009795,326.6179600734464,77952.64443417496,42856.14295725856,148,0,1955,234,0.0,0.008136543128688624,0.8998716302952503,0.8678517883915186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kalemie,4045,2.7654417513682565,124.20843973190824,103.7174461561204,43981.68477481094,22107.15067509059,211,0,947,120,0.0,0.005618473477536891,0.9053948397185301,0.863689776733255,1.0,0.0007818608287724785,0.0,0.0,0.0,0.0,0.0,0.0
kalianda,11785,2.5052083333333335,288.75906495190833,205.66563610507012,85943.80980773346,44405.09566476249,221,0,485,62,0.0,0.00650283623149701,0.9192708333333334,0.697583278902678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kalibening,11647,2.458100558659218,265.1199030264787,185.6333026777579,72361.96950666889,36180.98475333441,161,0,345,31,0.0,0.007327603293109526,0.9422718808193669,0.6997193638914874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kalibo,12924,2.4144927536231884,694.4133608257857,464.9550329007435,139882.3405818363,71065.17291665514,456,0,823,98,0.0,0.009771500333084254,0.9268115942028986,0.6638838475499093,3.0,0.002173913043478261,0.0,0.0,0.0,0.0,0.0,0.0
kalimva,4116,2.8222222222222224,291.3013650963076,253.75585581722797,153930.1425160212,76975.82707541477,58,0,357,34,0.0,0.0037843226395075148,0.9222222222222223,0.8569832402234637,1.0,0.0022222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
kaliningrad,3168,2.687460815047022,62.75645465388442,49.18217449363983,23453.600616721636,13194.507802712704,690,28,2083,370,0.00877742946708464,0.004756255829488547,0.8769765970904491,0.6657699003006805,16.0,0.005015673981191223,3.0,0.0,0.0,0.0009404388714733542,0.0,0.0
kalisz,3085,2.7740384615384617,89.96004375394894,73.81336923400939,26664.09043572143,15106.597509493,224,12,840,168,0.009615384615384616,0.005955016918761353,0.86084142394822,0.6449128496149169,2.0,0.0016025641025641025,2.0,0.0,0.0,0.0016025641025641025,0.0,0.0
kaliyaganj,9547,2.4390243902439024,25.92457432442664,18.33689403435055,34449.09285378463,17224.5464268923,12,0,28,1,0.0,0.001505094745714243,0.975609756097561,0.7792207792207793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kalka,6805,2.5584415584415585,40.26720269598506,29.808189008716216,56310.11121716093,34039.07602384911,20,0,51,6,0.0,0.0011829699098698297,0.922077922077922,0.5973154362416108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kallachak,9555,2.4761904761904763,11.690522634937219,7.793681756624813,34744.872352937455,17372.436176468727,7,0,11,3,0.0,0.0006729351321936205,0.8571428571428571,0.7027027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kallakkurichi,8494,2.5694915254237287,150.22746599590306,113.56177937995385,73567.61126925626,39162.59899542381,72,0,206,17,0.0,0.00383599326524415,0.9423728813559322,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kalmeshwar,7904,2.7698412698412698,88.22158264328345,73.51798553606955,51853.604733634675,25926.80236681736,21,0,92,13,0.0,0.0034027174425564567,0.8968253968253969,0.8866396761133604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kalmunai,9256,3.083565459610028,158.04166369015874,148.23087995133474,42888.15040551548,21474.121671302575,156,0,1835,522,0.0,0.007359633428051276,0.7922801432550736,1.0300736904999004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kalna,9698,2.664285714285714,15.40012454324194,12.100097855404382,13454.39690783493,6727.198453917466,30,0,97,13,0.0,0.0022892329769569897,0.9071428571428571,0.8109090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kalol,6646,2.634502923976608,156.40796575899017,120.43108474620102,48655.15065058133,25317.94705825512,236,0,699,86,0.0,0.006177750723591632,0.9113060428849903,0.8114313629702002,4.0,0.003898635477582846,1.0,0.0,0.0,0.0009746588693957114,0.0,0.0
kalpakkam,8740,2.7250308261405674,278.85259109983303,227.96457200886474,76094.95270216037,38551.9222356507,148,0,590,73,0.0,0.007233169578298368,0.9099876695437731,0.8274582560296846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
