city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
knoxville,640,2.989739918873777,83.47655212209021,72.1431810513507,33351.35261029097,18841.47058994857,569,12,2543,1032,31.0,3.0,1.0,0.002863278453829635,0.007396802672393224,0.0007158196134574087,0.00023860653781913624,0.004430469040278775,0.7446757597511366,0.8577756494672573
kobani,4508,3.2602611940298507,288.4583210746627,266.1243279317551,61590.932398338475,33700.75436698058,83,0,548,437,4.0,0.0,0.0,0.0,0.0037313432835820895,0.0,0.0,0.008559402496855953,0.5886194029850746,0.9953249181860683
koblenz,2369,2.66604774535809,114.21432863964814,90.856438087614,32669.729749255348,19228.481558199564,771,57,2613,319,9.0,1.0,0.0,0.015119363395225464,0.0023872679045092837,0.0002652519893899204,0.0,0.00593985168792197,0.9113924050632911,0.6334725778197009
koboko,4272,2.8577586206896552,84.20676258129232,74.40683762571089,57336.88480073484,28988.365306064585,27,0,184,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029048468822654044,0.9094827586206896,0.8191721132897604
kodada,8455,2.8640167364016738,166.12771802182738,137.2812732607151,47269.36954983038,25541.748782815554,83,0,294,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006504163807828141,0.7887029288702929,0.8359621451104101
kodaikanal,8194,2.4936305732484074,195.827389694608,142.19313646614847,105343.5225925671,52993.56650382723,86,0,216,11,1.0,0.0,0.0,0.0,0.0031847133757961785,0.0,0.0,0.003695304970282859,0.9617834394904459,0.7030497592295345
kodinar,6556,2.8333333333333335,22.62953192427918,18.85794327023265,31515.673890773203,15757.836945386602,7,0,28,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014360811069887606,0.8333333333333334,0.8987341772151899
kodoli,7214,2.6218487394957983,105.04157723301621,81.20861433140749,57365.47828544914,28682.739142724546,54,0,166,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036621877956052986,0.9243697478991597,0.8089171974522293
kodungallur,7873,2.3554455445544553,348.05259987379384,227.4403127888158,127867.00966972057,65723.87655350512,350,1,610,48,1.0,0.0,0.0,0.0009900990099009901,0.0009900990099009901,0.0,0.0,0.005295679715277414,0.9514370664023786,0.6219572776949827
koforidua,1935,2.5740853658536587,151.75555319673109,115.20467300605499,45426.072292168436,23252.31602166519,790,0,2307,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006526470440851306,0.9442073170731707,0.743859649122807
kohat,6217,2.5976653696498055,815.2008174897644,617.9031877315413,313345.57131426514,157819.1200950901,311,0,869,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051654122580241536,0.9182879377431906,0.762962962962963
koidu town,1524,2.63115845539281,63.8888004021914,48.66097713722168,23655.61449592132,12064.714023333805,179,2,487,83,0.0,0.0,0.0,0.002663115845539281,0.0,0.0,0.0,0.0052955088930103965,0.8891855807743658,0.7494976557267247
kokand,6065,2.785625774473358,52.87476511926138,43.78930362004092,23521.62541166057,12357.481782067489,416,4,1687,311,3.0,0.0,0.0,0.0016522098306484924,0.0012391573729863693,0.0,0.0,0.004278765370788601,0.8700868845676458,0.8214951335680265
koko,2237,3.0155642023346303,209.24538846705755,201.91772894875592,65403.45654832822,32730.689898528486,27,0,678,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006392941582220204,0.914396887159533,0.9850357839947951
koko town,2347,2.5851063829787235,53.4530659437357,39.80547463895212,34912.483339397324,17531.06856957461,24,2,57,11,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0030490477937268564,0.8804347826086957,0.8212290502793296
kokshetau,5892,3.102750809061489,51.94178691387819,44.08328031768465,23592.698820192752,11966.45132397371,187,2,544,503,0.0,0.0,0.0,0.0016181229773462784,0.0,0.0,0.0,0.004340617406750946,0.5923824959481362,1.0381648396264718
kolaka,12942,2.898268398268398,260.01575416780645,221.46363477279618,74103.71129757383,41911.17371856508,137,0,607,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006203972141506245,0.8051948051948052,0.7769940314704287
kolar,8230,2.7363666778186686,891.0143215860743,714.8385223029128,157195.00082977198,83625.03486288784,591,0,2005,392,1.0,0.0,0.0,0.0,0.00033456005352960856,0.0,0.0,0.010654875337833786,0.8685178989628638,0.8106479156202913
kolar gold fields,8266,2.8268850607173115,2216.9757515479255,1867.6189400924773,364615.20810900594,183435.00165030608,558,1,2488,484,10.0,0.0,0.0,0.0002824060999717594,0.002824060999717594,0.0,0.0,0.012085892722776478,0.86045197740113,0.902190812720848
kolasib,10049,2.8728813559322033,95.47459176230991,84.95620453425883,61207.03171777799,30621.77294724337,13,0,95,9,1.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0031178662295876214,0.9152542372881356,0.8917748917748918
