city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,8way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,8way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
laizhou,11586,3.21760391198044,13.207279044962604,11.624988890431633,12129.452215626532,8810.656353942622,49,3,173,181,2.0,0.0,0.0,1.0,0.007334963325183374,0.004889975550122249,0.0,0.0,0.0024449877750611247,0.0014990119367273432,0.5467980295566502,0.6171003717472119
lajeado,1192,3.015281401416325,209.02039222106583,176.53380871149278,54574.90881383699,30617.031812494886,417,8,1392,849,17.0,0.0,0.0,0.0,0.002981736861721953,0.00633619083115915,0.0,0.0,0.0,0.006826931934524237,0.6762616822429907,0.7960710944808232
lakeland,534,2.927960057061341,103.04494966707608,87.78175336593762,36993.383640571534,20159.291164779148,623,31,2597,936,19.0,0.0,0.0,0.0,0.007370423204945316,0.00451735615786971,0.0,0.0,0.0,0.005111536354368886,0.7712574850299401,0.8304373876572798
lakewood,947,2.8197009674582234,93.10829896621638,75.4201788459853,35711.2285049269,18260.2062522747,216,4,686,231,0.0,0.0,0.0,0.0,0.003518029903254178,0.0,0.0,0.0,0.0,0.005098973017055475,0.7961165048543689,0.8505086245024326
lake charles,366,2.9865107913669067,78.69229776639735,67.86503017803511,32220.437125323104,17422.113651438987,459,0,2020,843,12.0,2.0,0.0,0.0,0.0,0.0035971223021582736,0.0005995203836930455,0.0,0.0,0.004516805442828558,0.74310551558753,0.8671066446677667
lake havasu city,72,2.682471822774971,68.52893393928079,52.52198123912231,30040.081857169975,15063.887128143662,601,0,1589,381,2.0,0.0,0.0,0.0,0.0,0.000777302759424796,0.0,0.0,0.0,0.004549219823298403,0.8511465215701516,0.8029566232250535
lakheri,7060,2.238095238095238,8.540004384381318,4.8800025053607525,18667.485783762753,9333.742891881378,9,0,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009149603201315449,0.9047619047619048,0.7027027027027027
lakhimpur,7731,2.519607843137255,25.825043166608516,16.96350874669383,28581.102660376968,14360.35553571439,35,0,46,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017983568096473167,0.7941176470588235,0.7587939698492462
lakhisarai,9173,2.7954545454545454,11.392471954999756,9.580033234886159,19601.82148013903,9800.91074006951,7,0,32,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011623891143527504,0.8863636363636364,0.9518072289156626
lakota,1611,3.0211416490486256,131.97600423929364,114.11878590670422,47659.83648404809,23829.918242024072,64,0,271,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00553824830194146,0.7082452431289641,1.0010626992561105
laksar,7070,2.6842105263157894,49.63858493323012,40.49463507710878,49956.548807855535,24978.274403927797,14,0,58,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019872703826740138,0.9473684210526315,0.8367346938775511
lakshmeshvara,7543,2.8349514563106797,55.261127259104306,46.67687448099101,30145.886505068,15570.622550308388,16,0,74,11,2.0,0.0,0.0,0.0,0.0,0.019417475728155338,0.0,0.0,0.0,0.0035490634417831815,0.8737864077669902,0.8805970149253731
lakshmipur,9958,2.2951807228915664,2.882472355434487,1.7885220036732057,7944.518559506892,4008.6946766800056,63,0,94,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007190551009541455,0.9457831325301205,0.6330275229357798
lakuwe,2180,2.5215189873417723,94.23393638753883,69.42297592094633,30975.077074801946,16200.234012982326,312,0,817,55,1.0,0.0,0.0,0.0,0.0,0.0008438818565400844,0.0,0.0,0.0,0.005816825628075675,0.9527426160337553,0.7040169133192389
lala musa,6431,2.4916943521594686,55.841178346009386,39.51551823156146,38966.50260757271,22001.722582662507,88,0,190,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002538036653094271,0.9235880398671097,0.6331658291457286
lalganj,7946,2.793103448275862,18.878781077818452,14.972826372062912,37264.57729038957,18632.288645194785,6,0,18,4,1.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0010132293159105408,0.8275862068965517,0.9811320754716981
lalgola,9610,2.5853658536585367,8.085301900576138,5.916074561397174,18037.728764878342,9018.864382439173,11,0,25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008964878013155631,0.8780487804878049,0.8051948051948052
lalitpur,7551,2.2941176470588234,15.244763907482278,9.191695885393727,17255.524727170232,10008.81074708069,27,0,35,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015231343955553142,0.9117647058823529,0.6259541984732825
lalru,6815,2.7604166666666665,93.66822333265821,77.0811421175,56072.315332575876,33796.0018601108,34,0,136,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002771577055782276,0.8854166666666666,0.7150395778364116
lambayeque,441,3.2225490196078432,510.758715193398,475.706646503655,129826.36477476063,68259.11165474089,70,2,583,362,2.0,1.0,0.0,0.0,0.00196078431372549,0.00196078431372549,0.000980392156862745,0.0,0.0,0.00748264521485204,0.6414538310412574,1.0320039389463318
