city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,7way_int_count,6way_int_prop,7way_int_prop,8way_int_count,9way_int_count,10way_int_count,8way_int_prop,9way_int_prop,10way_int_prop
linwu,11866,2.851063829787234,19.235120641355486,16.370315439451478,20542.076287321317,11908.954707784253,14,0,66,14,0.0,0.0016151812743718395,0.851063829787234,0.7595628415300546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linxi,10477,2.870967741935484,76.03853205899902,62.72302874912823,37129.86592132029,22063.977679154144,76,0,263,94,0.0,0.00344627488138005,0.7811059907834101,0.7103128621089224,1.0,0.002304147465437788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linxia,10123,2.8303108808290154,76.1160939186372,62.50984915079791,44369.636849281655,24768.68118094879,138,1,493,137,0.0012953367875647669,0.0030730781894509206,0.8184176394293126,0.7670787247885491,1.0,0.0012953367875647669,1.0,1.0,0.0012953367875647669,0.0012953367875647669,0.0,0.0,0.0,0.0,0.0,0.0
linyi,10628,3.0930232558139537,10.436923692290849,8.495170447213482,12757.120033169831,8745.790839521525,16,0,30,40,0.0,0.0011933653438322845,0.5348837209302325,0.6467065868263473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linyi,11159,3.229813664596273,18.13054472265832,16.441363537317486,15208.220168609821,11035.62789005709,15,1,78,66,0.006211180124223602,0.0016429101183262646,0.58125,0.5174603174603175,1.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linyi,11599,3.172869681146539,30.51974490235164,27.44098383454414,17424.008238567927,11214.209753842635,908,28,5461,2244,0.0031107654705032775,0.002721524349220757,0.7097960548311602,0.6990134329190123,128.0,0.014220642150872126,115.0,37.0,0.012776358182424175,0.004110654371736474,75.0,3.0,2.0,0.008332407510276635,0.00033329630041106545,0.00022219753360737697
linying,11162,3.2943820224719103,11.812981673570018,10.591864466863903,10587.836399389398,7280.176497887033,46,1,179,214,0.0022471910112359553,0.0016226229785773142,0.5067567567567568,0.5968289920724802,5.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linz,2936,2.8118279569892475,94.5902157988461,79.2874976026496,29520.475983871518,16747.362454123147,662,62,2769,584,0.015151515151515152,0.005648066437802466,0.8513647642679901,0.7402855369335817,14.0,0.003421309872922776,0.0,1.0,0.0,0.00024437927663734115,0.0,0.0,0.0,0.0,0.0,0.0
linzhang,10961,3.062966915688367,56.764322001575145,50.82739184559397,26325.069406310835,15634.268557403086,98,0,588,247,0.0,0.0036307628843113547,0.7321237993596584,0.8207597645799893,4.0,0.004268943436499467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linzhou,10899,3.1404958677685952,38.16943662837665,33.87931813130292,22870.821892400025,15779.102771180747,68,1,322,206,0.001652892561983471,0.002418986502711044,0.6456953642384106,0.6616791354945969,8.0,0.013223140495867768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin an,12362,3.0953020134228186,47.45030738057539,40.507913414826774,27318.204973265874,17635.625817145643,109,3,350,274,0.004026845637583893,0.002690593907614179,0.6185983827493261,0.7498309668695065,9.0,0.012080536912751677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipa,12854,2.6725028058361393,477.98347186604315,381.0992799255186,110160.94067121402,57364.299397470604,903,16,3175,359,0.003591470258136925,0.008332420632459066,0.9186753773372381,0.7907134002028626,2.0,0.0004489337822671156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipetsk,4019,2.7866549604916595,28.453150866422213,23.71928599444064,13812.817032691046,7709.7565140748775,379,15,1601,279,0.006584723441615452,0.0036905381920269904,0.8749447635881573,0.6861313868613139,4.0,0.001755926251097454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
