city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,7way_int_count,6way_int_prop,7way_int_prop
maghagheh,3918,2.783044315992293,384.65508964359157,319.87887608896744,83563.0007046229,44149.12469086183,437,0,1847,311,0.0,0.00871263229649509,0.8801541425818883,0.8383799421407907,0.0,0.0,0.0,0.0,0.0,0.0
maghnia,1804,3.1250415696707683,395.4795433430182,381.01238346016754,69860.07879713846,35646.01822053384,110,0,2302,594,0.0,0.011094634494553524,0.8021283671433322,1.0058245964386754,1.0,0.0003325573661456601,0.0,0.0,0.0,0.0
magnitogorsk,5584,3.033426183844011,28.912328275859718,24.885541607912682,14165.40866430848,8244.178584874262,300,4,1185,654,0.0018570102135561746,0.003506999269630776,0.6906976744186046,0.809313154831199,11.0,0.00510677808727948,0.0,0.0,0.0,0.0
maguan,10817,3.06282722513089,66.88769057084596,61.9849279112028,32967.23091780714,18810.32408685573,14,0,138,38,0.0,0.0035559031445707903,0.7958115183246073,0.7745358090185677,1.0,0.005235602094240838,0.0,0.0,0.0,0.0
magura,9832,2.574074074074074,15.733949115175642,11.36340769429352,20475.61622628967,10278.601144235503,15,0,32,7,0.0,0.0015307480944524864,0.8703703703703703,0.5922330097087378,0.0,0.0,0.0,0.0,0.0,0.0
magway,10143,3.2435320584926886,253.4255310199005,229.19474346456693,85543.64175583795,42854.18830898778,170,0,837,769,0.0,0.005913670075667953,0.5663667041619798,1.102787947057167,2.0,0.0011248593925759281,0.0,0.0,0.0,0.0
mahabad,5371,2.8935018050541514,394.2043125494595,341.3116761484189,74094.28894141139,43017.1033723383,446,5,2349,509,0.0015042117930204573,0.009163897186135235,0.842121120819524,0.7678275290215588,12.0,0.0036101083032490976,2.0,1.0,0.0006016847172081829,0.00030084235860409147
mahabubabad,8426,2.573529411764706,37.25023122004882,27.937673415036613,31899.548845469013,15949.77442273453,17,0,46,5,0.0,0.0023354707240845355,0.9264705882352942,0.8015267175572519,0.0,0.0,0.0,0.0,0.0,0.0
mahajanga,5763,3.12609040444092,273.68587712035225,240.261907987494,64082.77785716924,33141.724549252205,154,2,637,467,0.0015860428231562252,0.008258045736685345,0.6282764098490866,0.996816553919618,1.0,0.0007930214115781126,0.0,0.0,0.0,0.0
mahasamund,8660,2.532051282051282,70.39869994378567,50.99393008748578,42126.26525221158,21080.674086782194,43,0,100,13,0.0,0.0033394899828144684,0.9166666666666666,0.762214983713355,0.0,0.0,0.0,0.0,0.0,0.0
mahbubnagar,7995,2.850881156800723,501.696795084044,429.1513931740151,89548.15260973718,45836.17029037275,640,0,3169,614,0.0,0.010945434400513572,0.8605964753727972,0.8849327455634678,3.0,0.0006778129236330773,0.0,0.0,0.0,0.0
mahdasht,5736,2.5508658008658007,255.3619163762603,185.99412307491687,75690.07209265511,41351.434978455305,251,0,592,76,0.0,0.006175406403896444,0.9123376623376623,0.6391752577319587,4.0,0.004329004329004329,1.0,0.0,0.0010822510822510823,0.0
mahdia,2857,3.009942638623327,246.91140737756953,232.9370715106937,48875.32854473638,25626.871520679426,148,0,2146,320,0.0,0.009634863435371972,0.877246653919694,0.8855502392344498,1.0,0.0003824091778202677,0.0,0.0,0.0,0.0
mahdiyah,3898,2.7220149253731343,159.57356779836303,134.26805797959275,76382.46402987401,38191.23201493709,85,0,430,21,0.0,0.004178277562136558,0.960820895522388,0.8350515463917526,0.0,0.0,0.0,0.0,0.0,0.0
mahendragarh,6874,2.4545454545454546,15.709602817686042,10.473068545124027,36652.0471991748,18754.173828853473,11,0,19,2,0.0,0.0008376590171899052,0.9090909090909091,0.6885245901639344,1.0,0.030303030303030304,0.0,0.0,0.0,0.0
mahera,1509,2.675990675990676,77.99325845205031,60.90382653015584,36215.86122522503,18107.93061261257,94,0,288,45,0.0,0.0043071326105991545,0.8904428904428905,0.8018757327080891,2.0,0.004662004662004662,0.0,0.0,0.0,0.0
mahesana,6622,2.4311449159327463,295.76430929680794,197.4919407154026,65990.54327124309,34525.102875823126,830,0,1437,223,0.0,0.008566645271430102,0.9075260208166533,0.6764175515928672,8.0,0.0032025620496397116,0.0,0.0,0.0,0.0
mahilyow,3466,2.8147423352902803,55.593629652054226,44.55105937870099,21391.557433129034,11364.787759531859,609,4,1807,639,0.001304631441617743,0.004891743764015901,0.7890267798824298,0.8210491910442883,6.0,0.0019569471624266144,1.0,0.0,0.00032615786040443573,0.0
mahoba,7789,2.4722222222222223,23.102009804454426,16.68478485877264,19451.445616494413,9725.722808247201,20,0,50,2,0.0,0.0023753514530420734,0.9722222222222222,0.7410071942446043,0.0,0.0,0.0,0.0,0.0,0.0
mahuva,6638,2.793510324483776,240.69995899967665,195.25807883454596,74136.66342142221,37725.72181783289,128,0,436,112,0.0,0.006380261195848031,0.831858407079646,0.8667653589933383,2.0,0.0029498525073746312,0.0,0.0,0.0,0.0
