city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,4way_int_count,5way_int_count,5way_int_prop,6way_int_count,6way_int_prop
markapur,8359,2.1538461538461537,23.258476825653748,13.418352014800238,19804.860489527662,9902.43024476383,22,0,30,0.0,0.0023487645205026593,1.0,0.5959595959595959,0.0,0.0,0.0,0.0,0.0
markaz deir mawas,3970,2.6530408773678964,434.44114279541964,340.88253178464134,109348.42978781753,54840.32192720364,216,1,701,0.0009970089730807576,0.007921929112161436,0.9151696606786427,0.8149074537268635,85.0,0.0,0.0,0.0,0.0
marondera,4236,2.9177570093457943,283.2055608415996,256.2083952286621,105273.85076938529,53069.76988225258,51,0,426,0.0,0.005336476142066489,0.891588785046729,0.892018779342723,58.0,0.0,0.0,0.0,0.0
maroochydore,13090,2.629926519706079,104.91629565639981,81.78845493054013,27103.36632079674,15850.175401328905,660,38,2054,0.012692050768203072,0.006619251396271833,0.9181326116373477,0.6136786863043846,234.0,8.0,0.0026720106880427524,0.0,0.0
maroua,3141,3.0937066814527308,240.1380170855852,218.36781148897128,78553.48598155299,39576.751736274724,327,0,2290,0.0,0.006067653522597782,0.7255336845023566,1.0165071438479678,988.0,2.0,0.0005544774050457444,0.0,0.0
marrakesh,1570,2.9786031974996994,439.2237802190942,404.694106909407,91044.50598170725,50847.09423904176,654,44,6456,0.005289097247265296,0.0086381294111758,0.859214501510574,0.8544575400423089,1158.0,5.0,0.0006010337780983291,2.0,0.00024041351123933166
marsa matruh,3601,3.084967320261438,489.1674763364845,465.82208068446585,78356.58085611826,42704.213729688,387,6,6247,0.0007399186089530152,0.01145478241170414,0.8187091200789831,0.9504968829084625,1469.0,0.0,0.0,0.0,0.0
marseille,2228,2.6913218601244964,102.26464881184283,81.8067262678894,21417.13491198647,13190.05755078238,3278,283,11113,0.017270840961796655,0.00775316168395163,0.8936844066323045,0.5502624142107388,1648.0,59.0,0.0036006346881484195,5.0,0.00030513853289393383
martil,1657,2.949250845819236,355.5677509865821,320.1656452817798,66983.49878505761,36049.627919195984,206,2,1552,0.0009666505558240696,0.009863284907782547,0.8505079825834543,0.851780092031969,309.0,0.0,0.0,0.0,0.0
martinez de la torre,220,3.0465652374366066,246.27157554987184,206.30495747999868,53278.28796917002,27938.339632973013,352,0,1017,0.0,0.008814825032022322,0.6311664361456892,0.9404569582275559,796.0,3.0,0.0013831258644536654,1.0,0.0004610419548178884
marvdasht,5867,2.583807439824945,433.7317015744798,321.7397086077651,66091.06178612931,37527.93742694527,1180,3,2928,0.0006564551422319475,0.011557568342753045,0.8994963871250273,0.6642567641581772,458.0,0.0,0.0,1.0,0.0002188183807439825
mary,5942,2.7884080984517667,78.12240669841974,63.174014467916244,37102.69235286639,19254.943552696986,482,2,1604,0.0007939658594680428,0.004057264903665602,0.8287644020659515,0.8065221714058461,429.0,2.0,0.0007939658594680428,0.0,0.0
mar del plata,1141,3.6510446075663467,123.97500829822947,120.11318562302583,34849.54888299639,22999.469911060427,331,20,2757,0.0018821757952192735,0.005390341985169406,0.29115594946256834,0.8728721648512283,7452.0,50.0,0.004705439488048184,16.0,0.0015057406361754188
masaka,4355,2.7173539518900345,318.33302683523016,261.4487746172509,114679.9897983372,58639.1568327282,208,0,869,0.0,0.00542867674143567,0.9252577319587629,0.7623762376237624,87.0,0.0,0.0,0.0,0.0
masall,5505,2.570915619389587,360.0226268230492,268.8858397816669,130696.82563996212,67481.47319884581,141,0,374,0.0,0.005335132885468882,0.9245960502692998,0.6925157799819658,41.0,1.0,0.0017953321364452424,0.0,0.0
masat,9703,2.1636363636363636,7.449284149430628,4.063245899689433,14738.161915180848,7369.0809575904295,25,0,26,0.0,0.001010883744160469,0.9272727272727272,0.5142857142857142,4.0,0.0,0.0,0.0,0.0
masaurhi,8933,2.466666666666667,42.279003051394305,29.595302135976013,37248.25266431092,18624.126332155472,18,0,38,0.0,0.0022701200742177912,0.9333333333333333,0.7217391304347827,4.0,0.0,0.0,0.0,0.0
masaya,371,3.0325264750378214,197.38564456883887,176.18385823844923,60958.23011551594,33027.112667143716,142,2,857,0.0015128593040847202,0.005976472922660405,0.7568181818181818,0.8789373814041745,314.0,6.0,0.0045385779122541605,1.0,0.0007564296520423601
masbate city,12959,2.6433823529411766,101.45599857267543,77.5839989085165,39523.16001197206,19761.580005985994,64,0,178,0.0,0.005134002369342093,0.8897058823529411,0.8070500927643784,29.0,1.0,0.003676470588235294,0.0,0.0
mascara,1968,3.0907478569317175,289.52390702951794,265.81769294522104,55260.97874364064,30783.953770694734,277,1,2277,0.0002955956251847473,0.009405026696250264,0.7551744529863986,0.8982097943482764,794.0,34.0,0.010050251256281407,0.0,0.0
