city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,6way_int_prop,7way_int_count,8way_int_count,9way_int_count,10way_int_count,7way_int_prop,8way_int_prop,9way_int_prop,10way_int_prop
moyobamba,505,2.993924665856622,206.9872067019049,178.81883835365053,58432.00455962016,30285.732535811836,112,0,495,213.0,3.0,0.0,0.0036452004860267314,0.00683447912171679,0.7375455650060754,0.914686166971359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mpanda,4277,2.9603232916972813,511.24807504406175,466.54673710854127,145304.47269620976,72946.71974702846,119,0,1059,182.0,1.0,0.0,0.0007347538574577516,0.007008513567395714,0.8655400440852314,0.9278616120721384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mpose,3766,1.6666666666666667,5.550180179226104,1.8500600597420347,17792.6640151997,8896.332007599849,4,0,2,0.0,0.0,0.0,0.0,0.0006238728696821077,1.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mpulungu,4270,2.954314720812183,124.72032465907446,119.02244180662944,66298.23127147321,33149.11563573661,9,0,179,9.0,0.0,0.0,0.0,0.0037624027750718914,0.9543147208121827,0.9460154241645244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mpumalanga,3846,2.627450980392157,261.4180759851946,204.4642467945204,99004.7082286698,49711.901300538666,300,0,990,87.0,0.0,0.0,0.0,0.005258661792168507,0.9368191721132898,0.7751909785376501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtwapa,5350,2.5787476280834913,219.7459129155965,169.70889289686485,70915.61793675795,35457.808968378966,120,0,389,18.0,0.0,0.0,0.0,0.006197391189950975,0.9658444022770398,0.7511916110581506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtwara,5360,2.9823529411764707,96.66230797324545,90.18024732092194,43251.83491329736,21663.65089635023,57,0,694,99.0,0.0,0.0,0.0,0.0044619583483747225,0.8835294117647059,0.9710914454277286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muar,11321,2.5277113237639552,281.65682067298985,206.24511609487476,53471.45020096416,27935.296614532283,1343,6,3352,308.0,6.0,0.0011961722488038277,0.0011961722488038277,0.010082471095956379,0.937125748502994,0.7112331502745881,1.0,0.00019936204146730463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muaratewe,12720,2.4946996466431095,458.01735023472565,329.3516988436985,128469.8764872115,66516.12319290436,159,0,375,32.0,0.0,0.0,0.0,0.006885809458654453,0.9434628975265018,0.6441881100266194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muara bungo,11251,2.626491646778043,508.1627762467495,387.0850105459528,116907.56446363064,62124.87201372021,599,0,1656,259.0,0.0,0.0,0.0,0.008179699366374908,0.8969769291964996,0.7461676289070277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muara enim,11509,2.3901373283395757,385.80997474638656,258.8924612062207,68004.32485729818,35021.983303190864,527,2,994,79.0,0.0,0.0012484394506866417,0.0,0.011016222907948084,0.950625,0.6619718309859155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mubarakpur,8491,2.4513618677042803,152.98313182991475,107.74298389577653,68014.16698144599,34007.083490723,76,0,170,11.0,0.0,0.0,0.0,0.004498566655139596,0.9571984435797666,0.7072691552062869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mubende,4313,2.688888888888889,97.17075451016368,80.61573707509875,73119.54960324774,36644.793813445074,23,0,108,4.0,0.0,0.0,0.0,0.0026516933075091138,0.9703703703703703,0.8037735849056604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mubi,3061,2.9605891719745223,669.8346412883709,613.8373185691997,178456.52863775138,89680.06031811486,210,2,1982,313.0,5.0,0.0007961783439490446,0.0019904458598726115,0.007469159129825743,0.8733067729083666,0.9397806580259223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
