city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,6way_int_prop
muhammadabad,8511,2.5476190476190474,29.079066703985948,21.46312066246582,40102.28315067251,20051.141575336267,11,0,28,3,0.0,0.0014502449446446683,0.9285714285714286,0.6962025316455697,0.0,0.0,0.0,0.0
muhammadabad,8632,2.6842105263157894,52.32626118319658,41.86100894655726,45346.74431658312,22673.372158291568,19,0,68,8,0.0,0.0023078287966115823,0.9157894736842105,0.8648648648648649,0.0,0.0,0.0,0.0
muhammad al askari,4149,2.862456747404844,1097.3290679966788,954.9420782047222,280985.35130576225,155427.96073816004,150,0,865,141,0.0,0.007060049316643109,0.8780276816608996,0.8794971824880797,0.0,0.0,0.0,0.0
muhanga,4146,2.834507042253521,138.67987606638056,123.0539745377743,83097.81088837513,41619.73179610367,32,0,235,17,0.0,0.003332070392615154,0.9401408450704225,0.827708703374778,0.0,0.0,0.0,0.0
mukachevo,3329,2.727272727272727,51.43051282929226,41.64887223137663,22169.214834694725,11428.467089103067,159,2,583,92,0.0023923444976076554,0.004500210958154726,0.8896882494004796,0.751052315093205,0.0,0.0,0.0,0.0
mukalla,5859,2.918918918918919,124.2653937369437,106.9560769378268,38779.88662037381,24199.814539121577,67,0,320,93,0.0,0.005134972978245575,0.8045738045738046,0.6938349007314525,1.0,0.002079002079002079,0.0,0.0
mukandgarh,6746,2.6153846153846154,10.940570015336881,7.995031934284644,18458.32799852554,10171.43111161252,7,0,15,4,0.0,0.001075617569964786,0.8461538461538461,0.5531914893617021,0.0,0.0,0.0,0.0
mukanga,3732,3.217948717948718,193.68470724626496,156.43764816044478,84359.52157392225,42179.760786961095,45,0,48,141,0.0,0.004591887285101393,0.3974358974358974,1.1036717062634989,0.0,0.0,0.0,0.0
mukkudu,8407,2.685968819599109,89.91819290662256,69.09081637591265,43882.49311279316,23511.9024038916,104,0,280,63,0.0,0.003824369094511878,0.8552338530066815,0.7793952967525196,2.0,0.004454342984409799,0.0,0.0
muktagacha,9852,2.5576923076923075,16.33270999038137,12.328055136970553,27683.969189123698,13841.984594561854,51,0,147,10,0.0,0.001179939905206805,0.9519230769230769,0.7177615571776156,0.0,0.0,0.0,0.0
mukubu,3745,3.0869565217391304,92.04321931267592,69.12336628224674,40640.60006969737,20320.300034848704,63,0,42,148,0.0,0.004529619107730918,0.4150197628458498,1.0499001996007984,0.0,0.0,0.0,0.0
mulhouse,2367,2.8306703716568253,113.58934171359854,97.64974669717138,27188.853233649526,15856.122651772119,808,76,4167,697,0.013199027440083362,0.007163752716109542,0.8755719816965857,0.6872964169381107,10.0,0.0017367141368530739,0.0,0.0
muling,11779,2.8341968911917097,70.12846640740744,57.22918890759934,28549.679657341745,14323.188410059738,71,0,237,78,0.0,0.004896149125438682,0.7979274611398963,0.8696219035202086,0.0,0.0,0.0,0.0
mulongo,3742,3.108910891089109,76.08011005462238,61.76801014335678,47871.51252199864,23935.75626099935,38,0,68,94,0.0,0.0031785129003250438,0.5247524752475248,1.0601503759398496,2.0,0.009900990099009901,0.0,0.0
multan,6337,2.679451912596668,160.23727076241943,125.62329241014925,42935.11870180274,22958.55111249022,4162,10,12955,2123,0.0005190221622463279,0.0069794156424464,0.8888715791660176,0.7857124308603184,16.0,0.0008304354595941247,1.0,5.1902216224632795e-05
mumbwa,3717,2.9061946902654867,458.57483488778445,417.9929910924053,177165.3991386562,88825.12657615604,50,0,468,47,0.0,0.0051626702101529335,0.9168141592920354,0.8853333333333333,0.0,0.0,0.0,0.0
muncar,12672,2.6445497630331753,135.571676551187,101.27718254208934,57734.362223300035,28867.181111649967,427,0,1007,254,0.0,0.004696394706044719,0.8495260663507109,0.7858202313853456,0.0,0.0,0.0,0.0
munchon,12288,2.4379084967320264,117.46118516872177,80.22675719040147,60962.50557571884,30481.252787859434,97,0,188,20,0.0,0.003853555035490736,0.9313725490196079,0.6935749588138386,1.0,0.0032679738562091504,0.0,0.0
muncie,684,3.07394241023818,84.04036292938439,73.28510851965157,31352.576014873073,16198.161408007441,360,4,1525,917,0.0014219694276573053,0.005188265557586038,0.6710573157707369,0.9771957954747906,6.0,0.002132954141485958,1.0,0.00035549235691432633
munda,6315,2.3636363636363638,6.05598154486557,3.853806437641726,15315.103308773192,7657.551654386597,8,0,12,2,0.0,0.0007908508904927106,0.9090909090909091,0.7948717948717948,0.0,0.0,0.0,0.0
