city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,8way_int_count,9way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,8way_int_prop,9way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
nanjing,12072,3.11706330089604,39.78745090306282,35.4173098461699,22967.360154539743,15703.64243278132,1140,71,5762,3277,105.0,21.0,0.0,2.0,1.0,0.006840736101743906,0.010116581558917044,0.002023316311783409,0.0,0.00019269679159841988,9.634839579920994e-05,0.002533644730728624,0.6695770275514163,0.6821114938625006
nanjing,12493,3.081967213114754,12.811611445843127,11.551452942973311,21190.845756821273,10765.463101087842,6,0,39,15,1.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0011900659846717158,0.7377049180327869,1.0769230769230769
nankana sahib,6470,2.7985401459854016,321.64925980157204,261.07589554696943,91127.92527668584,48351.212655690186,129,0,438,116,2.0,0.0,0.0,0.0,0.0,0.0,0.00291970802919708,0.0,0.0,0.0,0.0,0.006652351453768946,0.8277372262773722,0.8512820512820513
nankang,12148,2.930087390761548,51.214083148436536,42.39068305544747,23986.937825407844,15539.735863231363,138,0,448,210,5.0,0.0,0.0,0.0,0.0,0.0,0.006242197253433208,0.0,0.0,0.0,0.0,0.0032956855637176177,0.731585518102372,0.7075767063243582
nanling,12143,3.285024154589372,26.113330687379943,23.338000855870963,24948.271445172817,16020.16430389424,22,1,80,104,0.0,0.0,0.0,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0016300288930889565,0.49514563106796117,0.742014742014742
nanning,11382,3.0226757369614514,29.9764203635332,25.70917987338549,15813.054287053305,12271.308364074608,565,45,2116,1222,20.0,1.0,0.0,0.0,0.0,0.011337868480725623,0.005039052658100277,0.0002519526329050139,0.0,0.0,0.0,0.0024428055651581496,0.6832313965341489,0.5080963916868545
nanpara,7889,2.25,19.645477295139962,10.805012512326979,47225.53891134581,23612.769455672897,9,0,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008319853091362053,0.85,0.7142857142857143
nanping,12446,2.7439024390243905,18.59180922987323,15.304233207517598,18180.887847498816,10473.709560141318,29,0,119,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017750930673718602,0.9024390243902439,0.6780185758513931
nanpu,11129,3.241573033707865,14.067062662060485,12.486493823626722,13474.602159633521,9271.042901707213,20,0,75,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015173117858693233,0.5337078651685393,0.6581196581196581
nansang,10260,2.887323943661972,151.34924619007447,125.76909190442807,53807.0373960397,26903.51869801986,36,0,129,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005625630159716394,0.7746478873239436,0.9406175771971497
nansio,4489,2.88821752265861,287.172825209878,248.99879406415403,121746.97477359122,60873.48738679564,44,0,236,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047175352938982435,0.8459214501510574,0.9162861491628614
nantes,1821,2.6667338709677417,161.86138596771846,130.57688690567824,32241.395783150816,18923.64074881338,2876,226,10791,958,26.0,3.0,0.0,0.0,0.0,0.015188172043010753,0.0017473118279569893,0.00020161290322580645,0.0,0.0,0.0,0.008553395623824029,0.9326463764159957,0.5956045456096646
nantong,12319,3.22541222114452,34.578589974752546,31.016760435161164,21236.286009562093,14956.440366479777,531,16,2426,2128,52.0,1.0,0.0,1.0,0.0,0.0031037827352085354,0.01008729388942774,0.00019398642095053346,0.0,0.00019398642095053346,0.0,0.0023119531872202517,0.5754037750535124,0.6522924170154775
nantou city,12699,2.9995753715498936,103.00870098126023,88.96802454177636,41868.000938785,24082.107861029144,321,3,1411,601,14.0,5.0,0.0,0.0,0.0,0.0012738853503184713,0.0059447983014862,0.0021231422505307855,0.0,0.0,0.0,0.0042773955492473315,0.7363945578231292,0.825920408597574
nanxi,10500,3.231527093596059,38.61763896418481,35.954353518378966,24499.089702332007,15170.469587433483,14,0,114,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002545579669872176,0.6305418719211823,0.7331670822942643
nanxian,11427,3.196103896103896,109.29229083239265,100.77600842986854,52226.56270629501,33345.31979538325,60,4,438,262,5.0,1.0,0.0,0.0,0.0,0.005194805194805195,0.006493506493506494,0.0012987012987012987,0.0,0.0,0.0,0.0032775901236827983,0.6501305483028721,0.7072691552062869
nanxiong,12126,2.949275362318841,20.41216600656777,17.305966831655283,20185.555612389966,10839.687285953498,21,0,83,33,1.0,0.0,0.0,0.0,0.0,0.0,0.007246376811594203,0.0,0.0,0.0,0.0,0.0018830954683553163,0.7536231884057971,0.7859778597785978
nanxun,12380,3.02803738317757,10.47660847034863,8.51836389645169,11022.231936629698,7452.893728864708,60,3,129,126,3.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.009345794392523364,0.0,0.0,0.0,0.0,0.0014057101645999885,0.5943396226415094,0.6624405705229794
nanyang,11068,3.2875,12.196448029863182,10.824347626503574,12297.869507620257,9431.478874285554,81,12,250,374,2.0,1.0,0.0,0.0,0.0,0.016666666666666666,0.002777777777777778,0.001388888888888889,0.0,0.0,0.0,0.0012931639027593197,0.4675141242937853,0.5882352941176471
nanzhang,11114,3.27027027027027,17.770838324029327,16.329959540999923,16460.75560070517,10264.544570043827,15,1,90,77,2.0,0.0,0.0,0.0,0.0,0.005405405405405406,0.010810810810810811,0.0,0.0,0.0,0.0,0.001731283663173129,0.5706521739130435,0.7493112947658402
