city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,6way_int_count,5way_int_prop,6way_int_prop,7way_int_count,8way_int_count,7way_int_prop,8way_int_prop
palghar,6829,2.4389140271493215,102.16401793044739,71.65349673854907,61644.18557037502,30822.092785187502,66,0,147,8,0.0,0.0033146359866759413,0.9638009049773756,0.6727688787185355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pali,6630,2.9587775408670933,77.46340264764416,68.9297655400501,25459.238852531027,13214.981653517507,155,3,997,250,0.0021321961620469083,0.005861786620568276,0.8205128205128205,0.9639671780235461,1.0,1.0,0.0007107320540156361,0.0007107320540156361,0.0,0.0,0.0,0.0
palitana,6634,2.782051282051282,113.24019320373685,90.97930052266038,51401.42036234448,25700.71018117221,46,0,147,41,0.0,0.004406111442270346,0.8247863247863247,0.8876889848812095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palladam,8117,2.7038327526132404,86.46940623651025,71.40504974931335,43007.041524406726,21503.52076220335,50,0,222,15,0.0,0.004021174355247778,0.9477351916376306,0.843585237258348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palmas,1185,2.950554134697357,211.4185522333459,187.26673126210264,55047.12198188415,33926.82261924121,268,4,1659,406,0.0017050298380221654,0.0062316048457023,0.822801024765158,0.653344731780295,9.0,0.0,0.0038363171355498722,0.0,0.0,0.0,0.0,0.0
palma de mallorca,2076,3.0063042869151024,125.31293324055237,111.95300858433768,27353.55175977147,19418.038792860913,761,94,4686,1545,0.01316895488932474,0.00645342892643844,0.77328222600795,0.5253142086203224,42.0,9.0,0.005884001120762118,0.0012608573830204539,0.0,1.0,0.0,0.00014009526478005044
palma soriano,661,3.086128739800544,197.01233410221718,169.86285560399688,54057.90249253482,27091.35539428539,152,0,553,397,0.0,0.007272147562752606,0.6391659111514053,1.0231712857791913,1.0,0.0,0.0009066183136899365,0.0,0.0,0.0,0.0,0.0
palmdale,32,2.612891298989401,81.93366991692805,61.495692604645285,31074.921342233454,15965.502817843191,2024,11,5179,884,0.0013556815380823268,0.0051319191667022375,0.8889300259163273,0.7640886365039196,14.0,2.0,0.0017254128666502342,0.00024648755237860487,0.0,0.0,0.0,0.0
palmerston north,13124,2.652439024390244,99.8960037289275,78.84745551775104,31790.371921768856,16753.20447943024,311,0,1061,99,0.0,0.00596279976476028,0.9295392953929539,0.665422463522226,5.0,0.0,0.0033875338753387536,0.0,0.0,0.0,0.0,0.0
palmira,524,3.1745816372682043,366.7086435800853,342.7423844225447,70795.91631999284,42016.32906931133,289,21,2761,1331,0.0047489823609226595,0.008727764935750391,0.6930243126562144,0.8464249175855405,20.0,0.0,0.004522840343735866,0.0,0.0,0.0,0.0,0.0
palm bay,594,2.8731823599523243,57.50023180791257,48.26181554127775,23619.60470280326,13143.079532428601,2022,72,8045,2373,0.0057210965435041715,0.004374943609375509,0.8045232957723967,0.7820630670237001,72.0,1.0,0.0057210965435041715,7.945967421533571e-05,0.0,0.0,0.0,0.0
palm coast,605,2.637853470437018,62.08492505175732,48.45895981706894,29914.561024123963,15831.62065620016,683,57,2081,286,0.018316195372750643,0.00392157735458643,0.904746317512275,0.7464373464373464,5.0,0.0,0.0016066838046272494,0.0,0.0,0.0,0.0,0.0
palopo,12908,2.6094609460946097,414.7126670236728,309.7798689868799,78972.51139856536,40406.22982590365,460,0,1148,210,0.0,0.010263582343874325,0.8844884488448845,0.7650784907738915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palu,12898,2.7325098129762178,216.34132879286904,175.7554757233225,49417.5433961803,25278.296889729503,1625,3,6098,936,0.0003463403371045948,0.008558382304654704,0.8919043769488394,0.8307630104545717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palwal,7077,2.7880794701986753,26.432721589044856,21.356238634857434,17304.03983447562,9676.866904209559,58,0,192,52,0.0,0.0027315371649419182,0.8278145695364238,0.7779632721202003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palwancha,8589,2.72365988909427,171.60532171065194,131.63809336399362,42861.72115977035,22986.94567923464,252,0,625,205,0.0,0.007465338114305128,0.8105360443622921,0.826308476146364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pamekasan,12653,2.457731704307047,1051.121821462502,744.8527087298146,220128.13112494154,110784.83405168474,2361,0,5414,328,0.0,0.009487957719665126,0.959521165000617,0.6984754027529165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pampa limay,539,2.8960138648180243,365.42509864999784,309.0597021511247,155084.45617779664,80205.08648263212,89,0,370,118,0.0,0.004556133715149453,0.7954939341421143,0.8416013925152306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pamplona,1814,2.9703761450009747,188.36871795148335,173.61053735968912,35037.39015510952,25011.072435032922,402,41,4020,648,0.00799064509842136,0.00753141307478027,0.868762278978389,0.49847665847665845,16.0,3.0,0.0031183005262132137,0.0005846813486649776,1.0,0.0,0.00019489378288832586,0.0
pamplona,683,2.7990867579908674,475.4021262065331,389.2942829514685,103146.42188523061,54145.23195997512,119,3,434,94,0.0045662100456621,0.008780129089814534,0.845565749235474,0.837298541826554,6.0,1.0,0.0091324200913242,0.0015220700152207,0.0,0.0,0.0,0.0
