city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,6way_int_prop,7way_int_count,8way_int_count,9way_int_count,10way_int_count,11way_int_count,12way_int_count,7way_int_prop,8way_int_prop,9way_int_prop,10way_int_prop,11way_int_prop,12way_int_prop
phanat nikhom,10857,2.49490538573508,257.4405572717105,179.87113171822566,79142.09993933585,41981.16256223388,207,0,415,63.0,2.0,0.0,0.002911208151382824,0.006132287472746244,0.9053857350800583,0.6676406135865596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phan rang thap cham,12146,2.6055016181229775,226.6789582573251,170.55941033924947,60468.75976989271,32650.643186490084,765,0,2016,307.0,2.0,0.0,0.0006472491909385113,0.006942557209749499,0.9,0.7314979757085021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phan ri cua,12086,2.6326148078725398,292.16139255928556,217.95732753251295,58563.82041389055,31709.041523263022,271,0,646,150.0,0.0,0.0,0.0,0.009213819734820564,0.85941893158388,0.7275716298731799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phan thiet,12026,2.4364832754523853,454.70467851846945,307.1812267966118,90618.71207152978,47674.27174426743,1775,3,3224,468.0,1.0,0.0005483458234326449,0.00018278194114421494,0.009537737271742284,0.9142282370153622,0.6592260543408655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phat diem,11250,2.19921875,41.51665102005281,23.839639452920952,31347.121404784022,15694.91355931858,109,0,134,13.0,0.0,0.0,0.0,0.002645229670309527,0.94921875,0.5621301775147929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phetchaburi,10693,2.55458989679522,333.9756033926697,243.27065950546992,99705.57315571056,55516.73697766048,500,2,1169,161.0,6.0,0.0010863661053775121,0.0032590983161325366,0.00601576428252725,0.9075584556824361,0.6594064797168527,3.0,0.0016295491580662683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phitsanulok,10597,2.567765567765568,143.8793119897006,105.9770390204968,44360.27331339052,23832.29309012905,863,4,2103,300.0,4.0,0.001221001221001221,0.001221001221001221,0.00603715771057268,0.906479217603912,0.6907784064841719,2.0,0.0006105006105006105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phra nakhon si ayutthaya,10734,2.554777388694347,199.28341599889794,144.35336986813618,54500.34064194174,32141.524743095113,551,2,1233,212.0,1.0,0.0010005002501250625,0.0005002501250625312,0.006200185510543009,0.8933400100150225,0.5921283529706693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phuc tho,11095,2.732394366197183,61.36733513676585,48.15545413146616,37175.56533675444,19761.698795669785,107,0,311,77.0,2.0,0.0,0.004024144869215292,0.003105367396360315,0.8410462776659959,0.7421638018200202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phuket,10627,2.457613359619622,188.00316511851085,127.4575557558639,41580.13434860294,22431.387862228537,2777,23,4969,834.0,14.0,0.00266728516757509,0.0016235648846109243,0.008381254261805311,0.9006976744186046,0.6487350974120384,1.0,0.00011596892032935173,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.00011596892032935173,0.00011596892032935173,0.00011596892032935173,0.00011596892032935173,0.00011596892032935173
phulbani,9169,2.6341463414634148,72.57360704825027,56.052785931575414,40145.81067422377,20531.05219289429,28,0,84,11.0,0.0,0.0,0.0,0.0035348216139340235,0.9105691056910569,0.8215767634854771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phulera,6825,2.6788990825688073,80.90290058619026,63.83164633405837,29500.336437822047,14750.168218910998,46,0,150,22.0,0.0,0.0,0.0,0.005484879859367685,0.8990825688073395,0.8004640371229699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phung,11126,2.65748031496063,263.6705295274938,205.53844427733765,79037.94402180599,41231.56521491677,168,0,520,73.0,1.0,0.0,0.0013123359580052493,0.006394870729576449,0.9028871391076115,0.7623436471362739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phuthaditjhaba,3722,2.804105939507914,223.0991341802824,188.80039563916705,73412.81442571321,36894.72957638299,981,0,4688,712.0,0.0,0.0,0.0,0.006046910676453157,0.8884187431437078,0.8789684095006663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phu ly,11195,2.6031746031746033,168.44144967730756,125.07576480103596,48912.85256179031,26071.451508326416,665,1,1618,293.0,5.0,0.00038714672861014324,0.0019357336430507162,0.00646076224883423,0.8841982958946553,0.733281643729405,1.0,0.00038714672861014324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phu minh,11177,2.5197628458498023,33.94112796627871,24.28199273476856,22831.926930825182,12403.275360506444,144,0,317,45.0,0.0,0.0,0.0,0.002736464923962862,0.9110671936758893,0.7229394240317776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phu my,11889,2.7460964019008824,151.2370711627374,117.56038457660172,52421.412279555916,28973.91390164074,328,1,865,275.0,4.0,0.0006788866259334691,0.0027155465037338763,0.0052197667072577695,0.8104619565217391,0.7342633548826132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phu yen,10967,2.4896265560165975,214.0325518466353,147.4249112304625,60276.38366458185,30138.19183229095,75,0,139,27.0,0.0,0.0,0.0,0.007101705140031476,0.8879668049792531,0.7421383647798742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
