city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,6way_int_count,5way_int_prop,6way_int_prop,7way_int_count,8way_int_count,9way_int_count,10way_int_count,7way_int_prop,8way_int_prop,9way_int_prop,10way_int_prop
pithapuram,8962,2.595505617977528,145.083708794147,107.99770457991278,44383.89082321512,22191.945411607605,91,0,227,38,0.0,0.006537674192288714,0.8932584269662921,0.7906647807637907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
piura,421,3.201035845713507,347.99359866352955,332.05713292127166,82037.4074766108,45252.196503592495,336,4,4863,2118,0.0005451819544773068,0.007690092980036956,0.7089867721260057,0.9530045699474797,15.0,1.0,0.0020444323292899006,0.0001362954886193267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pizhou,11684,3.175,13.756527891478253,11.65865738802782,12142.512613944687,7897.912959627503,61,4,144,186,0.01,0.0017417927953623667,0.5176767676767676,0.6963151207115629,5.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
planaltina,1235,3.13840830449827,257.49420508618266,248.38637468713276,63782.8162038853,35276.37088904913,92,1,1964,543,0.00038446751249519417,0.007299339433074073,0.7907692307692308,0.853320500481232,1.0,0.0,0.00038446751249519417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
planaltina,1236,3.152195608782435,220.46370785486624,205.72212259910174,58741.26704943222,34519.26600468343,134,4,1295,566,0.001996007984031936,0.006386685853197302,0.7145,0.7729662077596996,4.0,1.0,0.001996007984031936,0.000499001996007984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
planeta rica,579,3.3746397694524495,339.97576199346656,315.97170963369734,85090.32509652789,43634.636432231164,49,0,294,344,0.0,0.007791419610462025,0.4942363112391931,1.153289949385394,7.0,0.0,0.010086455331412104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
playa blanca,653,2.922012578616352,278.97281579468705,232.30189189444383,72964.66727815979,39645.989414769996,133,2,456,202,0.0025157232704402514,0.007036596132741654,0.742749054224464,0.8779253636938646,2.0,0.0,0.0025157232704402514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
playa del carmen,390,3.090931253047294,240.89656475673564,206.7764028543311,47780.37808040584,31222.354581103362,581,13,1971,1527,0.0031691857630424185,0.007715515629386035,0.624113475177305,0.6915453321913618,9.0,1.0,0.0021940516821062897,0.00024378352023403217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pleiku,11906,2.5683873398643557,327.24024010209564,238.89523933602499,70112.41708942827,37050.13246301226,1433,1,3298,576,0.00018839487565938207,0.008832363566548236,0.891464104013567,0.6971439343953247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pleven,3414,2.9678321678321677,126.70211707924734,110.75359884549593,34902.39881183664,19839.60803045758,180,6,938,292,0.004195804195804196,0.006386321588850719,0.7851123595505618,0.797397115722828,14.0,0.0,0.009790209790209791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ploiesti,3442,2.811377245508982,90.899995164969,76.5923825812613,25464.48106618596,14308.773133261013,368,14,1668,268,0.005988023952095809,0.006352745572132264,0.8760757314974182,0.7187163471893172,19.0,1.0,0.008126603934987169,0.000427715996578272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plovdiv,3427,2.825740944017563,138.31810960050777,113.19006663795669,35818.5440930193,21495.431876473045,662,8,2287,677,0.0021953896816684962,0.006434767647162198,0.8110561056105611,0.6978120269712399,10.0,0.0,0.0027442371020856204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plymouth,1707,2.3963245492371708,163.8148299422117,111.0653944106581,31952.222784668276,17468.454183679372,2786,51,5426,379,0.005894590846047157,0.009377751930406212,0.9547727008487386,0.6110368087457114,9.0,1.0,0.0010402219140083217,0.0001155802126675913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pobe,2107,3.0,154.05740035293775,141.25952853678461,51017.802033871376,25601.40077458756,53,0,480,104,0.0,0.006017537935106195,0.835423197492163,0.967741935483871,1.0,0.0,0.001567398119122257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pock,3159,2.6766169154228856,121.80746963784915,95.41248450902833,30512.711351559792,16889.476497794636,392,11,1201,201,0.006080707573244887,0.0072120334608212575,0.8859844271412681,0.6616541353383458,3.0,1.0,0.001658374792703151,0.000552791597567717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pocos de caldas,1305,2.983916365098512,231.58715918374534,205.60693505336138,63862.08875855385,35560.038350337905,279,10,1679,510,0.004020908725371934,0.0065125677565964915,0.7904723455793299,0.8044049302889472,9.0,0.0,0.0036188178528347406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
podgorica,3243,2.658354114713217,158.6572820043728,121.39985709478401,42115.339830119825,22985.535979957203,565,6,1524,309,0.0024937655860349127,0.006902483463631993,0.8704166666666666,0.7124087591240876,1.0,1.0,0.00041562759767248546,0.00041562759767248546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
podstepnovka,4762,2.8520286396181382,34.938866316292795,29.185210526736224,16778.121825604856,9065.047299762173,69,1,273,75,0.002386634844868735,0.0038542398247838634,0.8181818181818182,0.8086642599277978,1.0,0.0,0.002386634844868735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
