city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,6way_int_prop,7way_int_count,7way_int_prop
poipet,11061,2.9689557855127,224.46104481125906,193.63196433859318,78988.85755063088,40275.034079105666,146,3,652,262,0.0028222013170272815,0.005573205583647351,0.7528301886792453,0.9243498817966903,0.0,0.0,0.0,0.0,0.0,0.0
poitiers,1976,2.7221192052980134,145.77194188651205,118.43246245455164,30942.7354351578,18371.887984470897,708,57,2612,372,0.015099337748344372,0.007934510705145158,0.8929532006455083,0.6105503969856009,26.0,0.006887417218543046,0.0,0.0,0.0,0.0
pokaran,6487,2.2857142857142856,16.12869795202617,9.984432065540009,19655.75541363762,9827.87770681881,8,0,12,1,0.0,0.0016411170786990667,0.9523809523809523,0.6486486486486487,0.0,0.0,0.0,0.0,0.0,0.0
pokhara,8421,2.5205658894419702,301.48171667480517,220.28622158921445,78353.93054412841,39308.194134178695,1028,4,2560,220,0.001047943411055803,0.0076696913535558514,0.940991345397325,0.7409788741634956,5.0,0.0013099292638197536,0.0,0.0,0.0,0.0
pokrovsk,4002,3.1652173913043478,57.36904829289952,52.73676489036726,28649.224935402264,14628.985378737025,65,1,476,262,0.0012422360248447205,0.003921601314625991,0.6728855721393034,1.0168434185901434,1.0,0.0012422360248447205,0.0,0.0,0.0,0.0
polewali,12871,2.504816955684008,281.48652049034183,197.42021860979656,63080.43176276168,32578.61097765791,155,0,311,53,0.0,0.008640224737739201,0.8978805394990366,0.7047434656340755,0.0,0.0,0.0,0.0,0.0,0.0
pollachi,8063,2.8587713742875236,177.9419563902643,152.81145843267788,61578.30775212646,31134.799477475215,223,2,1130,223,0.001266624445851805,0.005715211254821095,0.8579581483830057,0.9082248332804065,1.0,0.0006333122229259025,0.0,0.0,0.0,0.0
polokwane,3814,3.0053100376841386,126.77792442271334,115.46389588139206,46534.34676839287,24353.1099025638,521,9,4227,1080,0.001541623843782117,0.005205820732134366,0.8145479499056442,0.9161589290311508,1.0,0.00017129153819801302,0.0,0.0,0.0,0.0
polomolok,13014,2.766073871409029,371.0995338680065,296.98115911461537,93551.30085618889,48066.8651116929,146,0,466,117,0.0,0.007720485473843221,0.8372093023255814,0.8091969800960879,2.0,0.0027359781121751026,0.0,0.0,0.0,0.0
poltava,3702,2.6719101123595506,51.98409649766405,40.36068615717512,21773.290813019834,11428.483957866609,597,10,1741,316,0.003745318352059925,0.004548643257435878,0.8789473684210526,0.7555973659454375,6.0,0.0022471910112359553,0.0,0.0,0.0,0.0
polur,8499,2.6945812807881775,177.62810477207898,145.25253887766064,71729.7235180515,35864.86175902575,37,0,155,10,0.0,0.004952705686294109,0.9458128078817734,0.8478802992518704,1.0,0.0049261083743842365,0.0,0.0,0.0,0.0
polvilho,1306,2.7342215988779803,148.9373245196975,122.6174046186009,50579.234890969994,26592.512909297406,252,0,1049,125,0.0,0.005600723971732108,0.9123422159887798,0.7302423603793466,0.0,0.0,0.0,0.0,0.0,0.0
ponce,896,2.8457564575645757,100.56742577804924,83.7938182313045,29813.808587572345,16836.98380251903,678,17,2637,721,0.004182041820418204,0.005973007217777514,0.8189229249011858,0.7961933011988629,11.0,0.002706027060270603,1.0,0.0002460024600246002,0.0,0.0
ponda,7246,2.602272727272727,101.54612322493816,77.54431228086187,48994.484956770706,24788.42967931912,104,0,303,33,0.0,0.004096512951349139,0.925,0.7257142857142858,0.0,0.0,0.0,0.0,0.0,0.0
ponnur,8646,2.8047210300429186,481.451949285685,397.76609543988997,97534.06806063051,49999.030308507114,162,0,628,142,0.0,0.009629225733279232,0.8476394849785408,0.8531468531468531,0.0,0.0,0.0,0.0,0.0,0.0
ponta grossa,1204,3.2076444914693822,171.7972982155664,152.39313306861575,50819.303753661814,27847.39171380267,854,8,3458,3205,0.0010580611030286998,0.006169241987945836,0.5708989805375347,0.9466922720349645,27.0,0.0035709562227218624,9.0,0.0011903187409072875,0.0,0.0
pontefract,1851,2.3385032003938946,170.32515545262203,111.70512410777575,29683.94710777683,15869.389504655046,1398,17,2526,117,0.004185130477597243,0.010732936853220453,0.9700865265760198,0.5892393320964749,3.0,0.0007385524372230429,1.0,0.0002461841457410143,0.0,0.0
pontianak,12351,2.5480534498265452,248.86816407971946,183.2376993779818,65275.48995074353,33299.80950705463,4105,12,10270,1174,0.0007709109597841449,0.007473561193405513,0.9241995628134242,0.7319551168697553,3.0,0.00019272773994603623,1.0,6.424257998201208e-05,1.0,6.424257998201208e-05
poojapitiya,9031,2.303523035230352,255.98725503874377,165.10831083799732,130296.50829020776,65148.254145103834,131,0,233,5,0.0,0.003929303377318244,0.986449864498645,0.6084583901773534,0.0,0.0,0.0,0.0,0.0,0.0
popayan,506,2.75011256190905,499.771267790695,394.46151843182724,83200.56528631704,46083.65387939823,1404,17,4116,1094,0.00255140327179949,0.010844870701845942,0.8305747818236533,0.7511853691578234,30.0,0.004502476361999099,2.0,0.00030016509079993996,0.0,0.0
