city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,7way_int_count,6way_int_prop,7way_int_prop,8way_int_count,8way_int_prop
prachin buri,10869,2.4987893462469732,202.88999054325862,143.20201511709416,58607.23915199754,31530.68663021551,243,1,512,67,3.0,0.0012106537530266344,0.0036319612590799033,0.006434683548845757,0.9151515151515152,0.6735562310030395,0.0,0.0,0.0,0.0,0.0,0.0
prague,2927,2.837996059667886,106.84790491325211,89.026889306274,28212.789988521858,17890.802529674067,2963,437,11038,3186,125.0,0.02459893048128342,0.007036307345904869,0.005972225378712435,0.8079986149584487,0.6590574586592017,15.0,1.0,0.0008443568815085843,5.629045876723895e-05,0.0,0.0
praia grande,1313,3.180712788259958,155.4477290648748,141.76050763777891,45762.7096023388,25342.506788295777,1050,15,6638,4176,44.0,0.0012578616352201257,0.003689727463312369,0.006133873431047754,0.6455079764903443,0.9283644761704808,2.0,0.0,0.00016771488469601676,0.0,0.0,0.0
pratapgarh,6927,2.210526315789474,9.193835041664709,5.322746603069042,22751.277103967615,11375.638551983806,8,0,10,1,0.0,0.0,0.0,0.0008082038647458071,0.9473684210526315,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0
pratapgarh,8208,2.382608695652174,44.975147090370776,29.331617667633115,36064.79922576777,18032.39961288389,40,0,66,9,0.0,0.0,0.0,0.0024941299026135532,0.9217391304347826,0.7022222222222222,0.0,0.0,0.0,0.0,0.0,0.0
prato,2794,2.811139240506329,152.7719764918805,133.74316321744882,31893.646090256807,20646.723915941126,738,114,4609,457,7.0,0.019240506329113925,0.001181434599156118,0.007399332558223768,0.9201514369299604,0.48833605922355167,0.0,0.0,0.0,0.0,0.0,0.0
prayagraj,8201,2.6820500927643787,395.6290435632138,310.79022423387283,83350.8662647264,43823.69000025994,2774,2,8736,1411,13.0,0.00015460729746444033,0.001004947433518862,0.009027743751401744,0.8899025823411164,0.7924448053203418,0.0,0.0,0.0,0.0,0.0,0.0
presidencia roque saenz pena,1049,3.4770017035775127,153.50119328581778,148.46729555029478,45781.517185654804,27154.989806475824,77,1,999,1267,4.0,0.00042589437819420784,0.0017035775127768314,0.005652780368535118,0.4584576054537708,0.9564939219449776,0.0,0.0,0.0,0.0,0.0,0.0
presidente prudente,1152,3.25506731765054,236.71137793671886,225.74959937566055,54811.301104539154,33640.80314527635,313,14,4099,2303,29.0,0.00207131232430833,0.004290575528924397,0.007036436583112805,0.6541141586360267,0.807193177604746,1.0,0.0,0.00014795088030773783,0.0,0.0,0.0
presov,3265,2.7399165507649514,63.793625512639224,50.662253362610564,23664.54500988479,13365.139410082602,148,9,455,99,5.0,0.012517385257301807,0.006954102920723227,0.004773135809156888,0.8492957746478873,0.6607773851590106,3.0,0.0,0.004172461752433936,0.0,0.0,0.0
preston,1773,2.359791122715405,218.18668603626543,143.37656694936626,37986.866270823324,20441.077927752798,3283,53,5761,467,11.0,0.005535248041775457,0.0011488250652741513,0.01067393250040077,0.9498004620877967,0.6079626030778927,0.0,0.0,0.0,0.0,0.0,0.0
prilep,3344,2.771279373368146,331.7299418851427,268.32881461101096,66079.6355642175,34093.53195843835,366,0,1268,269,11.0,0.0,0.005744125326370757,0.009729996360879753,0.8532637075718016,0.8159477124183007,1.0,0.0,0.0005221932114882506,0.0,0.0,0.0
pringsewu,11678,2.7202630005977286,230.60332650423362,183.60049665489493,64238.701806264835,32217.547740384784,341,0,1118,214,0.0,0.0,0.0,0.0071576933279490955,0.872086072922893,0.83507931756959,0.0,0.0,0.0,0.0,0.0,0.0
pristina,3323,2.4005037783375314,214.88300085420693,144.1852028595463,51086.26255603962,27399.115435432683,1698,12,3146,296,9.0,0.002325130788606859,0.0017438480914551443,0.007842698475452206,0.9407651971256554,0.6047799475371611,0.0,0.0,0.0,0.0,0.0,0.0
prizren,3311,2.397845953002611,281.563199775067,189.0259471074781,53241.76200294892,28497.679518575987,1007,1,1887,168,1.0,0.00032637075718015666,0.00032637075718015666,0.00988021496948663,0.9448253346392426,0.6128083646462996,0.0,0.0,0.0,0.0,0.0,0.0
probolinggo,12644,2.4169670085944,347.52528852560965,236.00310347753836,71803.23901780676,36400.509379037925,2315,6,4463,430,0.0,0.0008317161075686166,0.0,0.009547264432671378,0.9403440621531631,0.6824647838456734,0.0,0.0,0.0,0.0,0.0,0.0
proddatur,8253,2.802796173657101,166.51668059156546,137.10976128179672,55126.53809006971,27820.359404687024,240,0,908,210,1.0,0.0,0.0007358351729212656,0.005985425212138403,0.8447387785136129,0.8739402875046074,0.0,0.0,0.0,0.0,0.0,0.0
prokhladny,4711,3.075641025641026,53.15527933583958,47.567160226174394,27431.315975521753,13882.88425803416,82,0,477,219,2.0,0.0,0.002564102564102564,0.0038288354457092083,0.7166666666666667,0.9614147909967846,0.0,0.0,0.0,0.0,0.0,0.0
proletar,6036,2.7554296506137868,73.73263766262276,58.62406129549421,32759.46563857715,16397.67275679187,217,0,670,170,1.0,0.0,0.0009442870632672333,0.004496530620912831,0.8375826251180358,0.8476100331282537,1.0,0.0,0.0009442870632672333,0.0,0.0,0.0
provo,192,2.6812629638165477,97.24644214017745,73.97139485680012,32182.487195425176,16968.635098830833,2077,27,5198,1344,27.0,0.0031113159714219866,0.0031113159714219866,0.005730952523510739,0.8409432435556583,0.7647568942591201,4.0,0.0,0.0004609356994699239,0.0,1.0,0.00011523392486748098
