city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,6way_int_count,5way_int_prop,6way_int_prop
bangarapete,8255,2.6672060409924487,1514.5365742643432,1162.4517503657823,295476.8023630128,151496.7424792934,431,0,1178,245,0.0,0.009997156040971312,0.8678532901833873,0.7950310559006211,0.0,0.0,0.0,0.0
bangkalan,12633,2.5427522935779816,493.24037377824465,363.8213399245034,93237.65466660513,48450.80661114947,715,3,1820,187,0.0011009174311926607,0.010180230387841271,0.9313005143277002,0.7240301526015812,0.0,0.0,0.0,0.0
bangkinang,11096,2.6345381526104417,393.50107592449336,310.2705940020436,108581.71288325582,56053.547671883,158,1,544,44,0.0013386880856760374,0.007020092255853366,0.9410187667560321,0.7484868863483524,0.0,0.0,0.0,0.0
bangko,11290,2.5390008764241894,539.8326734474111,400.26156155697623,122558.63387795865,64431.601942509085,295,0,782,64,0.0,0.008378383544290767,0.9439088518843121,0.6952129995608256,0.0,0.0,0.0,0.0
bangor,1678,2.3404347826086958,186.38054966651453,122.11977754236409,37065.9644859585,19841.880211040705,793,2,1434,71,0.0008695652173913044,0.00939329074080419,0.9691035683202786,0.5985624047048573,0.0,0.0,0.0,0.0
bangui,3363,2.8329232833817937,78.36502082715128,65.90303697385121,29490.13509633285,14812.798342771996,711,0,3085,675,0.0,0.005290358986449715,0.8490270632968017,0.8706501062996531,0.0,0.0,0.0,0.0
banha,3913,2.8414661319073082,406.6058626478799,354.33055454898806,100155.54629496827,53532.250985517916,1154,5,6927,890,0.0005570409982174688,0.007595530827909311,0.9007914390814847,0.8410548029213358,0.0,0.0,0.0,0.0
bani,799,3.095184135977337,180.31161618537703,162.8423321243575,47987.68658351922,24254.33621455681,171,0,1087,505,0.0,0.007434201232732924,0.7127478753541077,1.0195744680851064,1.0,1.0,0.0005665722379603399,0.0005665722379603399
banikoara,2090,2.917525773195876,237.76413722006552,192.82589822658235,117679.89881577468,58839.9494078873,55,0,152,82,0.0,0.004040862366686434,0.711340206185567,0.9566724436741768,2.0,0.0,0.006872852233676976,0.0
baniyas,4349,2.8739612188365653,115.29390179057707,99.1655304874631,38550.538178192444,23809.809784671408,101,2,509,107,0.002770083102493075,0.0048422857147226136,0.8472222222222222,0.8090592334494774,3.0,0.0,0.004155124653739612,0.0
bani gala,6341,2.2995991983967934,264.14352079669794,166.7439059137472,69871.16471928263,36201.80249704195,368,0,593,37,0.0,0.007296419033783776,0.9629258517034068,0.6047212456052236,0.0,0.0,0.0,0.0
bani saad,5361,2.8891752577319587,149.54655172882462,128.73337184903977,54456.4406043861,27946.427445316825,54,2,265,67,0.005154639175257732,0.005351186731164279,0.8264248704663213,0.8996088657105606,0.0,0.0,0.0,0.0
banjar,12202,2.639442231075697,173.42239997637182,135.93967010100062,55981.15576767926,28463.9718936709,217,3,709,75,0.00298804780876494,0.006092698539199061,0.9250749250749251,0.7656484727090636,0.0,0.0,0.0,0.0
banjarbaru,12711,2.696685878962536,369.6384549179184,295.24915971589735,70116.92437110737,36453.1064928932,2514,4,8731,1243,0.0003202049311559398,0.01014010849774853,0.9004644458680333,0.7902767209963558,0.0,0.0,0.0,0.0
banjarmasin,12710,2.5040582143856702,366.34905676352,258.40783943696096,73667.0268298568,37905.06125922186,4211,8,8734,1336,0.000559753708368318,0.00966491134938851,0.906258751050126,0.7114798865665372,3.0,0.0,0.00020990764063811922,0.0
banjarnegara,12335,2.555519585626416,340.0173946746441,254.8204171809003,81161.29100295273,40705.72726786599,774,1,2138,176,0.0003237293622531564,0.008353060306161423,0.9430051813471503,0.7590341921892724,0.0,0.0,0.0,0.0
banja luka,3121,2.449474019764106,152.71344765546323,106.17406099348591,42276.52946388915,22346.462260273536,956,10,1979,189,0.0031877590054191903,0.006833898174877992,0.9385992964502718,0.6338614178268523,3.0,0.0,0.000956327701625757,0.0
banki,3129,3.240366972477064,294.27642030274507,266.7386268432221,101613.65279014874,50846.707329506076,51,0,265,225,0.0,0.005787521665773194,0.5798165137614679,1.0995391705069124,4.0,0.0,0.007339449541284404,0.0
bankura,9494,2.6415584415584417,38.83044405118823,29.854055686108353,24457.381207081336,12228.690603540676,89,0,256,40,0.0,0.00317535583408622,0.8961038961038961,0.8209150326797385,0.0,0.0,0.0,0.0
bannu,6188,2.816,208.3830819747317,168.04011730442366,133912.89022403295,73050.9412571793,121,0,377,127,0.0,0.0028525721693456246,0.7968,0.8481927710843373,0.0,0.0,0.0,0.0
