city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,6way_int_count,7way_int_count,5way_int_prop,6way_int_prop,7way_int_prop
sidi slimane,1631,3.101663585951941,401.3810627370624,385.8006517990248,81720.14444266302,43186.11467822814,63,0,1269,291,0.0,0.00929421564610939,0.8207024029574861,0.9361308238198087,0.0,0.0,0.0,0.0,0.0,0.0
sidi yahya du gharb,1616,3.1475409836065573,199.32229845880843,188.70266780321617,68857.88204247467,34489.09918666456,13,0,169,62,0.0,0.005779283981295682,0.7459016393442623,1.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.0
sidogede,11644,2.819532908704883,172.9561591687113,144.13013264059276,66058.80823337045,33041.65995169678,157,0,641,144,0.0,0.005234487596009217,0.8471337579617835,0.8797232570516232,0.0,0.0,0.0,0.0,0.0,0.0
sidorejo,12862,2.6910699919549477,964.039150914239,718.182022322273,221977.54377562052,110988.77188780994,317,0,676,250,0.0,0.008685916012195472,0.7988736926790024,0.8295042321644498,0.0,0.0,0.0,0.0,0.0,0.0
siegen,2401,2.6502403846153846,124.34017332492748,98.11216801420059,39395.69915884238,21881.55848036584,351,37,1133,131,0.022235576923076924,0.005682418527752353,0.9121081745543946,0.6817482302246846,11.0,0.0,1.0,0.006610576923076923,0.0,0.0006009615384615385
siem reap,11257,2.6064824433825056,260.6915101013461,192.39065943901548,73491.34266409304,37189.367523942434,1261,3,2920,627,0.0006233118637024725,0.00700983984020469,0.8692307692307693,0.7613104524180967,2.0,0.0,0.0,0.00041554124246831497,0.0,0.0
sievierodonetsk,4122,3.193050193050193,15.059140833092385,13.896272815092974,10250.216954748217,5909.861441312787,20,1,149,87,0.003861003861003861,0.0025481377156868204,0.6550387596899225,0.7671232876712328,2.0,0.0,0.0,0.007722007722007722,0.0,0.0
sig,1943,3.125984251968504,254.25035237208076,240.63694767814258,60179.89746332719,31504.374172168595,68,0,907,294,0.0,0.008070319092283035,0.7677165354330708,0.9921104536489151,1.0,0.0,0.0,0.0007874015748031496,0.0,0.0
sigli,10386,2.5452522255192878,223.41441505248827,166.40064741298087,54532.07683661273,28462.943607361773,344,0,929,75,0.0,0.007849308143754443,0.9443620178041543,0.7108881456707543,0.0,0.0,0.0,0.0,0.0,0.0
siguatepeque,343,3.3223684210526314,195.19351774475945,174.09647400354956,63375.118921668676,33905.77189312432,115,5,371,569,0.004699248120300752,0.005756940687268126,0.45892351274787535,1.029815428300994,3.0,1.0,0.0,0.002819548872180451,0.0009398496240601503,0.0
siguiri,1540,3.2390143737166324,380.2977179675006,331.2572730222048,105387.28662682402,52838.73766922007,314,1,919,1192,0.0004106776180698152,0.007197327845873839,0.5065735414954807,1.0906847624922886,8.0,1.0,0.0,0.0032854209445585215,0.0004106776180698152,0.0
sihanoukville,11305,2.6188946015424164,275.8313787765304,206.16445598785663,78801.78531591025,41810.5102905837,393,4,962,197,0.002570694087403599,0.0065971780028394305,0.8730670103092784,0.723136495643756,0.0,0.0,0.0,0.0,0.0,0.0
sihong,11840,3.5248091603053435,22.405247158622306,21.079745895421368,16901.89401709539,11995.345339354586,31,3,162,317,0.0057251908396946565,0.001867828438845749,0.3704414587332054,0.6624879459980714,10.0,1.0,0.0,0.019083969465648856,0.0019083969465648854,0.0
sihui,12028,3.030188679245283,38.27460011915451,32.85838312116095,19716.545185780145,12228.145670309164,75,0,292,160,0.0,0.003130041230379521,0.6924528301886792,0.7933649289099526,3.0,0.0,0.0,0.005660377358490566,0.0,0.0
siirt,4736,3.0036934441366574,422.8298268717801,392.37670914694274,90824.54196303367,48761.54264247346,156,0,1702,297,0.0,0.008671379204961343,0.8578024007386889,0.949156459440721,10.0,1.0,0.0,0.0046168051708217915,0.0004616805170821791,0.0
sikandarabad,7115,2.606060606060606,15.564068837581287,11.31932279096821,16938.547477909746,10901.642452599364,27,0,57,15,0.0,0.0014276810953261657,0.8484848484848485,0.6062176165803109,0.0,0.0,0.0,0.0,0.0,0.0
sikandra rao,7313,2.4166666666666665,15.451423357798706,9.657139598624191,29473.99179200833,14736.99589600417,9,0,12,2,0.0,0.0010484785004241095,0.875,0.7674418604651163,1.0,0.0,0.0,0.041666666666666664,0.0,0.0
sikar,6752,2.6099041533546328,188.8231111867602,142.37141929736552,43797.56823767147,22819.161321878808,770,0,2047,307,0.0,0.008274761220331016,0.9,0.7737809752198241,6.0,0.0,0.0,0.0019169329073482429,0.0,0.0
sikasso,1614,3.1755443886097154,169.69479003272517,154.74345677356044,54746.34477138717,27539.22388259105,263,0,1682,1031,0.0,0.006161930734002926,0.6515912897822446,1.0583403185247275,8.0,1.0,0.0,0.002680067001675042,0.00033500837520938025,0.0
sikhalasenkosi,4092,2.6207513416815744,280.0568179651041,217.93330199431176,110826.23578338581,56198.782224767056,248,0,798,72,0.0,0.004983325383190986,0.9355992844364938,0.7584043030031377,0.0,0.0,0.0,0.0,0.0,0.0
