city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop
tikamgarh,7625,2.5714285714285716,57.854634951869556,43.39097621390217,47264.49114000151,23632.245570000796,35,0,95,10,0.0,0.00244812262044667,0.9285714285714286,0.8036363636363636,0.0,0.0
tiko,2823,2.8463541666666665,165.18944030803522,140.66913276231125,60433.69551466469,30240.951649830677,114,0,544,110,0.0,0.005462441864291004,0.8567708333333334,0.9059438275636839,0.0,0.0
tikrit,5192,2.9576534576534574,223.40055851854973,208.64605387668746,59233.40517337567,32491.208161672883,170,0,2174,229,0.0,0.0068757233466644795,0.9106449106449106,0.8551429126968695,1.0,0.0003885003885003885
tilburg,2183,2.7950535146080417,191.14459321514713,160.07046495743447,42667.00155677102,25212.218143484108,1124,108,4749,927,0.015620480185131617,0.00758142707346624,0.8629150749338819,0.7153670904681414,6.0,0.0008678044547295343
tilhar,7540,2.5,37.058406705826734,28.234976537772752,39595.79934234675,20464.061590117322,10,4,25,3,0.09523809523809523,0.0018109018360130081,0.9210526315789473,0.8309859154929577,0.0,0.0
tima,4075,2.5187416331994643,973.6072632149908,714.8910092013688,237103.6774952633,121278.69231604502,1191,0,3066,225,0.0,0.008027850932609238,0.9497991967871486,0.727313316218328,0.0,0.0
timbuktu,1717,3.3994509265614274,346.6705163042565,330.4909726469542,75723.90661697337,37945.05168264506,68,1,678,701,0.0006863417982155113,0.00913611922850044,0.5123626373626373,1.191606467148263,9.0,0.0061770761839396015
timika,13053,2.5854082223508974,483.2852870916909,360.1552776415786,124851.54076344268,66862.60649966504,440,3,1117,167,0.0017371163867979154,0.007228035405621108,0.9031322505800464,0.7017136218414174,0.0,0.0
timisoara,3300,2.9601409978308024,106.65655600181036,94.77048102438518,30594.62555099024,18311.254179461084,411,31,2557,672,0.008405639913232104,0.005824645049242026,0.8115942028985508,0.6828567519496511,17.0,0.004609544468546637
tinaquillo,818,2.888359428182437,219.59664542885906,184.4671616468428,58371.947467249105,31195.17339046322,235,2,926,304,0.0013614703880190605,0.00703944301511697,0.7914110429447853,0.8303175145100717,2.0,0.0013614703880190605
tindivanam,8634,2.6057971014492756,311.21228241580826,236.34092171867178,88171.65940512945,48030.588133906014,166,1,463,59,0.0014492753623188406,0.006479460162931371,0.9129172714078374,0.7378004369992717,1.0,0.0014492753623188406
tindji,2073,2.775,166.34871405389484,138.4258941948482,80889.03047045488,40444.515235227605,94,0,404,62,0.0,0.0041130104560878344,0.8892857142857142,0.8475336322869955,0.0,0.0
tinduf,1561,3.2000905387052967,437.9820838566779,426.2840562661193,69741.74283690906,40269.915923079265,59,0,1590,560,0.0,0.010876160871387965,0.7464916251697601,0.9034670292318151,0.0,0.0
tinglin,12465,2.9680365296803655,15.900739365404156,13.214313079924915,19664.819892026357,11840.67470737991,37,2,111,69,0.0091324200913242,0.0013428913265807175,0.6820276497695853,0.7016317016317016,0.0,0.0
tingo maria,560,2.7935656836461127,273.45960543015696,208.5770985117417,68877.52924707363,36041.73259465172,177,0,370,198,0.0,0.007587304653348878,0.7332439678284183,0.8184263618022865,1.0,0.0013404825737265416
tinsukia,10089,2.6272189349112427,17.919051011800413,13.783885393692625,15069.713128075362,7561.047165629414,39,0,115,15,0.0,0.0023699165762721113,0.9112426035502958,0.8048048048048048,0.0,0.0
tipaturu,7820,2.831360946745562,171.0466714048794,144.7317988810518,71770.76936830036,35885.38468415021,52,0,239,47,0.0,0.00476647172408401,0.8609467455621301,0.9076005961251863,0.0,0.0
tipitapa,372,3.110137672090113,158.41996523808754,145.73050619523698,45144.34128759567,23428.495886796427,64,1,519,213,0.0012515644555694619,0.0067618495870820335,0.7305764411027569,1.0,2.0,0.0025031289111389237
tirana,3274,2.4440114522029583,223.00616903694973,155.6644779415705,44335.84105408705,24246.94041757171,3797,78,8026,665,0.0062032766025131225,0.009197291088954779,0.9461427656850192,0.6086364909753071,8.0,0.0006362334976936536
tiraspol,3537,2.859060402684564,52.757026601826915,43.72813949882969,21978.353649180113,11339.226742165856,255,6,926,300,0.004026845637583893,0.004652612369558281,0.795822102425876,0.8420519743503206,3.0,0.0020134228187919465
