city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,7way_int_count,8way_int_count,9way_int_count,10way_int_count,6way_int_prop,7way_int_prop,8way_int_prop,9way_int_prop,10way_int_prop
battipaglia,3026,2.8346513299784326,181.64919755906564,154.8784675090236,36850.91283684283,22734.63936698028,205,14,982,186,4.0,0.010064701653486701,0.002875629043853343,0.007989974884883918,0.8620188816267248,0.6238632229901783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
batumi,4605,2.7122381477398014,208.70783378744053,162.916368601442,57187.41028894371,33410.57500565553,398,9,1127,277,3.0,0.004961411245865491,0.0016538037486218302,0.006246759708628534,0.8448753462603878,0.636615811373093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baturaja,11565,2.6194076874606176,223.66656776488225,171.80185639911244,51920.3307721776,26295.281114717625,368,0,1087,132,0.0,0.0,0.0,0.00850595841851239,0.9168241965973535,0.7674345219312085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
batu licin,12735,2.68433734939759,262.1008428332501,207.9964921439768,63012.82381650138,33465.73244330262,257,0,867,121,0.0,0.0,0.0,0.00783191711931897,0.9028112449799197,0.751307847082495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
batu pahat,11383,2.7567567567567566,451.1745247044515,368.5269390979304,96995.45864456496,51274.65898409506,488,1,1895,260,3.0,0.00037537537537537537,0.0011261261261261261,0.00879917163065681,0.8948554262110402,0.7827476038338658,11.0,2.0,3.0,0.0,1.0,0.004129129129129129,0.0007507507507507507,0.0011261261261261261,0.0,0.00037537537537537537
baubau,12973,2.66786355475763,246.86246026936047,193.90004733903987,68270.13648037051,34756.65594874056,239,2,763,110,0.0,0.0017953321364452424,0.0,0.007102595273648752,0.9010791366906474,0.8071203244704822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bauchi,2853,2.865580016934801,142.43534990015428,126.51539546592873,48683.29899327378,25663.711107355568,528,2,3779,408,6.0,0.0004233700254022015,0.0012701100762066045,0.0055500683164770494,0.9121135112240576,0.829642970653671,1.0,0.0,0.0,0.0,0.0,0.00021168501270110075,0.0,0.0,0.0,0.0
bauru,1220,3.3499371644007767,250.83227536596482,239.05436320151702,65579.14673339683,37796.02893104,411,14,4448,3863,15.0,0.001599451616588598,0.001713698160630641,0.00663647167335002,0.5560132738299577,0.9399645166828822,2.0,0.0,0.0,0.0,0.0,0.00022849308808408546,0.0,0.0,0.0,0.0
bawal,6956,2.9959514170040484,54.25495705611977,48.76356464153275,39036.09718174589,24009.77606890095,25,0,178,40,3.0,0.0,0.012145748987854251,0.002259702751930052,0.8218623481781376,0.7709611451942741,1.0,0.0,0.0,0.0,0.0,0.004048582995951417,0.0,0.0,0.0,0.0
bawku,1938,3.2111716621253406,631.4195922833209,608.1929860276674,125733.83929973289,62866.919649866475,54,0,997,416,1.0,0.0,0.0006811989100817438,0.010043749491783188,0.7159400544959128,1.080518594336404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
