city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality
aguascalientes,112,3.040840961673876,222.24082810193948,197.61571270567288,40703.206887786226,28197.6108868448,2203,86,12367,5157.0,61.0,7.0,1.0,0.0043255205713710896,0.0030681018006236795,0.0003520772558092747,5.0296750829896386e-05,0.00788154815646537,0.7360072741968074,0.6304594942784247,1.1835429939711636e-05,6.001739320340587e-10,0.1523635806866487,7.663393053347183e-06,0.02314902442928563,1.0795105305936188e-06
aguas lindas de goias,1205,2.8500421229991577,272.63185699102155,219.862548529617,77598.98444439884,40807.14870958315,919,0,2713,1107.0,8.0,1.0,0.0,0.0,0.0016849199663016006,0.00021061499578770007,0.0,0.006680982759449613,0.7649536647009267,0.8353176693709831,4.8161452223602636e-05,1.0164932930266491e-08,0.17748178972573334,3.73803263954788e-05,0.035279118259142275,7.326842665454818e-06
agua prieta,87,3.5868529691965705,210.57257610146692,202.74882525870044,71383.49371452858,36942.35838380567,117,0,954,2076.0,1.0,0.0,1.0,0.0,0.00031756113051762465,0.0,0.00031756113051762465,0.005700030677894541,0.340107970784376,1.212140473542031,0.00011127610365421181,3.5404423688899714e-08,0.24166937736371713,7.674480068711246e-05,0.04072753593729042,1.1707071072559669e-05
aguie,2633,3.1123595505617976,135.1845068354478,109.36274710283416,52351.40174331826,26175.70087165914,34,0,56,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00516450380825578,0.5056179775280899,1.0626780626780628,0.002275194411507583,1.2781991075885298e-05,0.46600696262010627,0.0026180166439331814,0.14624158474956112,0.000791705431904387
agwa,2421,2.740740740740741,231.76832390522137,190.6876950648779,76815.27603232727,38462.47268479726,67,0,275,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006025830055300383,0.9047619047619048,0.848202396804261,0.0008835484970142795,2.337429886281163e-06,0.3044387794064869,0.0008053935963134574,0.10373259889675078,0.00027212946721814386
ahar,5421,2.8007458710708577,194.96299325260688,160.78993796219257,45288.8789718777,24815.769347855014,329,2,1268,270.0,8.0,0.0,0.0,0.0010655301012253596,0.004262120404901438,0.0,0.0,0.007856415431644025,0.8517333333333333,0.7829105473965287,0.00016007005244598956,8.610546124044624e-08,0.26578368173865163,0.00014160025665351712,0.05489424261121925,2.970533308110571e-05
ahmadi,5717,2.951715374841169,106.4765577965384,101.60596557204617,29044.875941786333,16346.34162944471,36,6,705,40.0,0.0,0.0,0.0,0.007623888182973317,0.0,0.0,0.0,0.006513785176540167,0.9487836107554417,0.7084136159280668,0.0003879752541614783,4.929799925812939e-07,0.16960680355804447,0.00021551055089967533,0.07355737990195191,7.78176233507374e-05
ahmadnagar,7197,2.744924468392187,461.0087883911751,370.87409600102137,100797.42906412453,50927.46071726118,2032,1,6990,1331.0,34.0,5.0,0.0,9.62186086789185e-05,0.003271432695083229,0.00048109304339459254,0.0,0.009052263393822074,0.8681678214010777,0.8552865874199913,1.556138827435534e-05,1.5023545350796814e-09,0.1862276839289265,1.7918568645138698e-05,0.023849540437465497,2.21716150238103e-06
ahmadpur,7654,2.4571428571428573,22.32195524273007,15.306483595014905,31530.9773702617,15765.488685130862,11,0,21,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014158746162929224,0.9142857142857143,0.7692307692307693,0.012771571263472033,0.00036490203609920095,0.3511586452762923,0.01003310415075121,0.2919401700073965,0.007709750566893423
ahmadpur east,6351,2.634028892455859,124.20513093510331,93.70210519983716,40359.48259610164,22487.272766228267,153,1,390,79.0,0.0,0.0,0.0,0.0016051364365971107,0.0,0.0,0.0,0.005523352352519888,0.8729903536977492,0.741727199354318,0.0005746504044290261,9.674249232811886e-07,0.18529743888160335,0.0002974276707569877,0.0826409331848004,0.000131560049642122
