city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,6way_int_prop,7way_int_count,7way_int_prop,8way_int_count,8way_int_prop,9way_int_count,10way_int_count,11way_int_count,12way_int_count,13way_int_count,14way_int_count,15way_int_count,16way_int_count,9way_int_prop,10way_int_prop,11way_int_prop,12way_int_prop,13way_int_prop,14way_int_prop,15way_int_prop,16way_int_prop
brikama,1458,3.1281560826319814,269.76172434764936,256.34587730664157,71608.97067506348,35820.4134567295,130,0,1889,595,0.0,0.007530949487043675,0.7723794950267788,1.041738464484013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brindisi,3208,2.9821958456973294,188.3710462966593,171.32262816001804,32943.10823871705,22440.538498436326,183,29,1456,349,0.014342235410484669,0.008394230214653055,0.8223783241344707,0.5518713890982165,5.0,0.002472799208704253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brno,3036,2.671297386390393,79.6372555885919,62.27344615251088,23636.44299165258,14746.89214589425,926,124,2647,523,0.029197080291970802,0.005400273820458101,0.8666019888430754,0.6057517291590826,24.0,0.0056510477984459614,3.0,0.0007063809748057452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brockton,1023,2.7550947443689666,77.08984378207279,62.39950172420908,27593.450844480532,14803.228985408317,533,18,1858,379,0.006435466571326421,0.005207637053919856,0.8603814321698453,0.7934449846929588,7.0,0.0025026814444047193,2.0,0.0007150518412584912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronville,3611,3.01638689048761,512.8803580552162,488.89674418932475,173394.94157107314,88828.08566654763,117,0,2110,275,0.0,0.005773853553261536,0.890087929656275,0.9523904780956192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brovary,3527,2.8353413654618476,53.21254889784063,44.308173245591526,25723.16418756714,13465.09022252829,125,0,496,125,0.0,0.003951889517146444,0.8313253012048193,0.847548690396239,1.0,0.0013386880856760374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brownsville,246,2.9161198288159773,120.29044938839257,101.07143322362799,48131.1826684901,25966.322723940495,560,2,2130,800,0.0005706134094151213,0.004632556202403156,0.7679132172423637,0.8348807313240966,11.0,0.003138373751783167,2.0,0.0005706134094151213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bruges,2087,2.8138576779026216,121.5008079807758,103.98102855283622,29983.278932162648,17484.542145858715,385,36,1948,293,0.01348314606741573,0.006949041442846918,0.8857251328777525,0.6498194945848376,8.0,0.00299625468164794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brunswick,2641,2.667605633802817,83.08548402064581,63.55348035074751,23758.969350261894,14362.619791189973,918,59,2361,543,0.015108834827144686,0.005784841848393871,0.8525741029641186,0.6132431377650579,18.0,0.0046094750320102434,6.0,0.0015364916773367477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brussels,2135,2.9759067903838043,97.07021090559967,88.21168417228075,23808.697535566545,15636.655192425404,1731,383,13641,3063,0.020191902150991144,0.006207862852448247,0.8271186440677966,0.6231938651957487,128.0,0.006748207507380852,19.0,0.0010016870518768453,3.0,0.0001581611134542387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
