city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality,5way_int_count,5way_int_prop,6way_int_count,6way_int_prop
akbarpur,8279,2.6153846153846154,23.068992747704797,17.153866402139464,62604.460980057265,31302.230490028633,10,0,24,5,0.0,0.0007369760041557886,0.8717948717948718,0.7945205479452054,0.012724733232730753,0.0003262752110956603,0.3365101944049313,0.008628466523203367,0.2858665700770952,0.007164404223227753,0.0,0.0,0.0,0.0
akcaabat,4501,2.755644090305445,185.98473355795255,154.12280709184913,74111.2413336668,42184.60576482736,129,0,552,70,0.0,0.004408829481417667,0.9043824701195219,0.7455029980013325,0.00033382690851376483,4.445098648651995e-07,0.33237770554221335,0.00044140465543454627,0.07669610509982765,9.424675140137758e-05,2.0,0.0026560424966799467,0.0,0.0
akcakale,4548,3.076659822039699,250.6464518136568,230.91726498369752,62401.339344659835,34547.529612396975,115,2,1004,336,0.0013689253935660506,0.007255119385546898,0.7669636737491432,0.917610710607621,0.0001518340362474467,1.0392473391337898e-07,0.4360736852976799,0.0002984761706349623,0.05812691797163754,3.526532313852861e-05,4.0,0.0027378507871321013,0.0,0.0
aketi,3555,2.808664259927798,96.89834542009137,74.16046653090025,40632.511566569236,20343.353562997443,65,0,135,77,0.0,0.00476314512845807,0.7220216606498195,0.8797814207650273,0.0010082358471917015,3.6663121716061873e-06,0.3448496804689478,0.0012449446948337465,0.11412980319781044,0.000402624755594074,0.0,0.0,0.0,0.0
akhisar,3557,3.1250883392226148,373.62069996660296,352.10120382011667,83078.21131435329,43510.760774434355,163,0,1998,658,0.0,0.008586857442082041,0.7636042402826855,0.9915119363395225,0.00013614690146008433,4.810844574561284e-08,0.21297274659789323,7.525538749042164e-05,0.04782625485665319,1.6163218397416818e-05,11.0,0.0038869257950530037,0.0,0.0
akim oda,1854,2.616840113528855,154.35079607626756,119.1582304619057,47911.376407984586,23955.688203992315,241,0,739,77,0.0,0.006443179371926554,0.9271523178807947,0.7937411095305832,0.0001654446814146665,1.5741644283032017e-07,0.3892546316243001,0.00036826360607786196,0.05857854882607053,5.430089572275257e-05,0.0,0.0,0.0,0.0
akita,12856,2.8294043281029224,263.1140410276851,215.70381410643273,51514.614618069594,26318.521780765175,2423,6,8489,2501,0.0004461961775860787,0.009997295563156643,0.811844356818689,0.8861852141236001,1.7393816054312688e-05,1.3034934093459749e-09,0.1929540513422898,1.4349226693112947e-05,0.02508422044975678,2.031955844575434e-06,27.0,0.002007882799137354,1.0,7.436602959767977e-05
akkaraipattu,9261,2.941666666666667,191.24789735468485,167.70412211215736,47304.51492211612,23801.16187863928,325,0,1819,496,0.0,0.008035233671778151,0.8121212121212121,0.9512796208530806,8.194723618612732e-05,3.117049683762926e-08,0.4570896655110956,0.00017314002481480894,0.04325225827648475,1.6341992193828886e-05,0.0,0.0,0.0,0.0
aklera,7223,2.1538461538461537,12.57860382824468,6.773094369054827,23092.90588985864,11546.452944929322,6,0,6,1,0.0,0.0010893911652555281,0.9230769230769231,0.7619047619047619,0.056390977443609054,0.0043377674956622345,0.4595959595959596,0.03535353535353535,0.46410256410256406,0.038461538461538464,0.0,0.0,0.0,0.0
akluj,7330,2.5169045830202856,452.31726337348374,319.10286274057194,139605.31664536547,69802.65832268265,392,0,799,139,0.0,0.006479943231997247,0.8948159278737791,0.7519759126834776,0.00014079172081424968,1.0796911105387246e-07,0.23701215146024365,0.00017807073738560755,0.05576193808980869,4.6118940990817596e-05,1.0,0.0007513148009015778,0.0,0.0
akola,7547,2.7803620184042876,403.0771652548844,333.33654135447915,74333.97625049428,38152.697212237,1711,0,6929,1248,0.0,0.010564840619593271,0.8736980483365355,0.8627421230971527,2.055395533992716e-05,2.0818348364151887e-09,0.25263365435120766,2.5546936429488082e-05,0.02752962018319991,3.1943364400545503e-06,1.0,0.00010112245929821013,0.0,0.0
akot,7536,2.723529411764706,48.007632403047694,39.253299435433114,29824.4722228563,14912.236111428108,31,0,124,15,0.0,0.0032193449757851322,0.9117647058823529,0.8746268656716418,0.0026131344865009155,1.5371379332358326e-05,0.25386023355977616,0.001493295491528095,0.15274324794724856,0.0008629493464052288,0.0,0.0,0.0,0.0
akron,793,2.9895221646516985,66.57211038980346,56.67635972621839,27066.980509499044,14543.634688992255,1291,29,4881,2450,0.00333909038572251,0.004577405291965314,0.7130314232902033,0.916507771421968,3.1724935854188445e-05,3.674844880596368e-09,0.14432271024545892,1.661746807662164e-05,0.03500853836162117,4.494119093262041e-06,32.0,0.0036845135290731147,2.0,0.00023028209556706967
aksaray,4062,3.1115117177440124,383.39184319943075,370.5561646993211,82118.1284970807,47750.30883175882,130,7,3060,672,0.0018027298480556271,0.00802909661904503,0.8230134158926729,0.8408416161094617,8.954115558109457e-05,2.308356679069208e-08,0.1523067470061132,3.922398841259676e-05,0.04159168203951517,9.213684023267513e-06,14.0,0.0036054596961112542,0.0,0.0
aksu,6509,3.2785714285714285,35.42268941254406,32.386458891468855,31504.409129213946,21669.664520541235,24,0,133,120,0.0,0.0016346671808862559,0.5607142857142857,0.6684684684684684,0.002062194162740431,7.364979152644397e-06,0.13968143027354296,0.0004988622509769392,0.1409745776331622,0.0004426419331446349,3.0,0.010714285714285714,0.0,0.0
