city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,7way_int_prop
cambridge,1965,2.320473106167277,147.14701354487184,95.22496117322316,28026.75191816993,14998.0675506758,1253,48,2115,130,4.0,1.0,0.013517319065052097,0.001126443255421008,0.000281610813855252,0.00981106486203561,0.9614616043391379,0.5852021139837166,0.0,0.0
cambridge,870,2.887277248238707,64.75417319435691,55.36173199335197,26773.584031955852,14286.138817002628,350,9,1621,429,4.0,0.0,0.0037297969332780773,0.0016576875259013675,0.0,0.004532657425762224,0.819883527454243,0.8271913387466167,0.0,0.0
campana,1096,3.520997375328084,120.93441844323495,115.53839452319559,32193.737517942478,21789.064362939767,68,2,566,863,8.0,15.0,0.0013123359580052493,0.005249343832020997,0.00984251968503937,0.0055502345777144945,0.41655716162943496,0.7818361303060217,2.0,0.0013123359580052493
campbelltown,13041,2.588630366994483,115.13925668009553,88.84696299828911,27774.60950798093,15666.370983184834,952,19,2993,202,3.0,0.0,0.004557447829215639,0.0007195970256656273,0.0,0.007349452965442846,0.9506024096385542,0.5721518987341773,0.0,0.0
campeche,329,3.0363396723780833,178.9633462682173,158.9811839001034,42022.84504986884,23984.079288220477,593,5,3348,1347,17.0,1.0,0.0009414422895876483,0.0032009037845980044,0.00018828845791752966,0.007461755947250942,0.7427440633245382,0.8522673706043179,0.0,0.0
campina grande,1437,3.1292072494143754,291.0396317613876,272.7038837857904,70077.84593874891,39359.990570943424,511,6,5521,2070,3.0,0.0,0.0007397361607693256,0.0003698680803846628,0.0,0.007394301358807761,0.7442319555829735,0.8643628509719222,0.0,0.0
campos dos goytacazes,1391,3.0516094227656896,217.5220552186538,195.2652579844488,57860.06896386862,33284.41820778454,569,5,3565,1414,8.0,0.0,0.0008991188635137566,0.0014385901816220104,0.0,0.006535251836481849,0.744060475161987,0.7957144143333034,0.0,0.0
campo largo,1237,2.8717541070482246,135.57310615460216,107.76876482877755,41195.652838985356,21697.64883808029,387,4,967,523,5.0,1.0,0.0021197668256491787,0.002649708532061473,0.0005299417064122947,0.006248285570769567,0.7190653212958046,0.8388726402552512,0.0,0.0
campo mourao,1145,3.413114754098361,220.98690899949966,211.93006846673327,64130.878106014155,36072.57411486688,100,3,1140,1183,14.0,0.0,0.0012295081967213116,0.005737704918032787,0.0,0.006126175201575718,0.508822322527698,0.9806941877182173,0.0,0.0
cam pha,11357,2.5972021225277375,138.97732417642916,102.1714626362171,35471.111854700765,19159.27935838669,549,1,1260,262,1.0,0.0,0.000482392667631452,0.000482392667631452,0.0,0.007253786615705559,0.8730694980694981,0.7057260207779656,0.0,0.0
cam ranh,12160,2.66711051930759,148.27125591475937,111.94381105681566,38663.12088656165,21395.67431035092,184,0,450,116,1.0,0.0,0.0,0.0013315579227696406,0.0,0.006929964149016226,0.844207723035952,0.7154308617234469,0.0,0.0
canakkale,3488,3.1664876476906554,267.5296750405999,257.37638268316937,59064.4872851392,33919.864509108906,106,0,2030,637,20.0,0.0,0.0,0.007160759040458289,0.0,0.00788710918844493,0.7647690655209453,0.9093352445798244,0.0,0.0
cancun,394,3.027623522711092,230.21097163736394,200.61101330210272,45819.82596805203,27940.862772920555,1806,54,8181,3961,39.0,5.0,0.003844510892780863,0.002776591200341734,0.0003559732308130429,0.0082392220135907,0.7137650085763293,0.7326208942421102,0.0,0.0
candeias,1417,2.6992924528301887,295.01058872067847,237.95665410960385,69539.80482609893,34908.774473011545,164,0,611,73,0.0,0.0,0.0,0.0,0.0,0.008450900759886464,0.9139150943396226,0.8095801301005322,0.0,0.0
candelaria,12872,2.663923182441701,478.4607399070093,368.85450730828427,136062.31754113839,68471.8910106091,167,1,471,90,0.0,0.0,0.0013717421124828531,0.0,0.0,0.0069876957222179846,0.8763736263736264,0.7891109579600276,0.0,0.0
cangnan,12593,2.9649859943977592,56.50185576547213,46.21440303506404,35007.36289764404,20698.657344691383,130,4,342,237,1.0,0.0,0.0056022408963585435,0.0014005602240896359,0.0,0.0027297353072016166,0.6647887323943662,0.8289752650176678,0.0,0.0
cangxi,10393,2.988372093023256,42.330377722534834,36.91602708360596,48258.10675255934,27535.45639526894,11,1,53,20,1.0,0.0,0.011627906976744186,0.011627906976744186,0.0,0.0015373043800286496,0.7529411764705882,0.7393939393939394,0.0,0.0
cangzhou,11007,3.110317975340688,16.893952620611078,15.074097893147458,11216.033278375327,8106.722577696561,166,6,866,498,5.0,0.0,0.003893575600259572,0.003244646333549643,0.0,0.002083943598500606,0.6723127035830619,0.6280587275693311,0.0,0.0
cankr,3890,2.891764705882353,326.268797486913,279.82347455054065,80386.06832410673,44330.03250238395,121,0,585,138,6.0,0.0,0.0,0.007058823529411765,0.0,0.007359994547023334,0.8305882352941176,0.8306784660766962,0.0,0.0
canning,9790,2.2661764705882352,59.6057285498815,36.28937002889844,36763.553760273775,18381.776880136924,532,0,762,66,0.0,0.0,0.0,0.0,0.0,0.003242653250474962,0.9514705882352941,0.6022099447513812,0.0,0.0
