city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,6way_int_prop,7way_int_count,7way_int_prop
carpina,1444,2.955282280603689,374.9000300876304,320.8339553181454,91571.13937123975,48382.32564106025,258,1,1094,435,1.0,0.0005589714924538849,0.0005589714924538849,0.007748698003253216,0.756152125279642,0.8756650798095772,0.0,0.0,0.0,0.0
carsamba,4257,2.9528112449799195,367.6394184016104,331.8351778544656,114644.91173029064,65332.23875904605,97,0,755,141,3.0,0.0,0.0030120481927710845,0.00562722823195319,0.8554216867469879,0.8002013085052844,0.0,0.0,0.0,0.0
cartagena,1863,3.0273276904474002,247.2575413107413,223.81740680196,38506.17398878871,25765.888991821124,392,47,2783,883,29.0,0.011366384522370012,0.007013301088270859,0.009596313225956549,0.7766634050880626,0.6352955574593073,1.0,0.0002418379685610641,0.0,0.0
cartagena,586,2.922146575891069,223.82357531194688,191.98451485908203,43973.23078075804,24163.243413073484,1776,16,8125,2540,28.0,0.0012815378454144974,0.0022426912294753703,0.00926297730340487,0.7940492421204587,0.8746239922993623,0.0,0.0,0.0,0.0
cartago,398,2.729395283679664,161.55822116613737,126.40242800087002,42123.14859794355,22210.923946291714,932,0,2658,682,10.0,0.0,0.0023348120476301658,0.0072738181246670185,0.8381975250992295,0.7756103258965075,1.0,0.00023348120476301658,0.0,0.0
cartago,540,2.886542443064182,557.7714349718228,462.1534746909389,93944.09744298429,56588.399761587585,414,15,1434,536,15.0,0.006211180124223602,0.006211180124223602,0.009856639122536915,0.77,0.7286757038581856,1.0,0.00041407867494824016,0.0,0.0
caruaru,1436,3.1304412200177674,421.17426349507247,394.98338539795515,90363.54118429634,50029.80305634457,420,5,4612,1711,3.0,0.0007403020432336393,0.0004441812259401836,0.008418467348766844,0.7455919395465995,0.9192914844734307,3.0,0.0004441812259401836,0.0,0.0
carupano,954,2.7806925498426023,177.74273278299384,142.02632845146886,47592.23914129546,26723.97554589736,383,4,1168,350,1.0,0.002098635886673662,0.0005246589716684155,0.006651058802150444,0.8154574132492114,0.7336141089760463,0.0,0.0,0.0,0.0
cary,768,2.589345437171524,110.22703095375337,79.26023964902,32377.83730980971,18297.978926600612,1176,28,2347,610,24.0,0.006688963210702341,0.005733397037744864,0.006024000322435134,0.8472823472823473,0.6537119480206954,1.0,0.00023889154323936931,0.0,0.0
cascavel,1131,3.2413793103448274,172.63119330745428,152.20776645695088,55027.28450375605,30429.38770453175,844,12,2887,3364,23.0,0.001682085786375105,0.0032239977572189513,0.005673173413270649,0.523869699522606,0.958283587330571,4.0,0.000560695262125035,0.0,0.0
caserta,2991,2.77443443883154,110.86277320773277,92.77117634998065,29954.246179299134,17194.599317549684,743,24,3320,449,17.0,0.005271249725455744,0.0037338018888644848,0.006447534552002069,0.8971075292559064,0.6760189992267757,0.0,0.0,0.0,0.0
castanhal,1183,3.2793342579750346,191.56297905084588,177.747063779495,58100.85339401397,30316.65270128841,260,0,1818,1527,0.0,0.0,0.0,0.006318737788710584,0.5764216366158114,1.043442054129077,0.0,0.0,0.0,0.0
castellon de la plana,1952,3.079754601226994,220.34639107588058,206.09085211056984,38605.695312735385,27727.73471265934,348,33,3873,1100,19.0,0.006134969325153374,0.0035322550659973974,0.007946786614893554,0.7895622895622896,0.4877889024047909,4.0,0.0007436326454731362,2.0,0.0003718163227365681
cataguases,1375,2.777319587628866,228.02898342799355,187.12481526668336,62821.61679689882,34066.14949092611,174,3,661,129,3.0,0.003092783505154639,0.003092783505154639,0.006693711700194692,0.8634953464322648,0.7112493519958528,0.0,0.0,0.0,0.0
catalao,1239,3.425717048018047,324.74692330764157,314.4906556685346,81492.99145573306,46201.73504598939,98,4,1492,1497,12.0,0.0012890750886239124,0.003867225265871737,0.007028890213417032,0.5130687318489835,0.9675440012917811,0.0,0.0,0.0,0.0
catandica,4392,2.8626543209876543,513.408037898963,420.709364389428,160133.4501994627,80660.3491820702,117,0,386,145,0.0,0.0,0.0,0.006365060938926448,0.7762345679012346,0.8613477924089853,0.0,0.0,0.0,0.0
catanduva,1213,3.3658076681332494,332.9496648168677,323.32321316282884,78187.21601682993,48523.08969610025,92,3,1750,1324,12.0,0.0009428032683846638,0.003771213073538655,0.006861674862465045,0.5794274929223026,0.7856130961750354,1.0,0.00031426775612822125,0.0,0.0
catania,3051,2.7942857142857145,199.7676998886513,165.376852325054,35535.52088700254,23181.099050895697,1898,86,7458,1554,27.0,0.007800453514739229,0.0024489795918367346,0.008617697523747582,0.855288417588445,0.5315686005577653,2.0,0.00018140589569160998,0.0,0.0
catbalogan,12996,2.7913385826771653,157.3130472200536,126.96525464610625,52776.087132067936,27198.701233381744,49,0,160,45,0.0,0.0,0.0,0.005783844083958641,0.8228346456692913,0.8290258449304175,0.0,0.0,0.0,0.0
catia la mar,854,2.7089244851258583,107.88185678190408,84.52802691561547,35266.32836035458,20304.45873145945,473,5,1400,299,8.0,0.002288329519450801,0.0036613272311212816,0.005313210177563287,0.8591743119266055,0.6959816303099885,0.0,0.0,0.0,0.0
