city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,8way_int_count,9way_int_count,10way_int_count,11way_int_count,12way_int_count,13way_int_count,14way_int_count,7way_int_prop,8way_int_prop,9way_int_prop,10way_int_prop,11way_int_prop,12way_int_prop,13way_int_prop,14way_int_prop
changshu,12346,3.287153652392947,24.038471470662138,22.125081801964598,17760.07147295283,11947.499341614342,158,26,913,866,20.0,2.0,0.01309823677581864,0.010075566750629723,0.0010075566750629723,0.002012008603920464,0.5467075038284839,0.7101967799642218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
changshun,10327,2.9199029126213594,93.44749121221479,78.93137607245326,39451.9390070463,22904.54032743249,64,0,254,93,1.0,0.0,0.0,0.0024271844660194173,0.0,0.004079867566706583,0.7718446601941747,0.7863247863247863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
changting,12331,2.3773584905660377,4.601767789404856,3.0389032571541503,7691.373931843323,4282.436883065648,18,0,32,3,0.0,0.0,0.0,0.0,0.0,0.001074567568666794,0.9433962264150944,0.6237623762376238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
changtu,11299,2.8349514563106797,9.565851105520107,7.2440425847628,10660.864669015848,5657.52147486963,25,0,45,33,0.0,0.0,0.0,0.0,0.0,0.0016908201140748724,0.6796116504854369,0.7711442786069652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
changwon,12668,3.188834441722086,107.77787878395688,102.47763658264574,36643.145747338785,19783.02869678817,281,10,3802,1595,22.0,4.0,0.0017500875043752187,0.0038501925096254812,0.0007000350017500875,0.00544799688843675,0.7158134642356241,1.0191177760238534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
changxing,12324,3.07010582010582,23.629102681667554,19.909706889182846,16567.00081320501,11271.34427469736,119,7,342,279,8.0,1.0,0.009259259259259259,0.010582010582010581,0.0013227513227513227,0.002096387272520074,0.6154873164218959,0.6791694574681849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
changyi,11553,2.774146695715323,59.6359988541866,45.95046825293536,22119.96213188804,13479.964966731737,316,5,734,318,4.0,0.0,0.0036310820624546117,0.002904865649963689,0.0,0.004424047020995007,0.7653061224489796,0.6491420226359985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
changyuan,11116,3.2030598052851182,30.11506054716265,26.722404212920402,18816.37271795213,13187.874226268994,81,1,332,301,4.0,0.0,0.0013908205841446453,0.005563282336578581,0.0,0.00228354168613288,0.575208913649025,0.7071977638015374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
changzhi,10782,3.3485148514851484,17.20782572123925,15.487043149115324,11028.989556752404,8596.275789040217,101,5,365,519,20.0,0.0,0.0049504950495049506,0.019801980198019802,0.0,0.00200177683261143,0.46368159203980097,0.6074812967581047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
changzhou,12250,3.194486983154671,31.11172760230166,28.014848131934727,19138.776693511994,13430.75565079522,910,49,4661,3428,85.0,5.0,0.005359877488514548,0.009297746663749726,0.0005469262743382192,0.0023164539964257015,0.6126690861101947,0.6185578351025797,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0002187705097352877,0.0,0.0,0.0,0.0,0.0002187705097352877
chania,3447,2.860115095174856,308.5101655391908,256.2041038298016,64493.73422105716,36764.913060720595,383,5,1437,420,10.0,2.0,0.002213368747233289,0.004426737494466578,0.0008853474988933156,0.008391429214851078,0.8074534161490683,0.711747723739729,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004426737494466578,0.0004426737494466578,0.0,0.0,0.0,0.0,0.0,0.0
channapattana,8021,2.7548209366391183,416.9140709058543,340.5372507536799,135557.09373980606,73831.63325480532,133,0,506,86,1.0,0.0,0.0,0.0013774104683195593,0.0,0.005646821728391327,0.8801652892561983,0.8286109191430546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channarayapattana,7817,2.6245954692556634,172.217672177633,127.63057258471831,58153.98144292882,32022.573640783994,80,0,185,44,0.0,0.0,0.0,0.0,0.0,0.0053780084670738745,0.8576051779935275,0.7030995106035889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
