city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,7way_int_prop,8way_int_count,9way_int_count,8way_int_prop,9way_int_prop
ciudad bolivar,935,2.9939074592458423,178.83161346481373,158.07148050043145,49357.69066117745,26774.46816274972,705,3,4009,1338,16.0,2.0,0.0004939897908776552,0.002634612218014161,0.00032932652725177014,0.006679184526758041,0.7766062602965403,0.8895756077461887,0.0,0.0,0.0,0.0,0.0,0.0
ciudad bolivia,738,3.0991735537190084,237.21810460866024,206.130489955105,61188.854022659536,34230.75201900258,111,1,429,305,1.0,0.0,0.0011806375442739079,0.0011806375442739079,0.0,0.006929970585424851,0.6382978723404256,0.8778897451096621,0.0,0.0,0.0,0.0,0.0,0.0
ciudad del carmen,290,3.097945205479452,133.50289570620467,119.23820274033622,35189.878728523145,20546.670397438986,312,3,1702,893,10.0,0.0,0.0010273972602739725,0.003424657534246575,0.0,0.0064975440362758236,0.6904353788138499,0.853834276891405,0.0,0.0,0.0,0.0,0.0,0.0
ciudad del este,1118,3.202438332860788,280.5568455459142,257.786956961418,83220.70151749499,46726.7867336309,1145,12,7832,5081,37.0,1.0,0.0008505812305075135,0.0026226254607314998,7.088176920895946e-05,0.006004197274365276,0.6368473325766175,0.925816865931103,0.0,0.0,0.0,0.0,0.0,0.0
ciudad de la costa,1146,3.3181011535048803,145.19201170956322,140.29645142121947,58092.05358114016,31095.914281686975,76,1,1331,824,21.0,0.0,0.00044365572315882877,0.009316770186335404,0.0,0.004669166836334823,0.6245006657789614,1.0484336814041324,1.0,0.00044365572315882877,0.0,0.0,0.0,0.0
ciudad guayana,957,2.8941742383752005,224.62589320281666,189.80948003936567,57906.72452463669,34732.95335880611,580,11,2382,763,6.0,0.0,0.002939604489577766,0.0016034206306787815,0.0,0.006467226984193833,0.7938890377914768,0.7481560949443475,0.0,0.0,0.0,0.0,0.0,0.0
ciudad guzman,86,3.035031847133758,275.4407601511855,244.19051467224924,58071.309674254815,34515.53933043669,285,9,1559,651,8.0,0.0,0.0035828025477707007,0.0031847133757961785,0.0,0.007980195746450201,0.7367159408709548,0.7766446710657868,0.0,0.0,0.0,0.0,0.0,0.0
ciudad hidalgo,131,2.9617486338797816,352.7421560503386,300.17253517845506,73587.32801507451,40740.24041561106,300,4,1186,519,4.0,0.0,0.001987083954297069,0.001987083954297069,0.0,0.008658322887932026,0.7396714783474365,0.8542237727385995,0.0,0.0,0.0,0.0,0.0,0.0
ciudad mante,201,3.196857267568747,174.0713201178811,155.53207869109673,47828.38137958164,25674.45956150379,244,0,1111,933,3.0,0.0,0.0,0.0013094718463553033,0.0,0.006779940964322502,0.5914447839371454,0.9768407253659602,0.0,0.0,0.0,0.0,0.0,0.0
ciudad obregon,66,3.186129150839358,199.78569664913644,184.58328057033316,47654.09798758134,27793.613150761546,621,17,4747,2774,2.0,0.0,0.0020830780541600293,0.00024506800637176816,0.0,0.007188187284806556,0.6591355599214146,0.8545108395258859,0.0,0.0,0.0,0.0,0.0,0.0
ciudad ojeda,727,2.891231593038822,142.38877434013773,123.61327999943683,41551.436988988644,21883.5980132299,394,2,2128,463,1.0,0.0,0.0006693440428380187,0.00033467202141900936,0.0,0.006506643663169807,0.8446081714668453,0.8657616892911011,0.0,0.0,0.0,0.0,0.0,0.0
ciudad real,1698,2.981808994441637,277.19891986124463,255.76817972038035,55457.17914994413,38824.96199696284,153,19,1524,277,6.0,0.0,0.009600808489135927,0.003031834259727135,0.0,0.007139708723550819,0.8556122448979592,0.5312899106002554,0.0,0.0,0.0,0.0,0.0,0.0
ciudad valles,189,3.247086247086247,163.26918817846442,149.18769642414466,46222.291740762535,24418.69001826492,296,5,1704,1410,16.0,1.0,0.001456876456876457,0.004662004662004662,0.0002913752913752914,0.006686238617073268,0.5836008170411439,1.029347349978099,0.0,0.0,0.0,0.0,0.0,0.0
ciudad victoria,208,3.1821064552661382,214.35674451507148,196.73239609854352,51699.437145344105,29046.557001013833,726,6,5058,3017,20.0,3.0,0.0006795016987542468,0.0022650056625141564,0.0003397508493771234,0.007379764304168293,0.6554850407978241,0.9141869296604885,0.0,0.0,0.0,0.0,0.0,0.0
ciudad vieja antigua guatemala,285,2.8107394366197185,189.4816158193138,154.1206100502165,51303.335245919356,27867.230037309884,212,3,714,204,1.0,2.0,0.002640845070422535,0.0008802816901408451,0.0017605633802816902,0.006799442053107805,0.8172992056487202,0.7585139318885449,0.0,0.0,0.0,0.0,0.0,0.0
ciwidey,12035,2.2992125984251968,382.90915769566766,244.8206583062064,84763.4062861257,42395.1981280938,458,0,786,26,0.0,0.0,0.0,0.0,0.0,0.009031899238652863,0.9795275590551181,0.611439842209073,0.0,0.0,0.0,0.0,0.0,0.0
cixi,12479,3.1501170177198263,11.201412435703803,9.587300513340601,10267.334895521868,7341.378678666855,431,15,1230,1304,11.0,0.0,0.0050150451354062184,0.0036776997659645604,0.0,0.001525791397772973,0.5581317204301075,0.6235076509164285,0.0,0.0,0.0,0.0,0.0,0.0
cizre,4793,2.966194111232279,168.45584456653103,148.98330419133768,50980.339309331815,27920.97169328477,106,0,632,177,2.0,0.0,0.0,0.0021810250817884407,0.0,0.006033308812352189,0.8047982551799345,0.9021323127392018,0.0,0.0,0.0,0.0,0.0,0.0
clermont ferrand,2094,2.7759163802978235,141.80655741198888,116.99447076286941,29478.097918739968,18074.324803968768,1222,86,4790,823,50.0,12.0,0.012313860252004582,0.00715922107674685,0.001718213058419244,0.007845745771972126,0.8715569730356625,0.5976361395112755,0.0,0.0,0.0,1.0,0.0,0.000143184421534937
clilabad,5486,2.8225538971807627,326.9132675901139,264.5666245173724,157502.32174018188,80349.16523903687,115,0,365,123,0.0,0.0,0.0,0.0,0.0,0.004068657920932403,0.7960199004975125,0.8426311407160699,0.0,0.0,0.0,0.0,0.0,0.0
