city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
cluj napoca,3367,2.71599718111346,77.68233682897556,63.94148655126389,22754.943123581743,12936.191696752288,502,57,2032,240,6.0,1.0,0.0200845665961945,0.0021141649048625794,0.00035236081747709656,0.006005039091101147,0.9111830276878821,0.642073061004139
coari,939,2.7178612059158134,266.82559005957125,199.43619188752936,58400.3400098863,30275.463624648026,222,0,461,196,0.0,0.0,0.0,0.0,0.0,0.00881326189972337,0.7770193401592719,0.7997718197375927
coatbridge,1723,2.413193304890056,192.44508810813895,131.93888712107065,39648.704796454185,20693.82521165435,958,16,1930,142,1.0,0.0,0.005251066622907778,0.0003281916639317361,0.0,0.009299638232169744,0.952820851204223,0.6260525012382367
coatepec,216,2.5795081967213114,251.658429775221,184.20571949940356,50318.48337624146,27059.0326273436,327,2,749,141,1.0,0.0,0.001639344262295082,0.000819672131147541,0.0,0.009300348362081354,0.8834154351395731,0.6997120526532291
coatepeque,259,2.9383783783783786,259.0436327807457,211.43561378320325,80560.22327956984,41582.23590693854,170,6,461,287,1.0,0.0,0.006486486486486486,0.001081081081081081,0.0,0.006229670606469742,0.6866158868335147,0.911620294599018
coatzacoalcos,244,3.2089833243679395,157.64291976629698,139.26255244012978,35278.579227885944,21401.83683505643,867,10,3292,3239,25.0,3.0,0.0013448090371167294,0.0033620225927918235,0.0004034427111350188,0.007365859341011153,0.560059251279289,0.7940998181450798
coban,301,2.8264957264957267,303.06808301243404,245.04479190578,84999.73993567168,46678.45574321528,224,2,702,237,5.0,0.0,0.0017094017094017094,0.004273504273504274,0.0,0.006492675864849814,0.7928082191780822,0.7301587301587301
cobija,810,3.0713916192446975,283.75271218406783,251.01766054565752,71785.30011613434,39369.371780188274,223,0,1128,580,2.0,0.0,0.0,0.0010346611484738748,0.0,0.007207448312062216,0.6989136057941024,0.8168868168868169
cocoa,601,2.764764104256021,60.59933357075339,49.00328821574284,24394.604172122024,13405.895834578001,580,30,1965,437,17.0,2.0,0.009897723523589575,0.005608709996700759,0.0006598482349059716,0.00452034942823058,0.8480506497834055,0.752376188094047
codo,1321,3.163558106169297,181.09308686654717,168.75173589644533,52169.66683495295,27923.248669615827,95,1,880,417,1.0,0.0,0.0007173601147776184,0.0007173601147776184,0.0,0.006485387463658564,0.6999282124910265,0.9439050701186623
coimbra,1572,2.771377672209026,180.61155671285445,154.87119233572557,37157.77959827001,24167.196962583064,240,38,1277,125,4.0,0.0,0.022565320665083134,0.0023752969121140144,0.0,0.007473417665792472,0.9216281895504252,0.5007605719501065
colatina,1396,2.922824302134647,292.84455172616936,255.65794198316374,62633.502160975215,34337.287874337555,232,5,1264,324,2.0,0.0,0.002736726874657909,0.0010946907498631637,0.0,0.008528470646775534,0.8210757409440176,0.7694421544380324
colchester,1993,2.335914085914086,171.37150254618086,113.1633997832423,29982.154338107903,15876.455111335868,1360,19,2548,75,1.0,1.0,0.004745254745254745,0.00024975024975024975,0.00024975024975024975,0.010794065888412379,0.9806775407779172,0.5709981167608287
colima,83,3.331265769554247,309.45802364929847,291.6622352834273,61664.97185140938,39049.6529280606,547,42,4695,4176,45.0,7.0,0.004415475189234651,0.004730866274179983,0.0007359125315391085,0.007924731731147494,0.5535374868004224,0.8331132822814893
colina de laranjeiras,1402,2.9594761171032355,210.07850309508564,185.31578277648154,49170.486139486646,28338.07915315283,765,11,4436,1278,0.0,0.0,0.001694915254237288,0.0,0.0,0.007413293680200367,0.8027473375520914,0.7865359376206285
collado villalba,1697,2.8638470451911937,231.40193162034055,202.9794463923497,41720.13531893007,26370.92865923387,212,18,1295,196,4.0,1.0,0.010428736964078795,0.002317497103128621,0.0005793742757821553,0.008774887475921877,0.8823185011709602,0.5499853415420698
college station,318,2.9152542372881354,76.37876383560815,64.1926830970908,28535.16520070579,16058.430625739082,706,14,2673,1014,17.0,1.0,0.0031638418079096044,0.0038418079096045198,0.00022598870056497175,0.004756303129222683,0.7660394468374518,0.8111602585913577
colmar,2372,2.889267461669506,93.66044820838434,83.87423442624764,24509.765216410033,14254.054530546757,184,32,1347,191,7.0,0.0,0.018171493469619535,0.003975014196479273,0.0,0.0065707934544285565,0.8854829381145171,0.68375325803649
coloane,12240,3.072474942174248,293.3429256256508,274.34461741242444,72609.43784427865,63604.71832763987,84,16,924,269,3.0,1.0,0.01233616037008481,0.002313030069390902,0.0007710100231303007,0.004611968000779223,0.7868852459016393,0.37622213531482207
colon,451,2.636668262326472,92.67729271111787,68.09939890453133,26768.112397165423,14989.537614619589,554,5,1179,348,3.0,0.0,0.0023934897079942556,0.0014360938247965534,0.0,0.006182798635544828,0.831573896353167,0.6918087917367283
