city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality,7way_int_count,7way_int_prop,8way_int_count,8way_int_prop
altamira,222,3.0402498265093687,254.34773875931992,220.28173349870318,56573.733223995514,30720.694331983377,772,10,3216,1748,16.0,2.0,0.0017349063150589867,0.002775850104094379,0.00034698126301179735,0.00827936165799866,0.6930830726451165,0.935495088237851,3.697585281411795e-05,6.424996144937959e-09,0.1862027741672863,3.230443687843274e-05,0.03325622089134376,6.1276909472564325e-06,0.0,0.0,0.0,0.0
altamura,3124,3.2043478260869565,332.2509904003412,314.9161561185843,53527.89891622306,32215.365347666328,96,7,1174,555,5.0,2.0,0.0038043478260869567,0.002717391304347826,0.0010869565217391304,0.010313432326925616,0.6928532460447354,0.7672767003550942,0.00021538141312904866,1.1750213482217602e-07,0.17231685459449456,9.365046445352964e-05,0.05763865903756082,2.4971824180379406e-05,1.0,0.0005434782608695652,0.0,0.0
altay,6636,2.8398058252427183,160.02697853130826,130.50743880223197,82751.59204031435,53885.77727830842,38,0,127,39,2.0,0.0,0.0,0.009708737864077669,0.0,0.002969744274167252,0.8009708737864077,0.6609336609336609,0.0022528782447538524,1.1152862597791348e-05,0.19271871892388392,0.0009355277617664269,0.14411176811809778,0.0006548234946549831,0.0,0.0,0.0,0.0
altiarik,6087,3.0011634671320535,77.71072554191643,71.47216816856886,41236.91459835576,20718.89111102041,138,0,1303,278,0.0,0.0,0.0,0.0,0.0,0.0037507183722096968,0.8382780686445608,0.9496067579376638,0.00018014036256406408,1.09441289528593e-07,0.22550707356473143,0.00013118503406907005,0.05043439150085731,2.9642285809333345e-05,0.0,0.0,0.0,0.0
alvand,5694,2.869605142332415,157.37255388639485,134.684316090101,37214.79433545023,22210.23029700495,157,1,759,171,1.0,0.0,0.0009182736455463728,0.0009182736455463728,0.0,0.007085588568058051,0.8419117647058824,0.7056655918931368,0.0003300661293483242,3.0309102786806633e-07,0.14796688843002473,0.00013587409405879222,0.07229854937541377,5.117799525852534e-05,0.0,0.0,0.0,0.0
alwar,6995,2.663967310549777,532.5950986338825,421.9213623130081,89158.82679367451,44651.1292657366,2797,1,9596,1061,4.0,1.0,7.429420505200594e-05,0.00029717682020802375,7.429420505200594e-05,0.0119279200188689,0.9207964930529757,0.8222791959276187,1.1541822545831062e-05,8.601745823394741e-10,0.3947936580733929,2.9330880986136173e-05,0.021837710684696643,1.8731356761371303e-06,0.0,0.0,0.0,0.0
alxa left banner,10118,2.7123769338959214,466.082724111901,360.5421916477434,96900.9174485704,49622.29418469989,644,5,1722,471,2.0,0.0,0.0017580872011251757,0.0007032348804500703,0.0,0.009392607330428687,0.8333920394505108,0.8323638286620836,8.263078142832865e-05,2.958495575665186e-08,0.3526093267965757,0.00012398358888768485,0.04544033916931283,1.855483567250158e-05,0.0,0.0,0.0,0.0
alytus,3309,2.758037225042301,66.568437321489,54.06573589562558,28518.989613281417,15194.453521165271,111,3,395,82,0.0,0.0,0.005076142131979695,0.0,0.0,0.004381101118823511,0.8605442176870748,0.7241673783091375,0.0003815020591156099,6.47711475578285e-07,0.3110979060554611,0.0005263923960329291,0.07816323822300393,0.0001251183331668901,0.0,0.0,0.0,0.0
al ain,5924,2.894938996836873,149.18870921897,136.58216216793187,43766.383213705594,26411.822717770236,1122,38,11284,790,37.0,6.0,0.002861876788672993,0.002786564241602651,0.00045187528242205153,0.005648557875507539,0.9370090634441087,0.6629272898961284,1.5435921767908767e-05,1.1696538431392564e-09,0.16246262880077028,1.2235474378729499e-05,0.023922638141111893,1.665139287507265e-06,0.0,0.0,1.0,7.531254707034192e-05
al amerat,5965,2.7193396226415096,790.8897315227911,652.2353210435597,201471.17994825807,108162.68590749736,223,0,961,87,1.0,0.0,0.0,0.0007861635220125787,0.0,0.007312038573072916,0.9308176100628931,0.7625049231981095,0.00016571090588989254,1.306868342980225e-07,0.27802266455486296,0.00021857127716577276,0.05836803298286809,4.1456806626160245e-05,0.0,0.0,0.0,0.0
al arish,4251,3.275317604355717,455.26524453953766,440.3100704448632,76113.74340970132,40127.21490278704,181,0,3450,1879,0.0,0.0,0.0,0.0,0.0,0.011345548043702308,0.658983666061706,1.0553790285973672,5.5658504022179924e-05,1.0105029778899769e-08,0.18231256702067497,3.308758022153811e-05,0.03350164997158519,5.0814631970445e-06,0.0,0.0,0.0,0.0
al ayyat,3972,2.6561514195583595,348.9060604541686,277.8355154675601,90964.80565366546,46804.175967208226,452,2,1622,143,0.0,0.0,0.0009013068949977468,0.0,0.0,0.007454592528209831,0.9354984212900316,0.7943102280424476,8.753026424096641e-05,3.955276287436349e-08,0.3482432503073889,0.0001569370213192379,0.04728250378425472,2.4170305114533625e-05,0.0,0.0,0.0,0.0
al aziziyah,5420,2.9771689497716896,325.03940271161633,300.9211821907772,88212.49322254455,49052.08029949057,65,0,701,110,0.0,0.0,0.0,0.0,0.0,0.006626414226003622,0.8744292237442922,0.8752146536920435,0.0004071309434771186,4.674293266097803e-07,0.21808737792882393,0.0002489581939826757,0.08087437339382014,8.359760497273401e-05,0.0,0.0,0.0,0.0
al balakus,3834,2.7525844245348035,491.53896255158935,409.2205835715506,101668.3193953005,52209.84886426141,243,0,1081,127,0.0,0.0,0.0,0.0,0.0,0.009414678901475555,0.912474155754652,0.8488091128753883,0.00023354834962408308,1.609568226216975e-07,0.22687748654782533,0.00015635939803433863,0.06316127036616637,4.40011809310049e-05,0.0,0.0,0.0,0.0
al bustan,3993,2.7709110282365477,423.3850312291397,354.73815971214367,91163.65718135452,46932.34108810015,913,1,4184,529,4.0,0.0,0.0001775883502042266,0.0007103534008169064,0.0,0.009021178603350992,0.905328596802842,0.8448689471346068,3.619246563408838e-05,7.923044140562254e-09,0.17304392075147926,3.0730584399126136e-05,0.02514444267775441,5.639174189428739e-06,0.0,0.0,0.0,0.0
