city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,6way_int_count,5way_int_prop,6way_int_prop,7way_int_count,7way_int_prop
dschang,2877,2.697881828316611,230.09533650759278,183.15280966156215,79456.08449861755,40136.08900959342,183,0,619,95.0,0.0,0.005732878867509858,0.8940914158305463,0.7926215762996087,0.0,0.0,0.0,0.0,0.0,0.0
dubuque,578,2.8864745011086472,67.79001032791004,56.035733592560675,25685.016506015585,14096.915151553194,391,4,1341,509.0,0.0017738359201773836,0.004808854249253317,0.7694358063083074,0.8158772515010007,9.0,1.0,0.003991130820399113,0.0004434589800443459,0.0,0.0
duekoue,1567,2.991304347826087,96.65601494514652,84.32887101011333,34544.579579033256,17272.28978951661,88,0,432,170.0,0.0,0.005596016285218405,0.7536231884057971,0.9665454545454546,0.0,0.0,0.0,0.0,0.0,0.0
duhok,4910,2.9705237050462654,301.04156874962445,282.20313804278925,61116.97451384595,34324.77724370972,656,6,8821,991.0,0.0005723552418200896,0.008770386668854277,0.9045528300085902,0.8654828392763377,9.0,0.0,0.0008585328627301345,0.0,0.0,0.0
duitama,671,2.855816010614772,1347.198941708485,1095.7535841671402,257181.36776731428,144920.94116246258,422,4,1329,491.0,0.0017691287041132243,0.009296095725725501,0.7758085954807267,0.7726768684852517,14.0,1.0,0.006191950464396285,0.0004422821760283061,0.0,0.0
dujiangyan,10283,3.1411087113030955,37.735185889711424,32.79076268458005,23184.875942837865,14861.049667002037,182,8,651,528.0,0.005759539236861051,0.002539200577029217,0.6031860970311369,0.7286906057308669,20.0,0.0,0.014398848092152628,0.0,0.0,0.0
dukem,5183,3.0523560209424083,596.2414978617006,555.6596158082864,144679.3318946023,73362.70891970066,78,0,854,212.0,0.0,0.008127310273047828,0.8132635253054101,0.9772627896808046,2.0,0.0,0.0017452006980802793,0.0,0.0,0.0
dukku,2919,2.8095238095238093,18.569766136428473,15.474805113690396,20533.89825914972,10266.949129574856,7,0,29,6.0,0.0,0.0018086936929429813,0.8571428571428571,0.8987341772151899,0.0,0.0,0.0,0.0,0.0,0.0
duliajan,10093,2.5129924559932943,155.50108332921604,110.1411696673827,58765.176652431,29382.58832621556,348,0,731,113.0,0.0,0.005292286765304328,0.9044425817267393,0.7324653506929861,1.0,0.0,0.0008382229673093043,0.0,0.0,0.0
duluth,668,3.1566901408450705,67.48947574630813,57.19970708498721,26353.984395295778,14899.285857856707,433,13,1098,1270.0,0.004577464788732394,0.004529712121116161,0.5415634948708878,0.9176845459373341,24.0,2.0,0.008450704225352112,0.0007042253521126761,0.0,0.0
dumaguete,12975,2.5829853862212944,341.5966132644935,253.34487862674595,99874.27878138424,50520.45590055254,495,2,1229,187.0,0.0010438413361169101,0.006761550488319277,0.9007314524555904,0.7590897201150929,3.0,0.0,0.0015657620041753654,0.0,0.0,0.0
dumai,11149,2.700278164116829,197.40113076842496,158.8955555385618,48499.607571706554,25696.155727947236,561,2,2051,262.0,0.0006954102920723226,0.007682126963206825,0.9088378566457899,0.7863485982935748,0.0,0.0,0.0,0.0,0.0,0.0
dumka,9469,2.7216494845360826,31.391208786945523,25.566036022357697,26134.117226222985,13067.058613111505,18,0,70,9.0,0.0,0.00240231636792748,0.9072164948453608,0.8783068783068783,0.0,0.0,0.0,0.0,0.0,0.0
dumraon,8736,2.7096774193548385,26.44714823460607,21.328345350488764,37427.47523864983,18713.73761932491,6,0,22,3.0,0.0,0.0014132477847340972,0.9032258064516129,0.7719298245614035,0.0,0.0,0.0,0.0,0.0,0.0
dundee,1763,2.5058250739001915,194.70406190400726,140.1286927874606,41063.70133942715,22033.63394171098,1612,22,3720,392.0,0.0038254216657972527,0.008836674986027651,0.9307034386454879,0.6588666724875578,4.0,0.0,0.0006955312119631368,0.0,1.0,0.0001738828029907842
dundet,3942,2.8311229000884173,307.5419784138944,266.75391761629567,100408.51147473701,51232.72832190233,150,0,872,109.0,0.0,0.00600284209893265,0.9036251105216623,0.8839167035888348,0.0,0.0,0.0,0.0,0.0,0.0
dundewa,2906,2.066666666666667,21.870974773033385,11.664519878951138,21207.146946722274,10603.57347336114,14,0,16,0.0,0.0,0.002062604161510156,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
dundo,3435,2.8598870056497177,227.3053740555258,194.17272631183897,58021.99495195212,30100.919552989893,258,0,1244,268.0,0.0,0.0075514428605868876,0.848587570621469,0.8574257425742574,0.0,0.0,0.0,0.0,0.0,0.0
dunedin,13046,2.9082908754052803,171.48604413897516,148.37236241389792,57280.56044447051,31227.396325435056,291,15,1475,359.0,0.006947660954145438,0.005491525529437044,0.8236940298507462,0.7807611487275274,17.0,2.0,0.007874015748031496,0.0009263547938860583,0.0,0.0
dunfermline,1742,2.4052029956641703,233.82970646892974,161.47798412832674,44951.9296023141,24007.828600876408,785,3,1685,64.0,0.0011824990145841545,0.009739727417930407,0.9747434885556433,0.5868062413588782,0.0,0.0,0.0,0.0,0.0,0.0
