place_id;place_name
205;Welthauptstadt Germania, Germany
208;Tema, Ghana
209;Amaliada, Greece
210;Aspra Spitia, Greece
211;Aspropyrgos, Athens, Greece
212;Skala Oropou, Oropos, Greece
213;Ancient Olympia, Greece
214;Ermoupoli, Greece
216;Nafplio, Greece
217;Elefsis, Greece
218;Rokkos, Greece
219;Panagiouda, Greece
221;Serres, Greece
222;Sparta, Greece
224;Athens, Greece
225;Ioannina, Greece
227;Lavrio, Greece
228;Nea Peramos, Megara, Greece
229;Nea Makri, Greece
230;Nea Moudania, Greece
231;Porto Rafti, Greece
232;Rafina, Greece
233;Thebes, Greece
234;Herakleion, Greece
235;Hania, Greece
237;Corinth, Greece
238;Nea Fokea, Anavyssos, Greece
239;Fanling-Sheung Shui, Hong Kong
240;Shui New Town, Hong Kong
241;North East New Territories, Hong Kong
242;North Lantau New Town, Tung Chung, Hong Kong
243;North West New Territories, Hong Kong
244;Sha Tin New Town, Sha Tin Town, Hong Kong
245;Tai Po New Town, Tai Po Town, Hong Kong
246;Tin Shui Wai New Town, Hong Kong
247;Tseung Kwan O New Town, Hong Kong
248;Tsuen Wan New Town, Tsuen Wan Town, Hong Kong
249;Tuen Mun New Town, Tuen Mun Town, Hong Kong
