place_id,n_nodes,n_edges
851,175,436
852,618,1666
853,5401,12799
855,2094,5863
856,1308,3274
857,6047,14261
859,52,96
860,915,2255
861,419,908
862,513,1307
863,100,241
864,13189,31894
865,96,230
866,35,88
867,1,2
868,487,1229
869,1570,3796
870,2303,6110
871,259,658
872,1048,2740
873,97,284
874,400,934
875,1292,3589
876,1343,3771
877,521,1461
878,1171,2747
880,90,253
885,465,975
887,3023,7957
888,41,85
889,3728,8831
890,747,1594
891,873,2005
893,842,1956
894,613,1433
895,9155,21233
896,194,474
898,694,1733
